Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,15/08/2021,Ad. Demirspor,Fenerbahce,0,0,D,0,1,A,5,5,10
2122,27/08/2021,Ad. Demirspor,Konyaspor,0,0,D,1,1,D,1,3,4
2122,18/09/2021,Ad. Demirspor,Rizespor,2,0,H,3,1,H,5,12,17
2122,25/09/2021,Ad. Demirspor,Gaziantep,1,0,H,4,0,H,1,9,10
2122,16/10/2021,Ad. Demirspor,Yeni Malatyaspor,0,1,A,0,2,A,7,3,10
2122,07/11/2021,Ad. Demirspor,Hatayspor,0,0,D,1,0,H,7,8,15
2122,26/11/2021,Ad. Demirspor,Kasimpasa,0,0,D,0,0,D,8,8,16
2122,12/12/2021,Ad. Demirspor,Giresunspor,0,0,D,1,0,H,1,3,4
2122,21/12/2021,Ad. Demirspor,Galatasaray,0,0,D,2,0,H,2,7,9
2122,15/01/2022,Ad. Demirspor,Kayserispor,1,0,H,1,1,D,5,10,15
2122,22/01/2022,Ad. Demirspor,Karagumruk,1,0,H,5,0,H,7,4,11
2122,14/02/2022,Ad. Demirspor,Besiktas,0,1,A,1,1,D,8,4,12
2122,25/02/2022,Ad. Demirspor,Antalyaspor,0,0,D,0,0,D,2,3,5
2122,13/03/2022,Ad. Demirspor,Sivasspor,0,1,A,2,3,A,6,2,8
2122,19/03/2022,Ad. Demirspor,Buyuksehyr,1,0,H,2,1,H,6,4,10
2122,10/04/2022,Ad. Demirspor,Altay,2,0,H,3,1,H,7,7,14
2122,23/04/2022,Ad. Demirspor,Trabzonspor,0,2,A,1,3,A,9,0,9
2122,07/05/2022,Ad. Demirspor,Alanyaspor,1,1,D,1,2,A,6,3,9
2122,22/05/2022,Ad. Demirspor,Goztep,5,0,H,7,0,H,2,1,3
2223,13/08/2022,Ad. Demirspor,Sivasspor,1.0,0.0,H,3,0,H,7.0,1.0,8.0
2223,27/08/2022,Ad. Demirspor,Umraniyespor,1.0,0.0,H,1,0,H,4.0,1.0,5.0
2223,12/09/2022,Ad. Demirspor,Trabzonspor,1.0,1.0,D,3,2,H,2.0,3.0,5.0
2223,01/10/2022,Ad. Demirspor,Galatasaray,0.0,0.0,D,0,0,D,4.0,7.0,11.0
2223,23/10/2022,Ad. Demirspor,Konyaspor,1.0,1.0,D,1,1,D,2.0,2.0,4.0
2223,25/12/2022,Ad. Demirspor,Karagumruk,2.0,1.0,H,2,1,H,4.0,4.0,8.0
2223,05/01/2023,Ad. Demirspor,Istanbulspor,1.0,0.0,H,6,0,H,4.0,5.0,9.0
2223,14/01/2023,Ad. Demirspor,Ankaragucu,0.0,0.0,D,3,1,H,5.0,13.0,18.0
2223,20/01/2023,Ad. Demirspor,Giresunspor,0.0,1.0,A,1,1,D,17.0,1.0,18.0
2223,02/02/2023,Ad. Demirspor,Fenerbahce,0.0,0.0,D,1,1,D,8.0,3.0,11.0
2223,05/03/2023,Ad. Demirspor,Hatayspor,,,,3,0,H,,,
2223,18/03/2023,Ad. Demirspor,Antalyaspor,2.0,0.0,H,2,0,H,4.0,2.0,6.0
2223,09/04/2023,Ad. Demirspor,Gaziantep,,,,3,0,H,,,
2223,15/04/2023,Ad. Demirspor,Kasimpasa,3.0,0.0,H,5,0,H,7.0,0.0,7.0
2223,23/04/2023,Ad. Demirspor,Kayserispor,4.0,3.0,H,5,3,H,5.0,3.0,8.0
2223,06/05/2023,Ad. Demirspor,Alanyaspor,2.0,2.0,D,4,2,H,2.0,2.0,4.0
2223,21/05/2023,Ad. Demirspor,Besiktas,1.0,1.0,D,1,4,A,6.0,8.0,14.0
2223,03/06/2023,Ad. Demirspor,Buyuksehyr,1.0,2.0,A,2,3,A,9.0,8.0,17.0
2324,13/08/2023,Ad. Demirspor,Rizespor,1.0,0.0,H,2,1,H,4.0,5.0,9.0
2324,16/09/2023,Ad. Demirspor,Pendikspor,2.0,0.0,H,3,0,H,6.0,6.0,12.0
2324,27/09/2023,Ad. Demirspor,Besiktas,2.0,0.0,H,4,2,H,1.0,5.0,6.0
2324,01/10/2023,Ad. Demirspor,Alanyaspor,1.0,0.0,H,4,0,H,7.0,3.0,10.0
2324,06/10/2023,Ad. Demirspor,Trabzonspor,1.0,0.0,H,1,0,H,3.0,3.0,6.0
2324,28/10/2023,Ad. Demirspor,Konyaspor,0.0,0.0,D,3,0,H,4.0,5.0,9.0
2324,12/11/2023,Ad. Demirspor,Fenerbahce,0.0,0.0,D,0,0,D,3.0,5.0,8.0
2324,02/12/2023,Ad. Demirspor,Samsunspor,1.0,2.0,A,2,3,A,7.0,4.0,11.0
2324,24/12/2023,Ad. Demirspor,Antalyaspor,2.0,0.0,H,2,1,H,1.0,10.0,11.0
2324,10/01/2024,Ad. Demirspor,Istanbulspor,1.0,0.0,H,2,2,D,7.0,7.0,14.0
2324,20/01/2024,Ad. Demirspor,Ankaragucu,0.0,0.0,D,1,1,D,6.0,5.0,11.0
2324,27/01/2024,Ad. Demirspor,Hatayspor,0.0,1.0,A,0,1,A,5.0,3.0,8.0
2324,09/02/2024,Ad. Demirspor,Kasimpasa,0.0,2.0,A,1,3,A,7.0,4.0,11.0
2324,04/03/2024,Ad. Demirspor,Karagumruk,1.0,0.0,H,1,0,H,7.0,7.0,14.0
2324,16/03/2024,Ad. Demirspor,Sivasspor,1.0,0.0,H,4,1,H,3.0,6.0,9.0
2324,13/04/2024,Ad. Demirspor,Kayserispor,0.0,0.0,D,0,0,D,9.0,2.0,11.0
2324,26/04/2024,Ad. Demirspor,Galatasaray,0.0,0.0,D,0,3,A,5.0,6.0,11.0
2324,12/05/2024,Ad. Demirspor,Gaziantep,1.0,3.0,A,1,6,A,0.0,2.0,2.0
2324,26/05/2024,Ad. Demirspor,Buyuksehyr,1.0,4.0,A,2,6,A,2.0,1.0,3.0
2425,17/08/2024,Ad. Demirspor,Rizespor,0,1,A,1,2,A,1,6,7
2425,31/08/2024,Ad. Demirspor,Galatasaray,0,4,A,1,5,A,2,2,4
2425,22/09/2024,Ad. Demirspor,Alanyaspor,0,2,A,0,2,A,6,6,12
2425,06/10/2024,Ad. Demirspor,Samsunspor,1,0,H,1,3,A,5,5,10
2425,25/10/2024,Ad. Demirspor,Sivasspor,2,1,H,2,4,A,4,6,10
