Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Alanyaspor,Kayserispor,1,0,H,2,0,H,5,1,6
2021,04/10/2020,Alanyaspor,Hatayspor,4,0,H,6,0,H,6,3,9
2021,25/10/2020,Alanyaspor,Karagumruk,1,0,H,2,0,H,4,4,8
2021,07/11/2020,Alanyaspor,Trabzonspor,0,0,D,1,1,D,8,8,16
2021,29/11/2020,Alanyaspor,Konyaspor,1,0,H,1,0,H,3,4,7
2021,13/12/2020,Alanyaspor,Besiktas,1,0,H,2,1,H,6,4,10
2021,23/12/2020,Alanyaspor,Yeni Malatyaspor,1,0,H,1,1,D,6,1,7
2021,02/01/2021,Alanyaspor,Buyuksehyr,2,0,H,3,0,H,2,8,10
2021,11/01/2021,Alanyaspor,Kasimpasa,1,2,A,1,2,A,8,1,9
2021,25/01/2021,Alanyaspor,Ankaragucu,1,2,A,4,3,H,13,4,17
2021,31/01/2021,Alanyaspor,Sivasspor,2,0,H,3,1,H,1,5,6
2021,06/02/2021,Alanyaspor,Rizespor,1,1,D,2,1,H,13,4,17
2021,20/02/2021,Alanyaspor,Galatasaray,0,1,A,0,1,A,12,1,13
2021,04/03/2021,Alanyaspor,Goztep,0,1,A,1,1,D,10,3,13
2021,13/03/2021,Alanyaspor,Antalyaspor,2,0,H,4,0,H,5,5,10
2021,04/04/2021,Alanyaspor,Genclerbirligi,1,1,D,1,2,A,7,4,11
2021,12/04/2021,Alanyaspor,Denizlispor,0,1,A,3,2,H,8,1,9
2021,22/04/2021,Alanyaspor,Gaziantep,2,2,D,3,2,H,4,4,8
2021,29/04/2021,Alanyaspor,Fenerbahce,0,0,D,0,0,D,4,3,7
2021,11/05/2021,Alanyaspor,Erzurum BB,2,1,H,2,3,A,7,2,9
2122,21/08/2021,Alanyaspor,Altay,0,2,A,1,4,A,1,5,6
2122,13/09/2021,Alanyaspor,Giresunspor,1,0,H,1,0,H,7,11,18
2122,23/09/2021,Alanyaspor,Kasimpasa,0,0,D,2,0,H,6,4,10
2122,18/10/2021,Alanyaspor,Kayserispor,3,2,H,6,3,H,6,5,11
2122,31/10/2021,Alanyaspor,Goztep,1,0,H,2,2,D,8,4,12
2122,20/11/2021,Alanyaspor,Besiktas,1,0,H,2,0,H,5,7,12
2122,04/12/2021,Alanyaspor,Sivasspor,0,0,D,0,1,A,5,5,10
2122,18/12/2021,Alanyaspor,Ad. Demirspor,1,2,A,1,3,A,4,3,7
2122,26/12/2021,Alanyaspor,Karagumruk,0,0,D,1,1,D,7,4,11
2122,08/01/2022,Alanyaspor,Buyuksehyr,1,1,D,1,1,D,5,3,8
2122,20/01/2022,Alanyaspor,Hatayspor,2,0,H,6,0,H,3,1,4
2122,06/02/2022,Alanyaspor,Galatasaray,1,1,D,1,1,D,8,1,9
2122,20/02/2022,Alanyaspor,Trabzonspor,0,4,A,0,4,A,5,10,15
2122,27/02/2022,Alanyaspor,Konyaspor,4,1,H,5,1,H,4,5,9
2122,13/03/2022,Alanyaspor,Fenerbahce,0,1,A,2,5,A,12,4,16
2122,03/04/2022,Alanyaspor,Rizespor,1,0,H,2,1,H,7,8,15
2122,16/04/2022,Alanyaspor,Antalyaspor,0,2,A,1,3,A,7,1,8
2122,01/05/2022,Alanyaspor,Yeni Malatyaspor,0,1,A,2,1,H,17,2,19
2122,15/05/2022,Alanyaspor,Gaziantep,0,0,D,3,0,H,5,2,7
2223,14/08/2022,Alanyaspor,Besiktas,1.0,3.0,A,3,3,D,12.0,1.0,13.0
