Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,14/08/2021,Altay,Kayserispor,2,0,H,3,0,H,2,4,6
2122,29/08/2021,Altay,Fenerbahce,0,0,D,0,2,A,3,5,8
2122,17/09/2021,Altay,Goztep,0,1,A,2,1,H,5,3,8
2122,24/09/2021,Altay,Besiktas,0,0,D,2,1,H,2,5,7
2122,17/10/2021,Altay,Karagumruk,0,1,A,0,1,A,6,2,8
2122,30/10/2021,Altay,Sivasspor,1,1,D,1,1,D,6,6,12
2122,21/11/2021,Altay,Ad. Demirspor,0,1,A,1,3,A,7,4,11
2122,10/12/2021,Altay,Hatayspor,1,1,D,1,2,A,3,6,9
2122,21/12/2021,Altay,Trabzonspor,1,0,H,1,2,A,4,5,9
2122,16/01/2022,Altay,Alanyaspor,0,1,A,0,2,A,9,0,9
2122,23/01/2022,Altay,Konyaspor,0,0,D,0,1,A,6,4,10
2122,11/02/2022,Altay,Rizespor,0,0,D,0,0,D,6,3,9
2122,27/02/2022,Altay,Gaziantep,2,2,D,3,2,H,8,4,12
2122,12/03/2022,Altay,Yeni Malatyaspor,1,0,H,1,0,H,3,2,5
2122,02/04/2022,Altay,Antalyaspor,0,1,A,1,2,A,2,7,9
2122,16/04/2022,Altay,Buyuksehyr,0,1,A,1,1,D,3,9,12
2122,24/04/2022,Altay,Galatasaray,0,1,A,0,1,A,6,5,11
2122,08/05/2022,Altay,Giresunspor,0,1,A,1,1,D,8,5,13
2122,21/05/2022,Altay,Kasimpasa,1,2,A,2,4,A,6,3,9
