Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,13/09/2020,Ankaragucu,Erzurum BB,0,0,D,1,2,A,6,3,9
2021,02/10/2020,Ankaragucu,Kayserispor,0,1,A,0,1,A,7,2,9
2021,08/11/2020,Ankaragucu,Karagumruk,1,2,A,2,2,D,10,3,13
2021,27/11/2020,Ankaragucu,Trabzonspor,0,1,A,0,1,A,5,5,10
2021,12/12/2020,Ankaragucu,Konyaspor,1,2,A,4,3,H,4,2,6
2021,15/12/2020,Ankaragucu,Hatayspor,0,0,D,2,0,H,3,4,7
2021,24/12/2020,Ankaragucu,Besiktas,0,0,D,0,1,A,2,1,3
2021,02/01/2021,Ankaragucu,Yeni Malatyaspor,2,0,H,3,1,H,4,7,11
2021,10/01/2021,Ankaragucu,Buyuksehyr,1,1,D,1,2,A,5,3,8
2021,21/01/2021,Ankaragucu,Kasimpasa,1,0,H,1,0,H,0,7,7
2021,07/02/2021,Ankaragucu,Sivasspor,0,1,A,1,4,A,3,2,5
2021,22/02/2021,Ankaragucu,Rizespor,1,1,D,1,1,D,5,1,6
2021,03/03/2021,Ankaragucu,Galatasaray,1,0,H,2,1,H,1,5,6
2021,14/03/2021,Ankaragucu,Goztep,1,0,H,3,0,H,5,7,12
2021,04/04/2021,Ankaragucu,Antalyaspor,0,0,D,1,0,H,3,9,12
2021,11/04/2021,Ankaragucu,Genclerbirligi,0,0,D,2,1,H,5,3,8
2021,21/04/2021,Ankaragucu,Denizlispor,1,1,D,1,1,D,6,3,9
2021,29/04/2021,Ankaragucu,Gaziantep,0,0,D,0,1,A,8,4,12
2021,08/05/2021,Ankaragucu,Fenerbahce,1,1,D,1,2,A,5,12,17
2021,15/05/2021,Ankaragucu,Alanyaspor,0,1,A,0,1,A,6,3,9
2223,08/08/2022,Ankaragucu,Konyaspor,0.0,0.0,D,0,0,D,6.0,3.0,9.0
2223,04/09/2022,Ankaragucu,Besiktas,1.0,2.0,A,2,3,A,2.0,1.0,3.0
2223,18/09/2022,Ankaragucu,Sivasspor,2.0,0.0,H,2,1,H,5.0,5.0,10.0
2223,01/10/2022,Ankaragucu,Buyuksehyr,0.0,1.0,A,1,2,A,8.0,6.0,14.0
2223,17/10/2022,Ankaragucu,Fenerbahce,0.0,2.0,A,0,3,A,5.0,2.0,7.0
2223,30/10/2022,Ankaragucu,Hatayspor,1.0,0.0,H,4,1,H,6.0,5.0,11.0
2223,11/11/2022,Ankaragucu,Trabzonspor,0.0,0.0,D,1,1,D,5.0,4.0,9.0
2223,27/12/2022,Ankaragucu,Umraniyespor,1.0,1.0,D,1,2,A,8.0,5.0,13.0
2223,08/01/2023,Ankaragucu,Kayserispor,1.0,1.0,D,2,1,H,8.0,2.0,10.0
2223,28/01/2023,Ankaragucu,Gaziantep,0.0,0.0,D,0,2,A,5.0,11.0,16.0
2223,04/02/2023,Ankaragucu,Karagumruk,0.0,1.0,A,0,2,A,10.0,2.0,12.0
2223,12/03/2023,Ankaragucu,Alanyaspor,1.0,0.0,H,2,0,H,4.0,2.0,6.0
2223,08/04/2023,Ankaragucu,Istanbulspor,2.0,0.0,H,3,2,H,8.0,4.0,12.0
2223,20/04/2023,Ankaragucu,Giresunspor,0.0,1.0,A,3,1,H,6.0,2.0,8.0
2223,29/04/2023,Ankaragucu,Kasimpasa,0.0,0.0,D,0,0,D,5.0,3.0,8.0
2223,17/05/2023,Ankaragucu,Antalyaspor,0.0,0.0,D,1,1,D,3.0,2.0,5.0
2223,30/05/2023,Ankaragucu,Galatasaray,1.0,2.0,A,1,4,A,4.0,7.0,11.0
2223,07/06/2023,Ankaragucu,Ad. Demirspor,0.0,1.0,A,1,2,A,7.0,1.0,8.0
2324,21/08/2023,Ankaragucu,Ad. Demirspor,1.0,1.0,D,1,1,D,3.0,4.0,7.0
2324,03/09/2023,Ankaragucu,Fenerbahce,0.0,0.0,D,0,1,A,4.0,2.0,6.0
2324,24/09/2023,Ankaragucu,Konyaspor,1.0,1.0,D,1,1,D,4.0,2.0,6.0
2324,07/10/2023,Ankaragucu,Kayserispor,0.0,0.0,D,3,0,H,1.0,3.0,4.0
2324,29/10/2023,Ankaragucu,Samsunspor,0.0,0.0,D,2,0,H,4.0,6.0,10.0
2324,10/11/2023,Ankaragucu,Antalyaspor,0.0,2.0,A,0,4,A,2.0,5.0,7.0
2324,03/12/2023,Ankaragucu,Besiktas,1.0,0.0,H,1,1,D,1.0,5.0,6.0
2324,11/12/2023,Ankaragucu,Rizespor,1.0,0.0,H,1,1,D,2.0,1.0,3.0
2324,21/12/2023,Ankaragucu,Hatayspor,0.0,0.0,D,0,0,D,6.0,5.0,11.0
2324,06/01/2024,Ankaragucu,Trabzonspor,0.0,1.0,A,0,1,A,4.0,3.0,7.0
2324,13/01/2024,Ankaragucu,Kasimpasa,1.0,1.0,D,3,1,H,2.0,5.0,7.0
2324,24/01/2024,Ankaragucu,Karagumruk,1.0,0.0,H,2,0,H,2.0,9.0,11.0
2324,02/02/2024,Ankaragucu,Sivasspor,0.0,0.0,D,0,0,D,7.0,1.0,8.0
2324,18/02/2024,Ankaragucu,Galatasaray,0.0,3.0,A,0,3,A,3.0,16.0,19.0
2324,02/03/2024,Ankaragucu,Istanbulspor,0.0,1.0,A,1,1,D,10.0,2.0,12.0
2324,16/03/2024,Ankaragucu,Buyuksehyr,0.0,0.0,D,2,1,H,1.0,2.0,3.0
2324,13/04/2024,Ankaragucu,Gaziantep,1.0,1.0,D,3,1,H,5.0,6.0,11.0
2324,03/05/2024,Ankaragucu,Alanyaspor,1.0,0.0,H,1,1,D,5.0,2.0,7.0
2324,18/05/2024,Ankaragucu,Pendikspor,0.0,0.0,D,0,0,D,4.0,4.0,8.0
