Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,13/09/2020,Antalyaspor,Genclerbirligi,1,0,H,2,0,H,2,3,5
2021,28/09/2020,Antalyaspor,Denizlispor,0,0,D,1,0,H,7,3,10
2021,18/10/2020,Antalyaspor,Gaziantep,1,0,H,1,1,D,2,7,9
2021,02/11/2020,Antalyaspor,Fenerbahce,0,0,D,1,2,A,0,12,12
2021,22/11/2020,Antalyaspor,Alanyaspor,0,0,D,0,2,A,5,3,8
2021,06/12/2020,Antalyaspor,Ankaragucu,1,0,H,1,0,H,4,5,9
2021,21/12/2020,Antalyaspor,Kayserispor,2,0,H,2,0,H,4,2,6
2021,29/12/2020,Antalyaspor,Hatayspor,0,5,A,0,6,A,2,5,7
2021,06/01/2021,Antalyaspor,Karagumruk,2,1,H,3,1,H,3,2,5
2021,16/01/2021,Antalyaspor,Trabzonspor,1,0,H,1,1,D,2,6,8
2021,03/02/2021,Antalyaspor,Besiktas,1,0,H,1,1,D,3,7,10
2021,15/02/2021,Antalyaspor,Yeni Malatyaspor,1,1,D,1,1,D,1,3,4
2021,27/02/2021,Antalyaspor,Buyuksehyr,0,0,D,0,0,D,2,2,4
2021,08/03/2021,Antalyaspor,Kasimpasa,1,0,H,1,1,D,0,4,4
2021,21/03/2021,Antalyaspor,Erzurum BB,0,1,A,3,1,H,6,3,9
2021,07/04/2021,Antalyaspor,Sivasspor,1,2,A,2,4,A,1,1,2
2021,16/04/2021,Antalyaspor,Rizespor,1,2,A,2,3,A,7,3,10
2021,24/04/2021,Antalyaspor,Galatasaray,0,0,D,0,1,A,1,8,9
2021,02/05/2021,Antalyaspor,Goztep,1,1,D,2,3,A,7,2,9
2021,15/05/2021,Antalyaspor,Konyaspor,0,0,D,0,0,D,1,4,5
2122,15/08/2021,Antalyaspor,Goztep,1,0,H,1,1,D,2,8,10
2122,27/08/2021,Antalyaspor,Rizespor,1,0,H,3,2,H,7,1,8
2122,18/09/2021,Antalyaspor,Besiktas,2,0,H,2,3,A,7,5,12
2122,25/09/2021,Antalyaspor,Yeni Malatyaspor,0,0,D,1,0,H,8,2,10
2122,01/10/2021,Antalyaspor,Ad. Demirspor,0,1,A,1,2,A,10,2,12
2122,24/10/2021,Antalyaspor,Buyuksehyr,0,1,A,1,2,A,5,3,8
2122,06/11/2021,Antalyaspor,Altay,0,0,D,1,0,H,8,3,11
2122,27/11/2021,Antalyaspor,Alanyaspor,1,0,H,3,0,H,2,1,3
2122,11/12/2021,Antalyaspor,Trabzonspor,1,1,D,2,1,H,5,3,8
2122,21/12/2021,Antalyaspor,Kasimpasa,1,0,H,1,1,D,6,3,9
2122,15/01/2022,Antalyaspor,Fenerbahce,0,0,D,1,1,D,1,1,2
2122,23/01/2022,Antalyaspor,Gaziantep,0,0,D,0,0,D,3,5,8
2122,13/02/2022,Antalyaspor,Karagumruk,2,0,H,3,0,H,4,1,5
2122,06/03/2022,Antalyaspor,Sivasspor,1,0,H,1,0,H,3,6,9
2122,20/03/2022,Antalyaspor,Giresunspor,1,0,H,4,1,H,4,2,6
2122,11/04/2022,Antalyaspor,Hatayspor,3,1,H,4,1,H,3,5,8
2122,24/04/2022,Antalyaspor,Kayserispor,0,0,D,1,1,D,5,4,9
2122,09/05/2022,Antalyaspor,Konyaspor,2,2,D,3,2,H,2,5,7
2122,20/05/2022,Antalyaspor,Galatasaray,1,0,H,1,1,D,5,6,11
2223,07/08/2022,Antalyaspor,Galatasaray,0.0,0.0,D,0,1,A,1.0,6.0,7.0
2223,20/08/2022,Antalyaspor,Trabzonspor,2.0,1.0,H,5,2,H,3.0,5.0,8.0
2223,04/09/2022,Antalyaspor,Kasimpasa,0.0,1.0,A,0,2,A,8.0,3.0,11.0
2223,17/09/2022,Antalyaspor,Ad. Demirspor,0.0,1.0,A,0,3,A,6.0,2.0,8.0
2223,08/10/2022,Antalyaspor,Konyaspor,0.0,0.0,D,1,1,D,2.0,3.0,5.0
2223,21/10/2022,Antalyaspor,Istanbulspor,1.0,1.0,D,2,1,H,11.0,4.0,15.0
2223,06/11/2022,Antalyaspor,Karagumruk,3.0,2.0,H,4,2,H,9.0,1.0,10.0
2223,23/12/2022,Antalyaspor,Ankaragucu,0.0,0.0,D,0,2,A,1.0,6.0,7.0
2223,03/01/2023,Antalyaspor,Fenerbahce,1.0,0.0,H,1,2,A,3.0,8.0,11.0
2223,14/01/2023,Antalyaspor,Giresunspor,1.0,1.0,D,2,2,D,5.0,4.0,9.0
2223,28/01/2023,Antalyaspor,Umraniyespor,1.0,1.0,D,3,2,H,8.0,2.0,10.0
2223,04/02/2023,Antalyaspor,Gaziantep,1.0,0.0,H,1,0,H,5.0,7.0,12.0
2223,11/03/2023,Antalyaspor,Kayserispor,1.0,0.0,H,4,0,H,7.0,2.0,9.0
