Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Besiktas,Antalyaspor,1,0,H,1,1,D,5,3,8
2021,04/10/2020,Besiktas,Genclerbirligi,0,1,A,0,1,A,6,5,11
2021,01/11/2020,Besiktas,Yeni Malatyaspor,0,0,D,1,0,H,4,1,5
2021,21/11/2020,Besiktas,Buyuksehyr,2,0,H,3,2,H,4,8,12
2021,04/12/2020,Besiktas,Kasimpasa,1,0,H,3,0,H,6,3,9
2021,20/12/2020,Besiktas,Erzurum BB,0,0,D,4,0,H,10,6,16
2021,28/12/2020,Besiktas,Sivasspor,1,0,H,3,0,H,1,5,6
2021,06/01/2021,Besiktas,Rizespor,2,0,H,6,0,H,2,4,6
2021,17/01/2021,Besiktas,Galatasaray,0,0,D,2,0,H,10,7,17
2021,24/01/2021,Besiktas,Goztep,0,1,A,2,1,H,1,2,3
2021,31/01/2021,Besiktas,Trabzonspor,1,1,D,1,2,A,7,5,12
2021,07/02/2021,Besiktas,Konyaspor,0,0,D,1,0,H,5,3,8
2021,26/02/2021,Besiktas,Denizlispor,3,0,H,3,0,H,9,6,15
2021,06/03/2021,Besiktas,Gaziantep,1,0,H,2,1,H,4,5,9
2021,21/03/2021,Besiktas,Fenerbahce,0,0,D,1,1,D,3,7,10
2021,07/04/2021,Besiktas,Alanyaspor,1,0,H,3,0,H,4,5,9
2021,16/04/2021,Besiktas,Ankaragucu,1,0,H,2,2,D,5,2,7
2021,24/04/2021,Besiktas,Kayserispor,2,1,H,3,1,H,3,0,3
2021,01/05/2021,Besiktas,Hatayspor,5,0,H,7,0,H,3,3,6
2021,11/05/2021,Besiktas,Karagumruk,0,1,A,1,2,A,8,2,10
2122,13/08/2021,Besiktas,Rizespor,1,0,H,3,0,H,4,5,9
2122,28/08/2021,Besiktas,Karagumruk,1,0,H,1,0,H,9,1,10
2122,11/09/2021,Besiktas,Yeni Malatyaspor,2,0,H,3,0,H,9,3,12
2122,21/09/2021,Besiktas,Ad. Demirspor,2,0,H,3,3,D,5,6,11
2122,02/10/2021,Besiktas,Sivasspor,1,0,H,2,1,H,3,2,5
2122,25/10/2021,Besiktas,Galatasaray,1,1,D,2,1,H,5,5,10
2122,06/11/2021,Besiktas,Trabzonspor,0,1,A,1,2,A,7,4,11
2122,27/11/2021,Besiktas,Giresunspor,0,1,A,0,4,A,8,3,11
2122,12/12/2021,Besiktas,Kayserispor,1,1,D,4,2,H,7,2,9
2122,23/12/2021,Besiktas,Goztep,1,1,D,2,1,H,3,2,5
2122,14/01/2022,Besiktas,Gaziantep,0,0,D,1,0,H,10,4,14
2122,06/02/2022,Besiktas,Antalyaspor,0,0,D,0,0,D,11,2,13
