Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Buyuksehyr,Galatasaray,0,1,A,0,2,A,5,2,7
2021,03/10/2020,Buyuksehyr,Goztep,0,0,D,0,0,D,10,3,13
2021,24/10/2020,Buyuksehyr,Antalyaspor,4,1,H,5,1,H,12,1,13
2021,08/11/2020,Buyuksehyr,Genclerbirligi,0,1,A,2,1,H,17,3,20
2021,28/11/2020,Buyuksehyr,Denizlispor,2,0,H,3,3,D,6,4,10
2021,13/12/2020,Buyuksehyr,Gaziantep,0,1,A,1,2,A,4,4,8
2021,27/12/2020,Buyuksehyr,Kasimpasa,1,1,D,2,2,D,6,4,10
2021,06/01/2021,Buyuksehyr,Erzurum BB,1,0,H,1,0,H,4,2,6
2021,16/01/2021,Buyuksehyr,Sivasspor,1,1,D,1,1,D,3,3,6
2021,23/01/2021,Buyuksehyr,Rizespor,0,0,D,1,1,D,9,1,10
2021,30/01/2021,Buyuksehyr,Hatayspor,0,3,A,1,5,A,4,4,8
2021,06/02/2021,Buyuksehyr,Karagumruk,0,0,D,0,1,A,5,3,8
2021,19/02/2021,Buyuksehyr,Trabzonspor,0,0,D,0,1,A,3,3,6
2021,03/03/2021,Buyuksehyr,Konyaspor,0,0,D,1,1,D,4,4,8
2021,12/03/2021,Buyuksehyr,Besiktas,0,1,A,2,3,A,4,1,5
2021,04/04/2021,Buyuksehyr,Yeni Malatyaspor,1,0,H,3,1,H,7,3,10
2021,18/04/2021,Buyuksehyr,Fenerbahce,1,1,D,1,2,A,1,6,7
2021,25/04/2021,Buyuksehyr,Alanyaspor,0,0,D,0,0,D,4,3,7
2021,03/05/2021,Buyuksehyr,Ankaragucu,0,1,A,2,1,H,7,5,12
2021,11/05/2021,Buyuksehyr,Kayserispor,0,0,D,0,0,D,1,6,7
2122,15/08/2021,Buyuksehyr,Alanyaspor,0,1,A,0,1,A,8,0,8
