Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Denizlispor,Trabzonspor,0,0,D,0,0,D,7,7,14
2021,04/10/2020,Denizlispor,Konyaspor,0,0,D,0,0,D,6,6,12
2021,26/10/2020,Denizlispor,Besiktas,0,2,A,2,3,A,2,5,7
2021,21/11/2020,Denizlispor,Gaziantep,0,1,A,0,1,A,6,3,9
2021,06/12/2020,Denizlispor,Fenerbahce,0,2,A,0,2,A,11,4,15
2021,20/12/2020,Denizlispor,Alanyaspor,1,0,H,1,0,H,3,8,11
2021,27/12/2020,Denizlispor,Ankaragucu,0,2,A,1,2,A,7,4,11
2021,06/01/2021,Denizlispor,Kayserispor,0,1,A,0,1,A,7,8,15
2021,17/01/2021,Denizlispor,Hatayspor,0,0,D,0,2,A,6,2,8
2021,24/01/2021,Denizlispor,Karagumruk,0,1,A,1,2,A,4,1,5
2021,31/01/2021,Denizlispor,Goztep,1,0,H,2,1,H,2,5,7
2021,07/02/2021,Denizlispor,Antalyaspor,1,0,H,1,1,D,2,3,5
2021,20/02/2021,Denizlispor,Genclerbirligi,1,0,H,1,0,H,5,4,9
2021,06/03/2021,Denizlispor,Yeni Malatyaspor,2,1,H,3,2,H,4,4,8
2021,21/03/2021,Denizlispor,Buyuksehyr,0,0,D,0,0,D,2,5,7
2021,08/04/2021,Denizlispor,Kasimpasa,0,0,D,1,1,D,1,2,3
2021,17/04/2021,Denizlispor,Erzurum BB,0,1,A,2,3,A,6,4,10
2021,24/04/2021,Denizlispor,Sivasspor,0,1,A,1,1,D,5,5,10
2021,02/05/2021,Denizlispor,Rizespor,0,0,D,0,1,A,0,4,4
2021,11/05/2021,Denizlispor,Galatasaray,0,2,A,1,4,A,1,6,7
