Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Erzurum BB,Sivasspor,0,0,D,1,2,A,2,7,9
2021,03/10/2020,Erzurum BB,Rizespor,0,0,D,0,0,D,9,3,12
2021,24/10/2020,Erzurum BB,Galatasaray,1,1,D,1,2,A,3,3,6
2021,07/11/2020,Erzurum BB,Goztep,0,1,A,1,1,D,9,6,15
2021,29/11/2020,Erzurum BB,Antalyaspor,1,0,H,2,2,D,2,8,10
2021,13/12/2020,Erzurum BB,Genclerbirligi,0,0,D,0,1,A,6,8,14
2021,23/12/2020,Erzurum BB,Denizlispor,0,1,A,1,2,A,12,4,16
2021,02/01/2021,Erzurum BB,Gaziantep,0,0,D,1,1,D,2,5,7
2021,11/01/2021,Erzurum BB,Fenerbahce,0,1,A,0,3,A,6,5,11
2021,21/01/2021,Erzurum BB,Alanyaspor,1,0,H,1,1,D,1,9,10
2021,31/01/2021,Erzurum BB,Ankaragucu,0,0,D,1,0,H,3,4,7
2021,07/02/2021,Erzurum BB,Kayserispor,1,0,H,1,1,D,1,5,6
2021,21/02/2021,Erzurum BB,Hatayspor,0,2,A,1,3,A,3,7,10
2021,03/03/2021,Erzurum BB,Karagumruk,1,1,D,2,2,D,3,6,9
2021,14/03/2021,Erzurum BB,Trabzonspor,0,0,D,0,0,D,12,2,14
2021,04/04/2021,Erzurum BB,Konyaspor,1,2,A,1,2,A,4,6,10
2021,11/04/2021,Erzurum BB,Besiktas,2,2,D,2,4,A,3,2,5
2021,21/04/2021,Erzurum BB,Yeni Malatyaspor,0,0,D,1,0,H,2,6,8
2021,29/04/2021,Erzurum BB,Buyuksehyr,1,0,H,1,2,A,5,6,11
2021,08/05/2021,Erzurum BB,Kasimpasa,0,0,D,0,1,A,3,4,7
