Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,21/09/2020,Fenerbahce,Hatayspor,0,0,D,0,0,D,3,1,4
2021,03/10/2020,Fenerbahce,Karagumruk,1,0,H,2,1,H,3,7,10
2021,25/10/2020,Fenerbahce,Trabzonspor,0,1,A,3,1,H,10,2,12
2021,07/11/2020,Fenerbahce,Konyaspor,0,0,D,0,2,A,13,4,17
2021,29/11/2020,Fenerbahce,Besiktas,1,2,A,3,4,A,9,1,10
2021,12/12/2020,Fenerbahce,Yeni Malatyaspor,0,2,A,0,3,A,9,2,11
2021,23/12/2020,Fenerbahce,Buyuksehyr,1,1,D,4,1,H,7,10,17
2021,07/01/2021,Fenerbahce,Alanyaspor,1,0,H,2,1,H,2,9,11
2021,18/01/2021,Fenerbahce,Ankaragucu,2,0,H,3,1,H,4,4,8
2021,25/01/2021,Fenerbahce,Kayserispor,1,0,H,3,0,H,6,5,11
2021,30/01/2021,Fenerbahce,Rizespor,1,0,H,1,0,H,7,2,9
2021,06/02/2021,Fenerbahce,Galatasaray,0,0,D,0,1,A,8,6,14
2021,21/02/2021,Fenerbahce,Goztep,0,1,A,0,1,A,13,1,14
2021,04/03/2021,Fenerbahce,Antalyaspor,0,1,A,1,1,D,11,1,12
2021,14/03/2021,Fenerbahce,Genclerbirligi,1,1,D,1,2,A,6,1,7
2021,05/04/2021,Fenerbahce,Denizlispor,0,0,D,1,0,H,13,1,14
2021,12/04/2021,Fenerbahce,Gaziantep,0,0,D,3,1,H,8,3,11
2021,25/04/2021,Fenerbahce,Kasimpasa,3,1,H,3,2,H,7,3,10
2021,03/05/2021,Fenerbahce,Erzurum BB,3,0,H,3,1,H,10,5,15
2021,11/05/2021,Fenerbahce,Sivasspor,0,1,A,1,2,A,8,1,9
2122,22/08/2021,Fenerbahce,Antalyaspor,0,0,D,2,0,H,13,2,15
2122,12/09/2021,Fenerbahce,Sivasspor,1,1,D,1,1,D,2,2,4
2122,23/09/2021,Fenerbahce,Giresunspor,1,0,H,2,1,H,6,2,8
2122,03/10/2021,Fenerbahce,Kasimpasa,2,0,H,2,1,H,3,3,6
2122,24/10/2021,Fenerbahce,Alanyaspor,0,0,D,1,2,A,9,4,13
2122,07/11/2021,Fenerbahce,Kayserispor,0,1,A,2,2,D,7,1,8
2122,05/12/2021,Fenerbahce,Rizespor,1,0,H,4,0,H,5,3,8
2122,19/12/2021,Fenerbahce,Besiktas,2,1,H,2,2,D,0,7,7
2122,26/12/2021,Fenerbahce,Yeni Malatyaspor,1,0,H,2,0,H,3,1,4
2122,10/01/2022,Fenerbahce,Ad. Demirspor,1,1,D,1,2,A,9,1,10
2122,19/01/2022,Fenerbahce,Altay,1,1,D,2,1,H,4,2,6
2122,05/02/2022,Fenerbahce,Buyuksehyr,0,0,D,0,1,A,1,6,7
2122,20/02/2022,Fenerbahce,Hatayspor,0,0,D,2,0,H,10,4,14
2122,06/03/2022,Fenerbahce,Trabzonspor,0,1,A,1,1,D,4,4,8
