Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,12/09/2020,Galatasaray,Gaziantep,3,0,H,3,1,H,8,6,14
2021,27/09/2020,Galatasaray,Fenerbahce,0,0,D,0,0,D,5,9,14
2021,19/10/2020,Galatasaray,Alanyaspor,1,1,D,1,2,A,3,10,13
2021,31/10/2020,Galatasaray,Ankaragucu,1,0,H,1,0,H,7,3,10
2021,23/11/2020,Galatasaray,Kayserispor,0,0,D,1,1,D,10,2,12
2021,05/12/2020,Galatasaray,Hatayspor,1,0,H,3,0,H,7,5,12
2021,22/12/2020,Galatasaray,Goztep,2,1,H,3,1,H,8,7,15
2021,02/01/2021,Galatasaray,Antalyaspor,0,0,D,0,0,D,6,8,14
2021,09/01/2021,Galatasaray,Genclerbirligi,4,0,H,6,0,H,5,4,9
2021,20/01/2021,Galatasaray,Denizlispor,3,0,H,6,1,H,8,11,19
2021,02/02/2021,Galatasaray,Buyuksehyr,1,0,H,3,0,H,6,5,11
2021,14/02/2021,Galatasaray,Kasimpasa,1,0,H,2,1,H,8,2,10
2021,27/02/2021,Galatasaray,Erzurum BB,2,0,H,2,0,H,5,3,8
2021,07/03/2021,Galatasaray,Sivasspor,1,2,A,2,2,D,6,4,10
2021,19/03/2021,Galatasaray,Rizespor,2,2,D,3,4,A,7,1,8
2021,10/04/2021,Galatasaray,Karagumruk,0,0,D,1,1,D,3,9,12
2021,21/04/2021,Galatasaray,Trabzonspor,0,0,D,1,1,D,7,5,12
2021,28/04/2021,Galatasaray,Konyaspor,0,0,D,1,0,H,11,1,12
2021,08/05/2021,Galatasaray,Besiktas,2,1,H,3,1,H,4,5,9
2021,15/05/2021,Galatasaray,Yeni Malatyaspor,0,1,A,3,1,H,15,0,15
2122,23/08/2021,Galatasaray,Hatayspor,1,1,D,2,1,H,17,1,18
2122,19/09/2021,Galatasaray,Alanyaspor,0,0,D,0,1,A,13,3,16
2122,26/09/2021,Galatasaray,Goztep,0,1,A,2,1,H,5,5,10
2122,17/10/2021,Galatasaray,Konyaspor,1,0,H,1,0,H,3,6,9
2122,31/10/2021,Galatasaray,Gaziantep,1,0,H,2,0,H,3,2,5
2122,21/11/2021,Galatasaray,Fenerbahce,1,1,D,1,2,A,4,1,5
2122,04/12/2021,Galatasaray,Altay,1,1,D,2,2,D,12,7,19
2122,18/12/2021,Galatasaray,Buyuksehyr,0,1,A,1,1,D,5,1,6
2122,25/12/2021,Galatasaray,Antalyaspor,1,0,H,2,0,H,4,6,10
2122,08/01/2022,Galatasaray,Giresunspor,0,1,A,0,1,A,12,1,13
2122,20/01/2022,Galatasaray,Kasimpasa,1,1,D,1,3,A,5,6,11
2122,23/01/2022,Galatasaray,Trabzonspor,1,0,H,1,2,A,4,8,12
2122,12/02/2022,Galatasaray,Kayserispor,0,0,D,1,1,D,13,3,16
2122,27/02/2022,Galatasaray,Rizespor,1,1,D,4,2,H,9,4,13
2122,14/03/2022,Galatasaray,Besiktas,2,0,H,2,1,H,4,5,9
2122,02/04/2022,Galatasaray,Karagumruk,2,0,H,2,0,H,5,7,12
2122,18/04/2022,Galatasaray,Yeni Malatyaspor,0,0,D,2,0,H,6,3,9
2122,01/05/2022,Galatasaray,Sivasspor,1,1,D,2,3,A,6,1,7
2122,16/05/2022,Galatasaray,Ad. Demirspor,1,1,D,3,2,H,7,1,8
2223,13/08/2022,Galatasaray,Giresunspor,0.0,0.0,D,0,1,A,10.0,3.0,13.0
2223,05/09/2022,Galatasaray,Gaziantep,1.0,1.0,D,2,1,H,7.0,3.0,10.0
2223,16/09/2022,Galatasaray,Konyaspor,1.0,1.0,D,2,1,H,6.0,4.0,10.0
2223,23/10/2022,Galatasaray,Alanyaspor,2.0,0.0,H,2,2,D,7.0,5.0,12.0
2223,05/11/2022,Galatasaray,Besiktas,1.0,1.0,D,2,1,H,10.0,7.0,17.0
2223,25/12/2022,Galatasaray,Istanbulspor,2.0,0.0,H,2,1,H,12.0,5.0,17.0
2223,04/01/2023,Galatasaray,Ankaragucu,2.0,1.0,H,2,1,H,6.0,4.0,10.0
2223,13/01/2023,Galatasaray,Hatayspor,3.0,0.0,H,4,0,H,8.0,3.0,11.0
2223,21/01/2023,Galatasaray,Antalyaspor,0.0,0.0,D,2,1,H,16.0,1.0,17.0
2223,01/02/2023,Galatasaray,Umraniyespor,1.0,2.0,A,3,2,H,13.0,1.0,14.0
2223,05/02/2023,Galatasaray,Trabzonspor,1.0,1.0,D,2,1,H,6.0,5.0,11.0
2223,11/03/2023,Galatasaray,Kasimpasa,0.0,0.0,D,1,0,H,7.0,1.0,8.0
2223,01/04/2023,Galatasaray,Ad. Demirspor,0.0,0.0,D,2,0,H,8.0,4.0,12.0
2223,14/04/2023,Galatasaray,Kayserispor,4.0,0.0,H,6,0,H,2.0,7.0,9.0
2223,23/04/2023,Galatasaray,Karagumruk,2.0,3.0,A,3,3,D,5.0,4.0,9.0
2223,08/05/2023,Galatasaray,Buyuksehyr,1.0,0.0,H,1,0,H,10.0,4.0,14.0
2223,20/05/2023,Galatasaray,Sivasspor,1.0,0.0,H,2,0,H,6.0,3.0,9.0
2223,04/06/2023,Galatasaray,Fenerbahce,1.0,0.0,H,3,0,H,6.0,3.0,9.0
2324,19/08/2023,Galatasaray,Trabzonspor,1.0,0.0,H,2,0,H,7.0,1.0,8.0
2324,16/09/2023,Galatasaray,Samsunspor,3.0,0.0,H,4,2,H,2.0,6.0,8.0
2324,30/09/2023,Galatasaray,Ankaragucu,0.0,0.0,D,2,1,H,12.0,3.0,15.0
2324,21/10/2023,Galatasaray,Besiktas,1.0,0.0,H,2,1,H,6.0,2.0,8.0
2324,03/11/2023,Galatasaray,Kasimpasa,1.0,0.0,H,2,1,H,5.0,3.0,8.0
2324,25/11/2023,Galatasaray,Alanyaspor,2.0,0.0,H,4,0,H,9.0,3.0,12.0
2324,08/12/2023,Galatasaray,Ad. Demirspor,2.0,1.0,H,3,1,H,7.0,4.0,11.0
2324,20/12/2023,Galatasaray,Karagumruk,1.0,0.0,H,1,0,H,7.0,4.0,11.0
2324,07/01/2024,Galatasaray,Konyaspor,0.0,0.0,D,3,0,H,13.0,3.0,16.0
2324,15/01/2024,Galatasaray,Kayserispor,1.0,0.0,H,2,1,H,8.0,5.0,13.0
2324,25/01/2024,Galatasaray,Istanbulspor,1.0,1.0,D,3,1,H,3.0,2.0,5.0
2324,29/01/2024,Galatasaray,Gaziantep,0.0,1.0,A,2,1,H,13.0,2.0,15.0
2324,10/02/2024,Galatasaray,Buyuksehyr,2.0,0.0,H,2,0,H,7.0,3.0,10.0
2324,26/02/2024,Galatasaray,Antalyaspor,2.0,1.0,H,2,1,H,5.0,6.0,11.0
2324,08/03/2024,Galatasaray,Rizespor,4.0,1.0,H,6,2,H,3.0,3.0,6.0
2324,02/04/2024,Galatasaray,Hatayspor,1.0,0.0,H,1,0,H,8.0,5.0,13.0
2324,21/04/2024,Galatasaray,Pendikspor,2.0,0.0,H,4,1,H,4.0,3.0,7.0
2324,05/05/2024,Galatasaray,Sivasspor,2.0,0.0,H,6,1,H,5.0,1.0,6.0
2324,19/05/2024,Galatasaray,Fenerbahce,0.0,0.0,D,0,1,A,1.0,5.0,6.0
2425,09/08/2024,Galatasaray,Hatayspor,0,0,D,2,1,H,12,2,14
2425,14/09/2024,Galatasaray,Rizespor,2,0,H,5,0,H,6,1,7
2425,17/09/2024,Galatasaray,Gaziantep,2,0,H,3,1,H,11,4,15
2425,28/09/2024,Galatasaray,Kasimpasa,3,1,H,3,3,D,2,4,6
2425,06/10/2024,Galatasaray,Alanyaspor,1,0,H,1,0,H,10,3,13
2425,28/10/2024,Galatasaray,Besiktas,1,0,H,2,1,H,8,5,13
