Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Gaziantep,Karagumruk,0,1,A,2,2,D,7,7,14
2021,02/10/2020,Gaziantep,Trabzonspor,0,0,D,1,1,D,5,6,11
2021,24/10/2020,Gaziantep,Konyaspor,0,0,D,1,0,H,6,4,10
2021,06/11/2020,Gaziantep,Besiktas,1,0,H,3,1,H,5,2,7
2021,28/11/2020,Gaziantep,Yeni Malatyaspor,1,0,H,2,2,D,3,7,10
2021,19/12/2020,Gaziantep,Fenerbahce,2,1,H,3,1,H,7,4,11
2021,27/12/2020,Gaziantep,Alanyaspor,2,1,H,3,1,H,2,5,7
2021,05/01/2021,Gaziantep,Ankaragucu,0,0,D,2,0,H,9,4,13
2021,16/01/2021,Gaziantep,Kayserispor,1,0,H,2,1,H,5,2,7
2021,24/01/2021,Gaziantep,Hatayspor,1,0,H,1,1,D,2,5,7
2021,29/01/2021,Gaziantep,Galatasaray,0,0,D,1,2,A,8,4,12
2021,08/02/2021,Gaziantep,Goztep,0,0,D,2,0,H,2,2,4
2021,21/02/2021,Gaziantep,Antalyaspor,0,0,D,0,0,D,7,4,11
2021,02/03/2021,Gaziantep,Genclerbirligi,0,1,A,2,1,H,7,3,10
2021,14/03/2021,Gaziantep,Denizlispor,0,0,D,2,0,H,8,3,11
2021,08/04/2021,Gaziantep,Buyuksehyr,1,0,H,2,0,H,2,13,15
2021,18/04/2021,Gaziantep,Kasimpasa,0,1,A,2,2,D,9,6,15
2021,25/04/2021,Gaziantep,Erzurum BB,0,0,D,2,3,A,7,5,12
2021,03/05/2021,Gaziantep,Sivasspor,0,1,A,0,1,A,4,14,18
2021,11/05/2021,Gaziantep,Rizespor,0,3,A,4,5,A,9,3,12
2122,21/08/2021,Gaziantep,Besiktas,0,0,D,0,0,D,5,2,7
2122,13/09/2021,Gaziantep,Antalyaspor,0,0,D,2,0,H,3,4,7
2122,22/09/2021,Gaziantep,Buyuksehyr,1,0,H,1,0,H,3,15,18
2122,03/10/2021,Gaziantep,Altay,0,0,D,4,1,H,8,7,15
2122,23/10/2021,Gaziantep,Giresunspor,0,0,D,1,1,D,3,5,8
2122,05/11/2021,Gaziantep,Kasimpasa,1,0,H,2,0,H,4,3,7
2122,28/11/2021,Gaziantep,Konyaspor,1,1,D,3,2,H,5,6,11
2122,13/12/2021,Gaziantep,Fenerbahce,1,1,D,3,2,H,4,5,9
2122,22/12/2021,Gaziantep,Alanyaspor,0,0,D,2,1,H,7,3,10
2122,08/01/2022,Gaziantep,Karagumruk,2,0,H,3,1,H,5,4,9
2122,05/02/2022,Gaziantep,Sivasspor,3,1,H,5,1,H,4,3,7
2122,20/02/2022,Gaziantep,Ad. Demirspor,0,1,A,0,3,A,4,7,11
2122,23/02/2022,Gaziantep,Yeni Malatyaspor,0,0,D,0,0,D,6,4,10
2122,07/03/2022,Gaziantep,Hatayspor,1,2,A,2,2,D,11,3,14
2122,20/03/2022,Gaziantep,Galatasaray,1,1,D,3,1,H,7,7,14
2122,09/04/2022,Gaziantep,Trabzonspor,0,0,D,0,0,D,5,6,11
2122,23/04/2022,Gaziantep,Goztep,0,0,D,1,1,D,12,2,14
2122,06/05/2022,Gaziantep,Kayserispor,1,1,D,1,1,D,4,3,7
2122,20/05/2022,Gaziantep,Rizespor,1,0,H,2,0,H,8,6,14
2223,14/08/2022,Gaziantep,Ankaragucu,0.0,0.0,D,1,0,H,9.0,4.0,13.0
2223,26/08/2022,Gaziantep,Antalyaspor,1.0,2.0,A,5,2,H,3.0,4.0,7.0
2223,11/09/2022,Gaziantep,Umraniyespor,0.0,0.0,D,1,1,D,2.0,3.0,5.0
2223,07/10/2022,Gaziantep,Ad. Demirspor,0.0,0.0,D,1,1,D,2.0,5.0,7.0
2223,06/11/2022,Gaziantep,Kayserispor,0.0,1.0,A,1,2,A,4.0,6.0,10.0
2223,25/12/2022,Gaziantep,Besiktas,0.0,0.0,D,1,1,D,2.0,4.0,6.0
2223,05/01/2023,Gaziantep,Buyuksehyr,0.0,1.0,A,1,1,D,5.0,5.0,10.0
2223,15/01/2023,Gaziantep,Fenerbahce,0.0,1.0,A,1,2,A,4.0,11.0,15.0
2223,22/01/2023,Gaziantep,Sivasspor,0.0,1.0,A,1,2,A,7.0,4.0,11.0
2223,01/02/2023,Gaziantep,Hatayspor,1.0,1.0,D,4,1,H,4.0,2.0,6.0
2223,05/03/2023,Gaziantep,Galatasaray,,,,0,3,A,,,
2223,19/03/2023,Gaziantep,Trabzonspor,,,,0,3,A,,,
2223,02/04/2023,Gaziantep,Kasimpasa,,,,0,3,A,,,
2223,16/04/2023,Gaziantep,Konyaspor,,,,0,3,A,,,
2223,23/04/2023,Gaziantep,Alanyaspor,,,,0,3,A,,,
2223,07/05/2023,Gaziantep,Karagumruk,,,,0,3,A,,,
2223,21/05/2023,Gaziantep,Giresunspor,,,,0,3,A,,,
2223,03/06/2023,Gaziantep,Istanbulspor,,,,0,3,A,,,
2324,20/08/2023,Gaziantep,Sivasspor,0.0,2.0,A,1,3,A,7.0,4.0,11.0
2324,02/09/2023,Gaziantep,Galatasaray,0.0,1.0,A,0,3,A,4.0,7.0,11.0
2324,22/09/2023,Gaziantep,Istanbulspor,0.0,0.0,D,2,0,H,8.0,4.0,12.0
2324,21/10/2023,Gaziantep,Antalyaspor,0.0,0.0,D,1,0,H,6.0,4.0,10.0
2324,06/11/2023,Gaziantep,Rizespor,1.0,0.0,H,2,0,H,3.0,5.0,8.0
2324,25/11/2023,Gaziantep,Ankaragucu,0.0,1.0,A,0,1,A,2.0,4.0,6.0
2324,10/12/2023,Gaziantep,Trabzonspor,0.0,0.0,D,1,3,A,2.0,3.0,5.0
2324,19/12/2023,Gaziantep,Ad. Demirspor,1.0,0.0,H,2,2,D,5.0,5.0,10.0
2324,05/01/2024,Gaziantep,Pendikspor,1.0,0.0,H,2,2,D,1.0,5.0,6.0
2324,14/01/2024,Gaziantep,Fenerbahce,0.0,0.0,D,0,1,A,4.0,10.0,14.0
2324,24/01/2024,Gaziantep,Konyaspor,1.0,1.0,D,1,1,D,3.0,5.0,8.0
2324,03/02/2024,Gaziantep,Kayserispor,0.0,1.0,A,1,1,D,9.0,4.0,13.0
2324,18/02/2024,Gaziantep,Samsunspor,0.0,0.0,D,1,1,D,2.0,4.0,6.0
2324,24/02/2024,Gaziantep,Buyuksehyr,0.0,0.0,D,0,2,A,5.0,0.0,5.0
2324,11/03/2024,Gaziantep,Besiktas,1.0,0.0,H,2,0,H,2.0,3.0,5.0
2324,02/04/2024,Gaziantep,Alanyaspor,0.0,2.0,A,0,3,A,7.0,3.0,10.0
