Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Genclerbirligi,Konyaspor,0,0,D,0,0,D,6,1,7
2021,19/10/2020,Genclerbirligi,Denizlispor,0,2,A,1,2,A,5,4,9
2021,31/10/2020,Genclerbirligi,Gaziantep,0,1,A,1,1,D,7,9,16
2021,21/11/2020,Genclerbirligi,Fenerbahce,1,2,A,1,5,A,5,3,8
2021,05/12/2020,Genclerbirligi,Alanyaspor,1,0,H,2,1,H,4,9,13
2021,20/12/2020,Genclerbirligi,Ankaragucu,0,0,D,1,1,D,4,5,9
2021,28/12/2020,Genclerbirligi,Kayserispor,1,1,D,3,2,H,5,2,7
2021,06/01/2021,Genclerbirligi,Hatayspor,1,1,D,3,1,H,6,2,8
2021,15/01/2021,Genclerbirligi,Karagumruk,0,2,A,1,3,A,8,3,11
2021,23/01/2021,Genclerbirligi,Trabzonspor,0,1,A,1,2,A,5,5,10
2021,31/01/2021,Genclerbirligi,Antalyaspor,0,0,D,0,1,A,3,4,7
2021,15/02/2021,Genclerbirligi,Besiktas,0,1,A,0,3,A,2,9,11
2021,26/02/2021,Genclerbirligi,Yeni Malatyaspor,0,1,A,1,1,D,13,4,17
2021,07/03/2021,Genclerbirligi,Buyuksehyr,0,0,D,0,1,A,1,7,8
2021,20/03/2021,Genclerbirligi,Kasimpasa,0,0,D,2,1,H,3,8,11
2021,07/04/2021,Genclerbirligi,Erzurum BB,1,0,H,1,1,D,4,8,12
2021,16/04/2021,Genclerbirligi,Sivasspor,2,0,H,2,3,A,3,5,8
2021,23/04/2021,Genclerbirligi,Rizespor,1,0,H,2,1,H,4,7,11
2021,02/05/2021,Genclerbirligi,Galatasaray,0,1,A,0,2,A,2,6,8
2021,11/05/2021,Genclerbirligi,Goztep,1,2,A,5,3,H,4,6,10
