Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,16/08/2021,Giresunspor,Galatasaray,0,2,A,0,2,A,5,4,9
2122,29/08/2021,Giresunspor,Trabzonspor,0,1,A,0,1,A,2,4,6
2122,19/09/2021,Giresunspor,Konyaspor,0,0,D,0,0,D,9,0,9
2122,26/09/2021,Giresunspor,Kayserispor,1,1,D,1,1,D,7,3,10
2122,16/10/2021,Giresunspor,Rizespor,0,0,D,2,0,H,7,7,14
2122,01/11/2021,Giresunspor,Antalyaspor,0,1,A,1,2,A,2,1,3
2122,20/11/2021,Giresunspor,Yeni Malatyaspor,0,0,D,1,0,H,3,7,10
2122,05/12/2021,Giresunspor,Karagumruk,0,1,A,3,1,H,7,1,8
2122,17/12/2021,Giresunspor,Altay,1,0,H,3,1,H,4,6,10
2122,25/12/2021,Giresunspor,Hatayspor,0,0,D,0,1,A,7,6,13
2122,16/01/2022,Giresunspor,Kasimpasa,0,1,A,0,2,A,7,7,14
2122,23/01/2022,Giresunspor,Alanyaspor,1,2,A,1,3,A,7,2,9
2122,12/02/2022,Giresunspor,Fenerbahce,1,1,D,1,2,A,3,8,11
2122,27/02/2022,Giresunspor,Goztep,1,0,H,3,1,H,7,5,12
2122,14/03/2022,Giresunspor,Gaziantep,1,1,D,2,1,H,6,2,8
2122,02/04/2022,Giresunspor,Sivasspor,0,2,A,2,2,D,7,3,10
2122,17/04/2022,Giresunspor,Besiktas,0,0,D,0,0,D,3,8,11
2122,29/04/2022,Giresunspor,Ad. Demirspor,1,0,H,2,0,H,4,2,6
2122,15/05/2022,Giresunspor,Buyuksehyr,0,1,A,1,1,D,4,5,9
2223,07/08/2022,Giresunspor,Ad. Demirspor,0.0,2.0,A,2,3,A,6.0,1.0,7.0
2223,20/08/2022,Giresunspor,Kasimpasa,0.0,0.0,D,1,0,H,8.0,6.0,14.0
2223,03/09/2022,Giresunspor,Konyaspor,0.0,0.0,D,0,1,A,7.0,8.0,15.0
2223,08/10/2022,Giresunspor,Besiktas,0.0,1.0,A,0,1,A,5.0,8.0,13.0
2223,24/10/2022,Giresunspor,Ankaragucu,0.0,0.0,D,1,1,D,5.0,2.0,7.0
2223,05/11/2022,Giresunspor,Istanbulspor,1.0,1.0,D,3,2,H,9.0,2.0,11.0
2223,29/12/2022,Giresunspor,Gaziantep,1.0,0.0,H,2,1,H,6.0,3.0,9.0
2223,08/01/2023,Giresunspor,Umraniyespor,0.0,0.0,D,0,1,A,14.0,7.0,21.0
2223,28/01/2023,Giresunspor,Galatasaray,0.0,1.0,A,0,4,A,9.0,3.0,12.0
2223,25/02/2023,Giresunspor,Kayserispor,0.0,2.0,A,1,2,A,9.0,4.0,13.0
2223,10/03/2023,Giresunspor,Karagumruk,2.0,1.0,H,2,2,D,2.0,2.0,4.0
2223,02/04/2023,Giresunspor,Alanyaspor,0.0,1.0,A,2,2,D,7.0,2.0,9.0
2223,16/04/2023,Giresunspor,Sivasspor,1.0,0.0,H,1,0,H,2.0,6.0,8.0
2223,24/04/2023,Giresunspor,Buyuksehyr,0.0,4.0,A,2,4,A,9.0,1.0,10.0
2223,07/05/2023,Giresunspor,Fenerbahce,0.0,1.0,A,1,1,D,3.0,11.0,14.0
2223,17/05/2023,Giresunspor,Hatayspor,,,,3,0,H,,,
2223,30/05/2023,Giresunspor,Trabzonspor,0.0,2.0,A,2,4,A,1.0,7.0,8.0
2223,07/06/2023,Giresunspor,Antalyaspor,1.0,0.0,H,2,0,H,3.0,11.0,14.0
