Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,14/09/2020,Hatayspor,Buyuksehyr,1,0,H,2,0,H,1,6,7
2021,26/09/2020,Hatayspor,Kasimpasa,0,0,D,1,0,H,6,3,9
2021,02/11/2020,Hatayspor,Sivasspor,1,1,D,1,1,D,2,2,4
2021,22/11/2020,Hatayspor,Rizespor,1,1,D,2,2,D,6,4,10
2021,09/12/2020,Hatayspor,Erzurum BB,1,0,H,3,0,H,2,6,8
2021,12/12/2020,Hatayspor,Karagumruk,1,0,H,3,1,H,1,4,5
2021,22/12/2020,Hatayspor,Trabzonspor,0,0,D,0,1,A,6,2,8
2021,02/01/2021,Hatayspor,Konyaspor,1,1,D,2,1,H,4,8,12
2021,10/01/2021,Hatayspor,Besiktas,2,2,D,2,2,D,3,9,12
2021,20/01/2021,Hatayspor,Yeni Malatyaspor,0,0,D,1,2,A,3,4,7
2021,02/02/2021,Hatayspor,Fenerbahce,0,1,A,1,2,A,7,4,11
2021,14/02/2021,Hatayspor,Alanyaspor,0,0,D,0,0,D,3,7,10
2021,27/02/2021,Hatayspor,Ankaragucu,1,1,D,4,1,H,14,4,18
2021,07/03/2021,Hatayspor,Kayserispor,0,2,A,1,3,A,7,5,12
2021,03/04/2021,Hatayspor,Galatasaray,2,0,H,3,0,H,5,7,12
2021,10/04/2021,Hatayspor,Goztep,0,2,A,2,3,A,5,2,7
2021,20/04/2021,Hatayspor,Antalyaspor,1,0,H,3,2,H,7,7,14
2021,27/04/2021,Hatayspor,Genclerbirligi,1,0,H,3,1,H,4,4,8
2021,08/05/2021,Hatayspor,Denizlispor,0,0,D,1,0,H,1,3,4
2021,15/05/2021,Hatayspor,Gaziantep,0,0,D,0,1,A,3,1,4
2122,14/08/2021,Hatayspor,Kasimpasa,0,1,A,1,1,D,7,3,10
2122,28/08/2021,Hatayspor,Alanyaspor,3,0,H,5,0,H,3,4,7
2122,19/09/2021,Hatayspor,Kayserispor,0,1,A,2,1,H,12,4,16
2122,26/09/2021,Hatayspor,Fenerbahce,0,2,A,1,2,A,5,4,9
2122,18/10/2021,Hatayspor,Gaziantep,0,0,D,2,1,H,6,3,9
2122,30/10/2021,Hatayspor,Besiktas,1,0,H,1,0,H,4,9,13
2122,20/11/2021,Hatayspor,Antalyaspor,1,1,D,3,1,H,4,5,9
2122,05/12/2021,Hatayspor,Buyuksehyr,0,3,A,0,3,A,5,7,12
2122,22/12/2021,Hatayspor,Konyaspor,1,1,D,1,3,A,2,5,7
2122,16/01/2022,Hatayspor,Galatasaray,1,2,A,4,2,H,9,5,14
2122,23/01/2022,Hatayspor,Rizespor,0,0,D,0,0,D,6,4,10
2122,14/02/2022,Hatayspor,Goztep,2,0,H,2,1,H,4,6,10
2122,27/02/2022,Hatayspor,Yeni Malatyaspor,3,0,H,5,2,H,2,4,6
2122,12/03/2022,Hatayspor,Karagumruk,2,0,H,3,0,H,2,6,8
2122,04/04/2022,Hatayspor,Ad. Demirspor,0,0,D,0,0,D,3,3,6
2122,16/04/2022,Hatayspor,Sivasspor,0,1,A,1,1,D,4,4,8
2122,30/04/2022,Hatayspor,Altay,0,1,A,0,1,A,9,2,11
2122,06/05/2022,Hatayspor,Trabzonspor,0,0,D,1,1,D,10,4,14
2122,22/05/2022,Hatayspor,Giresunspor,1,1,D,4,1,H,11,3,14
2223,20/08/2022,Hatayspor,Gaziantep,1.0,1.0,D,1,2,A,4.0,3.0,7.0
2223,04/09/2022,Hatayspor,Ad. Demirspor,1.0,0.0,H,1,1,D,2.0,5.0,7.0
2223,16/09/2022,Hatayspor,Kayserispor,0.0,2.0,A,0,4,A,8.0,3.0,11.0
2223,09/10/2022,Hatayspor,Alanyaspor,0.0,0.0,D,1,0,H,5.0,5.0,10.0
2223,24/10/2022,Hatayspor,Besiktas,0.0,1.0,A,2,1,H,1.0,11.0,12.0
2223,07/11/2022,Hatayspor,Buyuksehyr,1.0,0.0,H,3,3,D,1.0,5.0,6.0
2223,24/12/2022,Hatayspor,Giresunspor,0.0,0.0,D,1,1,D,4.0,4.0,8.0
2223,07/01/2023,Hatayspor,Antalyaspor,0.0,0.0,D,0,0,D,3.0,2.0,5.0
2223,28/01/2023,Hatayspor,Trabzonspor,0.0,1.0,A,2,1,H,4.0,9.0,13.0
2223,05/02/2023,Hatayspor,Kasimpasa,0.0,0.0,D,1,0,H,5.0,8.0,13.0
2223,12/03/2023,Hatayspor,Konyaspor,,,,0,3,A,,,
2223,02/04/2023,Hatayspor,Sivasspor,,,,0,3,A,,,
2223,16/04/2023,Hatayspor,Karagumruk,,,,0,3,A,,,
2223,23/04/2023,Hatayspor,Ankaragucu,,,,0,3,A,,,
2223,07/05/2023,Hatayspor,Istanbulspor,,,,0,3,A,,,
2223,21/05/2023,Hatayspor,Fenerbahce,,,,0,3,A,,,
2223,30/05/2023,Hatayspor,Umraniyespor,,,,0,3,A,,,
2223,07/06/2023,Hatayspor,Galatasaray,,,,0,3,A,,,
2324,19/08/2023,Hatayspor,Kasimpasa,0.0,0.0,D,0,0,D,3.0,1.0,4.0
2324,03/09/2023,Hatayspor,Ad. Demirspor,0.0,1.0,A,3,3,D,3.0,7.0,10.0
2324,25/09/2023,Hatayspor,Trabzonspor,0.0,1.0,A,3,2,H,9.0,1.0,10.0
2324,08/10/2023,Hatayspor,Konyaspor,1.0,1.0,D,3,1,H,3.0,2.0,5.0
2324,27/10/2023,Hatayspor,Kayserispor,0.0,1.0,A,1,2,A,12.0,1.0,13.0
2324,11/11/2023,Hatayspor,Galatasaray,1.0,1.0,D,2,1,H,2.0,9.0,11.0
2324,01/12/2023,Hatayspor,Antalyaspor,1.0,1.0,D,3,3,D,6.0,5.0,11.0
2324,25/12/2023,Hatayspor,Besiktas,0.0,1.0,A,1,2,A,5.0,8.0,13.0
2324,10/01/2024,Hatayspor,Gaziantep,0.0,0.0,D,0,0,D,5.0,5.0,10.0
2324,13/01/2024,Hatayspor,Pendikspor,0.0,0.0,D,1,1,D,4.0,6.0,10.0
2324,23/01/2024,Hatayspor,Alanyaspor,1.0,0.0,H,1,1,D,3.0,5.0,8.0
2324,02/02/2024,Hatayspor,Karagumruk,1.0,0.0,H,3,1,H,4.0,5.0,9.0
2324,17/02/2024,Hatayspor,Sivasspor,0.0,1.0,A,1,1,D,6.0,2.0,8.0
