Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2223,05/08/2022,Istanbulspor,Trabzonspor,0.0,1.0,A,0,2,A,1.0,10.0,11.0
2223,22/08/2022,Istanbulspor,Konyaspor,0.0,2.0,A,0,4,A,7.0,3.0,10.0
2223,17/09/2022,Istanbulspor,Besiktas,1.0,2.0,A,2,2,D,3.0,5.0,8.0
2223,08/10/2022,Istanbulspor,Ankaragucu,0.0,1.0,A,1,2,A,5.0,2.0,7.0
2223,30/10/2022,Istanbulspor,Fenerbahce,0.0,2.0,A,2,5,A,2.0,2.0,4.0
2223,13/11/2022,Istanbulspor,Hatayspor,0.0,1.0,A,0,1,A,5.0,3.0,8.0
2223,28/12/2022,Istanbulspor,Kasimpasa,1.0,1.0,D,2,1,H,3.0,5.0,8.0
2223,09/01/2023,Istanbulspor,Gaziantep,0.0,1.0,A,1,1,D,7.0,3.0,10.0
2223,29/01/2023,Istanbulspor,Kayserispor,2.0,1.0,H,2,4,A,1.0,7.0,8.0
2223,05/02/2023,Istanbulspor,Alanyaspor,0.0,0.0,D,2,1,H,1.0,11.0,12.0
2223,13/03/2023,Istanbulspor,Sivasspor,1.0,0.0,H,3,0,H,3.0,3.0,6.0
2223,03/04/2023,Istanbulspor,Karagumruk,0.0,1.0,A,0,1,A,8.0,3.0,11.0
2223,15/04/2023,Istanbulspor,Buyuksehyr,1.0,0.0,H,1,0,H,4.0,6.0,10.0
2223,19/04/2023,Istanbulspor,Antalyaspor,2.0,1.0,H,3,3,D,3.0,5.0,8.0
2223,01/05/2023,Istanbulspor,Giresunspor,1.0,0.0,H,1,0,H,3.0,4.0,7.0
2223,16/05/2023,Istanbulspor,Galatasaray,0.0,1.0,A,0,2,A,3.0,9.0,12.0
2223,30/05/2023,Istanbulspor,Ad. Demirspor,0.0,1.0,A,0,2,A,16.0,8.0,24.0
2223,07/06/2023,Istanbulspor,Umraniyespor,1.0,0.0,H,4,0,H,8.0,1.0,9.0
2324,18/08/2023,Istanbulspor,Kayserispor,0.0,0.0,D,1,1,D,4.0,6.0,10.0
2324,17/09/2023,Istanbulspor,Buyuksehyr,0.0,0.0,D,0,2,A,0.0,7.0,7.0
2324,26/09/2023,Istanbulspor,Galatasaray,0.0,1.0,A,0,1,A,3.0,4.0,7.0
2324,30/09/2023,Istanbulspor,Antalyaspor,1.0,0.0,H,1,2,A,4.0,8.0,12.0
2324,22/10/2023,Istanbulspor,Ankaragucu,1.0,1.0,D,2,1,H,2.0,5.0,7.0
2324,04/11/2023,Istanbulspor,Pendikspor,1.0,2.0,A,2,4,A,4.0,7.0,11.0
2324,25/11/2023,Istanbulspor,Hatayspor,1.0,0.0,H,2,1,H,8.0,6.0,14.0
2324,10/12/2023,Istanbulspor,Alanyaspor,0.0,0.0,D,0,1,A,1.0,9.0,10.0
2324,19/12/2023,Istanbulspor,Trabzonspor,,,,0,3,A,,,
2324,07/01/2024,Istanbulspor,Fenerbahce,1.0,4.0,A,1,5,A,4.0,8.0,12.0
2324,14/01/2024,Istanbulspor,Konyaspor,0.0,0.0,D,0,0,D,8.0,3.0,11.0
2324,29/01/2024,Istanbulspor,Samsunspor,0.0,0.0,D,1,1,D,4.0,4.0,8.0
2324,11/02/2024,Istanbulspor,Gaziantep,1.0,1.0,D,1,3,A,3.0,3.0,6.0
2324,25/02/2024,Istanbulspor,Besiktas,0.0,1.0,A,0,2,A,4.0,7.0,11.0
2324,10/03/2024,Istanbulspor,Kasimpasa,1.0,0.0,H,1,2,A,4.0,9.0,13.0
2324,02/04/2024,Istanbulspor,Rizespor,0.0,2.0,A,0,4,A,2.0,6.0,8.0
2324,20/04/2024,Istanbulspor,Karagumruk,0.0,0.0,D,1,2,A,1.0,7.0,8.0
2324,04/05/2024,Istanbulspor,Ad. Demirspor,0.0,1.0,A,0,1,A,7.0,5.0,12.0
2324,17/05/2024,Istanbulspor,Sivasspor,0.0,2.0,A,1,3,A,5.0,7.0,12.0
