Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,13/09/2020,Kayserispor,Kasimpasa,1,0,H,1,0,H,1,6,7
2021,26/09/2020,Kayserispor,Erzurum BB,0,2,A,1,3,A,5,5,10
2021,17/10/2020,Kayserispor,Sivasspor,0,1,A,1,3,A,4,6,10
2021,08/11/2020,Kayserispor,Hatayspor,0,0,D,0,1,A,3,6,9
2021,30/11/2020,Kayserispor,Karagumruk,0,0,D,0,0,D,6,4,10
2021,12/12/2020,Kayserispor,Trabzonspor,0,0,D,0,0,D,4,4,8
2021,24/12/2020,Kayserispor,Konyaspor,1,0,H,1,2,A,6,1,7
2021,03/01/2021,Kayserispor,Besiktas,0,0,D,0,2,A,3,5,8
2021,09/01/2021,Kayserispor,Yeni Malatyaspor,1,0,H,1,0,H,2,5,7
2021,19/01/2021,Kayserispor,Buyuksehyr,1,0,H,2,0,H,4,4,8
2021,03/02/2021,Kayserispor,Alanyaspor,0,0,D,1,1,D,2,1,3
2021,13/02/2021,Kayserispor,Ankaragucu,0,0,D,0,0,D,12,4,16
2021,03/03/2021,Kayserispor,Rizespor,0,0,D,2,1,H,4,6,10
2021,13/03/2021,Kayserispor,Galatasaray,0,1,A,0,3,A,3,3,6
2021,03/04/2021,Kayserispor,Goztep,1,0,H,1,1,D,6,4,10
2021,11/04/2021,Kayserispor,Antalyaspor,0,1,A,0,1,A,7,3,10
2021,20/04/2021,Kayserispor,Genclerbirligi,1,0,H,2,2,D,6,3,9
2021,28/04/2021,Kayserispor,Denizlispor,3,1,H,6,3,H,7,6,13
2021,08/05/2021,Kayserispor,Gaziantep,0,0,D,0,0,D,5,3,8
2021,15/05/2021,Kayserispor,Fenerbahce,1,0,H,1,2,A,2,11,13
2122,20/08/2021,Kayserispor,Ad. Demirspor,1,0,H,1,1,D,6,6,12
2122,11/09/2021,Kayserispor,Kasimpasa,1,0,H,2,0,H,0,4,4
2122,22/09/2021,Kayserispor,Galatasaray,2,0,H,3,0,H,3,9,12
2122,02/10/2021,Kayserispor,Trabzonspor,1,1,D,1,2,A,7,1,8
2122,31/10/2021,Kayserispor,Karagumruk,0,1,A,2,1,H,7,5,12
2122,22/11/2021,Kayserispor,Goztep,1,0,H,1,1,D,4,2,6
2122,05/12/2021,Kayserispor,Antalyaspor,2,0,H,2,0,H,1,11,12
2122,19/12/2021,Kayserispor,Gaziantep,0,0,D,0,0,D,5,4,9
2122,27/12/2021,Kayserispor,Sivasspor,3,0,H,3,0,H,2,7,9
2122,09/01/2022,Kayserispor,Altay,1,0,H,1,0,H,8,2,10
2122,19/01/2022,Kayserispor,Buyuksehyr,0,0,D,1,0,H,2,1,3
2122,04/02/2022,Kayserispor,Hatayspor,1,0,H,4,3,H,5,5,10
2122,19/02/2022,Kayserispor,Giresunspor,2,0,H,2,1,H,2,8,10
