Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Konyaspor,Besiktas,1,0,H,4,1,H,3,4,7
2021,17/10/2020,Konyaspor,Yeni Malatyaspor,0,0,D,1,1,D,4,4,8
2021,01/11/2020,Konyaspor,Buyuksehyr,0,1,A,1,2,A,2,7,9
2021,22/11/2020,Konyaspor,Kasimpasa,0,1,A,2,1,H,5,5,10
2021,05/12/2020,Konyaspor,Erzurum BB,1,0,H,2,0,H,2,9,11
2021,21/12/2020,Konyaspor,Sivasspor,0,0,D,0,1,A,2,3,5
2021,28/12/2020,Konyaspor,Rizespor,1,0,H,1,1,D,1,3,4
2021,05/01/2021,Konyaspor,Galatasaray,1,1,D,4,3,H,4,4,8
2021,16/01/2021,Konyaspor,Goztep,0,2,A,2,3,A,7,5,12
2021,24/01/2021,Konyaspor,Antalyaspor,0,0,D,0,0,D,6,2,8
2021,03/02/2021,Konyaspor,Genclerbirligi,0,0,D,0,0,D,7,2,9
2021,14/02/2021,Konyaspor,Denizlispor,0,0,D,2,0,H,3,4,7
2021,26/02/2021,Konyaspor,Gaziantep,0,0,D,0,0,D,6,7,13
2021,08/03/2021,Konyaspor,Fenerbahce,0,2,A,0,3,A,2,2,4
2021,21/03/2021,Konyaspor,Alanyaspor,1,0,H,1,0,H,3,4,7
2021,07/04/2021,Konyaspor,Ankaragucu,0,0,D,1,1,D,4,4,8
2021,16/04/2021,Konyaspor,Kayserispor,0,0,D,0,0,D,10,3,13
2021,24/04/2021,Konyaspor,Hatayspor,0,0,D,0,0,D,4,0,4
2021,02/05/2021,Konyaspor,Karagumruk,1,1,D,5,1,H,7,5,12
2021,11/05/2021,Konyaspor,Trabzonspor,0,0,D,1,1,D,10,1,11
2122,22/08/2021,Konyaspor,Buyuksehyr,0,1,A,2,1,H,4,5,9
2122,11/09/2021,Konyaspor,Altay,2,0,H,3,1,H,6,7,13
2122,23/09/2021,Konyaspor,Trabzonspor,1,1,D,2,2,D,9,4,13
2122,02/10/2021,Konyaspor,Alanyaspor,0,0,D,1,1,D,7,5,12
2122,23/10/2021,Konyaspor,Kayserispor,2,0,H,2,0,H,4,5,9
2122,30/10/2021,Konyaspor,Fenerbahce,2,0,H,2,1,H,7,5,12
2122,21/11/2021,Konyaspor,Rizespor,1,0,H,3,0,H,2,5,7
2122,06/12/2021,Konyaspor,Yeni Malatyaspor,0,0,D,0,0,D,4,2,6
2122,18/12/2021,Konyaspor,Antalyaspor,0,0,D,1,0,H,8,3,11
2122,27/12/2021,Konyaspor,Besiktas,0,0,D,1,0,H,6,3,9
2122,09/01/2022,Konyaspor,Sivasspor,0,0,D,0,1,A,8,5,13
2122,18/01/2022,Konyaspor,Ad. Demirspor,0,0,D,1,0,H,8,7,15
2122,04/02/2022,Konyaspor,Giresunspor,0,0,D,1,0,H,6,2,8
2122,18/02/2022,Konyaspor,Kasimpasa,2,1,H,4,4,D,4,4,8
2122,05/03/2022,Konyaspor,Galatasaray,2,0,H,2,0,H,7,5,12
2122,03/04/2022,Konyaspor,Goztep,2,0,H,3,0,H,6,9,15
2122,17/04/2022,Konyaspor,Gaziantep,2,0,H,4,1,H,3,7,10
2122,30/04/2022,Konyaspor,Karagumruk,1,0,H,1,2,A,4,3,7
2122,15/05/2022,Konyaspor,Hatayspor,1,1,D,3,1,H,7,2,9
2223,15/08/2022,Konyaspor,Buyuksehyr,0.0,0.0,D,0,0,D,0.0,5.0,5.0
2223,29/08/2022,Konyaspor,Fenerbahce,0.0,0.0,D,1,0,H,4.0,2.0,6.0
2223,10/09/2022,Konyaspor,Hatayspor,0.0,0.0,D,1,0,H,6.0,4.0,10.0
2223,02/10/2022,Konyaspor,Umraniyespor,1.0,0.0,H,1,0,H,4.0,8.0,12.0
2223,15/10/2022,Konyaspor,Gaziantep,0.0,0.0,D,0,1,A,8.0,5.0,13.0
2223,29/10/2022,Konyaspor,Kasimpasa,0.0,0.0,D,1,1,D,6.0,2.0,8.0
2223,25/12/2022,Konyaspor,Alanyaspor,1.0,0.0,H,2,2,D,4.0,5.0,9.0
2223,04/01/2023,Konyaspor,Sivasspor,1.0,1.0,D,2,2,D,4.0,3.0,7.0
2223,14/01/2023,Konyaspor,Besiktas,1.0,0.0,H,1,2,A,4.0,5.0,9.0
2223,23/01/2023,Konyaspor,Ankaragucu,0.0,0.0,D,0,1,A,6.0,4.0,10.0
2223,02/02/2023,Konyaspor,Istanbulspor,0.0,0.0,D,0,1,A,5.0,4.0,9.0
2223,05/03/2023,Konyaspor,Giresunspor,0.0,0.0,D,0,0,D,2.0,1.0,3.0
2223,17/03/2023,Konyaspor,Galatasaray,0.0,1.0,A,2,1,H,4.0,6.0,10.0
2223,07/04/2023,Konyaspor,Antalyaspor,1.0,1.0,D,1,1,D,6.0,4.0,10.0
2223,19/04/2023,Konyaspor,Ad. Demirspor,1.0,1.0,D,1,2,A,6.0,3.0,9.0
2223,29/04/2023,Konyaspor,Trabzonspor,1.0,1.0,D,2,1,H,6.0,5.0,11.0
2223,07/05/2023,Konyaspor,Kayserispor,0.0,0.0,D,2,2,D,3.0,7.0,10.0
2223,03/06/2023,Konyaspor,Karagumruk,1.0,1.0,D,1,1,D,3.0,3.0,6.0
2324,12/08/2023,Konyaspor,Istanbulspor,0.0,1.0,A,1,1,D,10.0,2.0,12.0
2324,25/08/2023,Konyaspor,Gaziantep,0.0,0.0,D,2,0,H,10.0,2.0,12.0
2324,16/09/2023,Konyaspor,Rizespor,1.0,0.0,H,1,2,A,2.0,4.0,6.0
2324,01/10/2023,Konyaspor,Besiktas,0.0,1.0,A,0,2,A,2.0,6.0,8.0
2324,21/10/2023,Konyaspor,Pendikspor,0.0,0.0,D,1,2,A,5.0,2.0,7.0
2324,05/11/2023,Konyaspor,Karagumruk,0.0,0.0,D,1,1,D,2.0,8.0,10.0
2324,25/11/2023,Konyaspor,Kasimpasa,0.0,0.0,D,2,0,H,2.0,9.0,11.0
2324,11/12/2023,Konyaspor,Sivasspor,0.0,1.0,A,0,1,A,7.0,2.0,9.0
2324,24/12/2023,Konyaspor,Kayserispor,0.0,0.0,D,2,0,H,2.0,5.0,7.0
2324,21/01/2024,Konyaspor,Antalyaspor,1.0,0.0,H,1,1,D,5.0,4.0,9.0
2324,28/01/2024,Konyaspor,Buyuksehyr,2.0,0.0,H,2,3,A,1.0,4.0,5.0
2324,11/02/2024,Konyaspor,Ankaragucu,1.0,0.0,H,1,0,H,4.0,2.0,6.0
2324,24/02/2024,Konyaspor,Hatayspor,0.0,0.0,D,2,0,H,4.0,3.0,7.0
2324,09/03/2024,Konyaspor,Ad. Demirspor,2.0,1.0,H,2,2,D,3.0,6.0,9.0
2324,03/04/2024,Konyaspor,Trabzonspor,0.0,1.0,A,1,3,A,6.0,4.0,10.0
2324,20/04/2024,Konyaspor,Alanyaspor,0.0,1.0,A,0,2,A,2.0,1.0,3.0
2324,06/05/2024,Konyaspor,Fenerbahce,0.0,0.0,D,0,0,D,2.0,11.0,13.0
2324,12/05/2024,Konyaspor,Samsunspor,3.0,0.0,H,3,0,H,5.0,6.0,11.0
2324,26/05/2024,Konyaspor,Galatasaray,0.0,1.0,A,1,3,A,3.0,10.0,13.0
2425,16/08/2024,Konyaspor,Galatasaray,1,1,D,1,2,A,5,8,13
2425,31/08/2024,Konyaspor,Kayserispor,0,0,D,0,0,D,6,5,11
2425,21/09/2024,Konyaspor,Sivasspor,0,0,D,0,0,D,7,4,11
2425,06/10/2024,Konyaspor,Eyupspor,0,0,D,2,1,H,5,2,7
2425,03/11/2024,Konyaspor,Buyuksehyr,1,1,D,3,2,H,2,3,5
