Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2324,12/08/2023,Pendikspor,Hatayspor,0.0,2.0,A,1,5,A,4.0,2.0,6.0
2324,02/09/2023,Pendikspor,Alanyaspor,0.0,0.0,D,1,1,D,8.0,4.0,12.0
2324,23/09/2023,Pendikspor,Karagumruk,1.0,0.0,H,1,1,D,5.0,4.0,9.0
2324,07/10/2023,Pendikspor,Sivasspor,0.0,1.0,A,2,3,A,9.0,4.0,13.0
2324,29/10/2023,Pendikspor,Fenerbahce,0.0,2.0,A,0,5,A,0.0,7.0,7.0
2324,12/11/2023,Pendikspor,Samsunspor,0.0,0.0,D,1,0,H,4.0,3.0,7.0
2324,02/12/2023,Pendikspor,Galatasaray,0.0,0.0,D,0,2,A,2.0,6.0,8.0
2324,25/12/2023,Pendikspor,Ankaragucu,0.0,1.0,A,1,1,D,5.0,3.0,8.0
2324,09/01/2024,Pendikspor,Antalyaspor,0.0,1.0,A,0,1,A,5.0,7.0,12.0
2324,20/01/2024,Pendikspor,Besiktas,1.0,0.0,H,4,0,H,1.0,6.0,7.0
2324,23/01/2024,Pendikspor,Kasimpasa,2.0,2.0,D,3,2,H,6.0,2.0,8.0
2324,04/02/2024,Pendikspor,Ad. Demirspor,2.0,0.0,H,2,1,H,7.0,6.0,13.0
2324,18/02/2024,Pendikspor,Trabzonspor,0.0,0.0,D,0,2,A,4.0,6.0,10.0
2324,03/03/2024,Pendikspor,Konyaspor,0.0,1.0,A,0,2,A,4.0,4.0,8.0
2324,15/03/2024,Pendikspor,Istanbulspor,0.0,0.0,D,1,0,H,6.0,2.0,8.0
2324,14/04/2024,Pendikspor,Buyuksehyr,1.0,1.0,D,2,3,A,6.0,4.0,10.0
2324,28/04/2024,Pendikspor,Kayserispor,1.0,1.0,D,1,2,A,5.0,5.0,10.0
2324,12/05/2024,Pendikspor,Rizespor,0.0,1.0,A,2,1,H,7.0,3.0,10.0
2324,26/05/2024,Pendikspor,Gaziantep,0.0,1.0,A,0,1,A,2.0,3.0,5.0
