Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,11/09/2020,Rizespor,Fenerbahce,0,0,D,1,2,A,3,11,14
2021,27/09/2020,Rizespor,Alanyaspor,0,0,D,1,1,D,4,6,10
2021,17/10/2020,Rizespor,Ankaragucu,2,3,A,5,3,H,2,3,5
2021,01/11/2020,Rizespor,Kayserispor,1,0,H,1,0,H,2,3,5
2021,28/11/2020,Rizespor,Galatasaray,0,1,A,0,4,A,1,7,8
2021,12/12/2020,Rizespor,Goztep,1,0,H,3,2,H,3,4,7
2021,24/12/2020,Rizespor,Antalyaspor,1,0,H,2,1,H,2,4,6
2021,03/01/2021,Rizespor,Genclerbirligi,1,0,H,1,1,D,6,2,8
2021,10/01/2021,Rizespor,Denizlispor,0,1,A,1,1,D,11,5,16
2021,20/01/2021,Rizespor,Gaziantep,1,0,H,3,0,H,3,3,6
2021,02/02/2021,Rizespor,Kasimpasa,0,0,D,1,1,D,1,4,5
2021,12/02/2021,Rizespor,Erzurum BB,0,0,D,0,2,A,3,1,4
2021,27/02/2021,Rizespor,Sivasspor,0,0,D,0,0,D,3,4,7
2021,13/03/2021,Rizespor,Hatayspor,0,0,D,1,0,H,3,5,8
2021,03/04/2021,Rizespor,Karagumruk,0,0,D,0,0,D,5,7,12
2021,10/04/2021,Rizespor,Trabzonspor,0,0,D,0,0,D,2,7,9
2021,20/04/2021,Rizespor,Konyaspor,2,2,D,5,3,H,9,6,15
2021,28/04/2021,Rizespor,Besiktas,0,1,A,2,3,A,5,6,11
2021,08/05/2021,Rizespor,Yeni Malatyaspor,0,2,A,0,4,A,4,3,7
2021,15/05/2021,Rizespor,Buyuksehyr,0,2,A,0,2,A,6,1,7
2122,21/08/2021,Rizespor,Karagumruk,0,0,D,0,0,D,2,6,8
2122,12/09/2021,Rizespor,Hatayspor,0,0,D,0,2,A,5,3,8
2122,21/09/2021,Rizespor,Altay,0,1,A,1,2,A,3,4,7
2122,03/10/2021,Rizespor,Galatasaray,2,1,H,2,3,A,6,6,12
2122,23/10/2021,Rizespor,Kasimpasa,1,0,H,2,1,H,7,5,12
2122,05/11/2021,Rizespor,Alanyaspor,1,0,H,2,0,H,4,5,9
2122,27/11/2021,Rizespor,Kayserispor,0,0,D,1,0,H,5,5,10
2122,11/12/2021,Rizespor,Goztep,1,0,H,3,1,H,5,8,13
2122,19/12/2021,Rizespor,Yeni Malatyaspor,0,0,D,1,0,H,7,1,8
2122,26/12/2021,Rizespor,Gaziantep,0,1,A,0,1,A,5,3,8
2122,09/01/2022,Rizespor,Besiktas,0,1,A,2,2,D,3,4,7
2122,20/01/2022,Rizespor,Antalyaspor,1,1,D,2,1,H,6,7,13
2122,06/02/2022,Rizespor,Ad. Demirspor,0,2,A,1,3,A,8,6,14
2122,18/02/2022,Rizespor,Buyuksehyr,0,1,A,0,2,A,7,2,9
2122,05/03/2022,Rizespor,Giresunspor,1,1,D,1,2,A,5,2,7
2122,18/03/2022,Rizespor,Trabzonspor,0,0,D,3,2,H,6,9,15
2122,09/04/2022,Rizespor,Konyaspor,1,1,D,2,1,H,5,3,8
2122,22/04/2022,Rizespor,Fenerbahce,0,3,A,0,6,A,6,11,17
2122,16/05/2022,Rizespor,Sivasspor,1,1,D,1,2,A,3,6,9
2324,19/08/2023,Rizespor,Alanyaspor,0.0,0.0,D,0,0,D,3.0,3.0,6.0
2324,01/09/2023,Rizespor,Karagumruk,1.0,0.0,H,1,0,H,1.0,6.0,7.0
2324,23/09/2023,Rizespor,Sivasspor,1.0,1.0,D,1,1,D,5.0,4.0,9.0
2324,08/10/2023,Rizespor,Samsunspor,0.0,0.0,D,1,0,H,4.0,8.0,12.0
2324,28/10/2023,Rizespor,Galatasaray,0.0,0.0,D,0,1,A,6.0,5.0,11.0
2324,12/11/2023,Rizespor,Istanbulspor,1.0,0.0,H,1,0,H,6.0,6.0,12.0
2324,02/12/2023,Rizespor,Buyuksehyr,2.0,2.0,D,3,2,H,6.0,5.0,11.0
2324,21/12/2023,Rizespor,Pendikspor,3.0,1.0,H,5,1,H,5.0,6.0,11.0
2324,06/01/2024,Rizespor,Hatayspor,1.0,0.0,H,2,0,H,3.0,4.0,7.0
2324,09/01/2024,Rizespor,Besiktas,0.0,2.0,A,0,4,A,10.0,5.0,15.0
2324,13/01/2024,Rizespor,Ad. Demirspor,0.0,0.0,D,1,0,H,9.0,4.0,13.0
2324,25/01/2024,Rizespor,Trabzonspor,0.0,0.0,D,1,0,H,3.0,3.0,6.0
2324,03/02/2024,Rizespor,Konyaspor,0.0,0.0,D,0,0,D,12.0,4.0,16.0
2324,17/02/2024,Rizespor,Fenerbahce,1.0,0.0,H,1,3,A,3.0,6.0,9.0
2324,02/03/2024,Rizespor,Kayserispor,0.0,0.0,D,3,0,H,3.0,2.0,5.0
2324,17/03/2024,Rizespor,Gaziantep,0.0,0.0,D,3,1,H,6.0,8.0,14.0
2324,14/04/2024,Rizespor,Antalyaspor,1.0,0.0,H,3,0,H,4.0,7.0,11.0
2324,28/04/2024,Rizespor,Ankaragucu,2.0,0.0,H,2,2,D,2.0,3.0,5.0
2324,18/05/2024,Rizespor,Kasimpasa,0.0,0.0,D,0,0,D,5.0,4.0,9.0
2425,12/08/2024,Rizespor,Buyuksehyr,1,1,D,1,1,D,12,1,13
2425,25/08/2024,Rizespor,Fenerbahce,0,1,A,0,5,A,1,6,7
2425,31/08/2024,Rizespor,Kasimpasa,0,1,A,0,1,A,10,3,13
2425,22/09/2024,Rizespor,Samsunspor,0,0,D,0,1,A,3,0,3
2425,04/10/2024,Rizespor,Antalyaspor,2,0,H,2,1,H,3,3,6
