Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,12/09/2020,Sivasspor,Alanyaspor,0,1,A,0,2,A,7,6,13
2021,27/09/2020,Sivasspor,Ankaragucu,0,0,D,0,0,D,6,2,8
2021,26/10/2020,Sivasspor,Rizespor,0,1,A,0,2,A,5,0,5
2021,08/11/2020,Sivasspor,Galatasaray,0,1,A,1,2,A,7,2,9
2021,30/11/2020,Sivasspor,Goztep,0,0,D,0,1,A,6,3,9
2021,14/12/2020,Sivasspor,Antalyaspor,0,0,D,0,0,D,4,8,12
2021,24/12/2020,Sivasspor,Genclerbirligi,1,0,H,3,1,H,9,6,15
2021,02/01/2021,Sivasspor,Denizlispor,2,1,H,2,2,D,1,6,7
2021,09/01/2021,Sivasspor,Gaziantep,1,1,D,2,1,H,8,7,15
2021,21/01/2021,Sivasspor,Fenerbahce,1,1,D,1,1,D,7,3,10
2021,03/02/2021,Sivasspor,Erzurum BB,0,0,D,0,0,D,4,5,9
2021,21/02/2021,Sivasspor,Kayserispor,1,0,H,2,0,H,6,5,11
2021,03/03/2021,Sivasspor,Hatayspor,0,0,D,1,1,D,6,3,9
2021,13/03/2021,Sivasspor,Karagumruk,1,0,H,1,0,H,1,8,9
2021,03/04/2021,Sivasspor,Trabzonspor,0,0,D,0,0,D,7,9,16
2021,11/04/2021,Sivasspor,Konyaspor,1,0,H,3,1,H,2,5,7
2021,20/04/2021,Sivasspor,Besiktas,0,0,D,0,0,D,1,1,2
2021,29/04/2021,Sivasspor,Yeni Malatyaspor,0,0,D,1,0,H,8,2,10
2021,08/05/2021,Sivasspor,Buyuksehyr,0,0,D,0,0,D,5,7,12
2021,15/05/2021,Sivasspor,Kasimpasa,1,0,H,2,1,H,7,1,8
2122,16/08/2021,Sivasspor,Konyaspor,0,0,D,0,1,A,5,3,8
2122,29/08/2021,Sivasspor,Goztep,1,0,H,2,2,D,5,7,12
2122,18/09/2021,Sivasspor,Gaziantep,1,0,H,1,1,D,5,3,8
2122,25/09/2021,Sivasspor,Karagumruk,1,0,H,4,0,H,6,7,13
2122,16/10/2021,Sivasspor,Antalyaspor,2,2,D,2,2,D,1,2,3
2122,24/10/2021,Sivasspor,Ad. Demirspor,1,0,H,1,1,D,4,4,8
2122,06/11/2021,Sivasspor,Giresunspor,0,0,D,0,0,D,4,4,8
2122,28/11/2021,Sivasspor,Hatayspor,2,0,H,4,0,H,4,2,6
2122,13/12/2021,Sivasspor,Galatasaray,0,0,D,1,0,H,6,5,11
2122,22/12/2021,Sivasspor,Rizespor,0,0,D,1,1,D,3,2,5
2122,15/01/2022,Sivasspor,Trabzonspor,1,1,D,1,1,D,3,2,5
2122,22/01/2022,Sivasspor,Fenerbahce,0,1,A,1,1,D,9,6,15
2122,13/02/2022,Sivasspor,Yeni Malatyaspor,0,1,A,2,1,H,6,2,8
2122,26/02/2022,Sivasspor,Besiktas,1,2,A,2,3,A,6,6,12
2122,20/03/2022,Sivasspor,Altay,0,0,D,2,1,H,7,1,8
2122,10/04/2022,Sivasspor,Buyuksehyr,0,1,A,0,2,A,6,5,11
2122,25/04/2022,Sivasspor,Alanyaspor,0,0,D,1,0,H,4,7,11
2122,07/05/2022,Sivasspor,Kasimpasa,0,0,D,1,3,A,3,4,7
2122,21/05/2022,Sivasspor,Kayserispor,1,0,H,2,1,H,3,5,8
2223,06/08/2022,Sivasspor,Gaziantep,0.0,1.0,A,1,1,D,2.0,6.0,8.0
2223,22/08/2022,Sivasspor,Alanyaspor,1.0,0.0,H,1,1,D,4.0,6.0,10.0
2223,03/09/2022,Sivasspor,Karagumruk,0.0,0.0,D,0,0,D,11.0,6.0,17.0
2223,11/09/2022,Sivasspor,Istanbulspor,0.0,0.0,D,1,1,D,9.0,1.0,10.0
2223,02/10/2022,Sivasspor,Hatayspor,1.0,2.0,A,1,2,A,12.0,4.0,16.0
2223,17/10/2022,Sivasspor,Giresunspor,2.0,0.0,H,3,0,H,2.0,0.0,2.0
2223,31/10/2022,Sivasspor,Antalyaspor,0.0,2.0,A,0,2,A,2.0,3.0,5.0
