Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,13/09/2020,Trabzonspor,Besiktas,0,1,A,1,3,A,4,3,7
2021,26/09/2020,Trabzonspor,Yeni Malatyaspor,3,0,H,3,1,H,5,5,10
2021,17/10/2020,Trabzonspor,Buyuksehyr,0,1,A,0,2,A,4,4,8
2021,30/10/2020,Trabzonspor,Kasimpasa,3,2,H,3,4,A,2,5,7
2021,22/11/2020,Trabzonspor,Erzurum BB,1,0,H,1,0,H,4,10,14
2021,07/12/2020,Trabzonspor,Sivasspor,1,0,H,1,1,D,6,6,12
2021,19/12/2020,Trabzonspor,Rizespor,0,1,A,2,1,H,9,3,12
2021,26/12/2020,Trabzonspor,Galatasaray,0,1,A,0,2,A,1,2,3
2021,06/01/2021,Trabzonspor,Goztep,1,0,H,1,0,H,5,5,10
2021,19/01/2021,Trabzonspor,Konyaspor,1,0,H,3,1,H,0,6,6
2021,04/02/2021,Trabzonspor,Denizlispor,0,0,D,1,0,H,5,5,10
2021,13/02/2021,Trabzonspor,Gaziantep,0,0,D,1,0,H,2,4,6
2021,28/02/2021,Trabzonspor,Fenerbahce,0,0,D,0,1,A,5,7,12
2021,08/03/2021,Trabzonspor,Alanyaspor,0,0,D,1,3,A,3,4,7
2021,20/03/2021,Trabzonspor,Ankaragucu,3,1,H,4,1,H,4,1,5
2021,06/04/2021,Trabzonspor,Kayserispor,1,1,D,1,1,D,7,4,11
2021,17/04/2021,Trabzonspor,Hatayspor,1,0,H,1,1,D,6,1,7
2021,24/04/2021,Trabzonspor,Karagumruk,1,0,H,2,0,H,2,10,12
2021,08/05/2021,Trabzonspor,Antalyaspor,1,0,H,2,1,H,5,3,8
2021,15/05/2021,Trabzonspor,Genclerbirligi,1,0,H,2,1,H,9,2,11
2122,23/08/2021,Trabzonspor,Sivasspor,1,0,H,2,1,H,4,4,8
2122,12/09/2021,Trabzonspor,Galatasaray,1,2,A,2,2,D,7,3,10
2122,27/09/2021,Trabzonspor,Alanyaspor,1,1,D,1,1,D,10,3,13
2122,17/10/2021,Trabzonspor,Fenerbahce,1,1,D,3,1,H,1,2,3
2122,29/10/2021,Trabzonspor,Rizespor,1,1,D,2,1,H,9,4,13
2122,22/11/2021,Trabzonspor,Gaziantep,3,0,H,3,0,H,2,12,14
2122,04/12/2021,Trabzonspor,Ad. Demirspor,1,0,H,2,0,H,2,7,9
2122,18/12/2021,Trabzonspor,Hatayspor,2,0,H,2,0,H,6,1,7
2122,25/12/2021,Trabzonspor,Buyuksehyr,0,0,D,0,0,D,4,4,8
2122,07/01/2022,Trabzonspor,Yeni Malatyaspor,1,0,H,1,0,H,7,2,9
2122,19/01/2022,Trabzonspor,Giresunspor,0,0,D,1,1,D,9,2,11
2122,05/02/2022,Trabzonspor,Kasimpasa,1,0,H,1,0,H,2,3,5
2122,13/02/2022,Trabzonspor,Konyaspor,1,0,H,2,1,H,6,4,10
2122,25/02/2022,Trabzonspor,Kayserispor,0,2,A,3,2,H,6,5,11
2122,12/03/2022,Trabzonspor,Goztep,2,2,D,4,2,H,3,6,9
2122,03/04/2022,Trabzonspor,Besiktas,0,0,D,1,1,D,3,4,7
2122,15/04/2022,Trabzonspor,Karagumruk,0,1,A,1,1,D,15,4,19
2122,30/04/2022,Trabzonspor,Antalyaspor,1,0,H,2,2,D,5,4,9
2122,15/05/2022,Trabzonspor,Altay,1,0,H,2,1,H,5,1,6
2223,12/08/2022,Trabzonspor,Hatayspor,0.0,0.0,D,1,0,H,11.0,2.0,13.0
2223,28/08/2022,Trabzonspor,Galatasaray,0.0,0.0,D,0,0,D,2.0,5.0,7.0
2223,18/09/2022,Trabzonspor,Gaziantep,2.0,2.0,D,3,2,H,9.0,2.0,11.0
2223,10/10/2022,Trabzonspor,Kasimpasa,0.0,0.0,D,0,0,D,10.0,3.0,13.0
2223,22/10/2022,Trabzonspor,Sivasspor,1.0,0.0,H,1,0,H,4.0,3.0,7.0
2223,06/11/2022,Trabzonspor,Konyaspor,2.0,1.0,H,2,2,D,5.0,3.0,8.0
2223,24/12/2022,Trabzonspor,Fenerbahce,0.0,0.0,D,2,0,H,5.0,2.0,7.0
2223,05/01/2023,Trabzonspor,Giresunspor,1.0,0.0,H,3,0,H,10.0,1.0,11.0
2223,14/01/2023,Trabzonspor,Buyuksehyr,1.0,0.0,H,1,0,H,2.0,10.0,12.0
2223,22/01/2023,Trabzonspor,Istanbulspor,1.0,0.0,H,4,0,H,6.0,2.0,8.0
2223,01/02/2023,Trabzonspor,Antalyaspor,1.0,0.0,H,2,0,H,3.0,4.0,7.0
2223,04/03/2023,Trabzonspor,Umraniyespor,0.0,0.0,D,1,2,A,7.0,3.0,10.0
2223,12/03/2023,Trabzonspor,Ad. Demirspor,1.0,1.0,D,4,1,H,7.0,6.0,13.0
2223,01/04/2023,Trabzonspor,Kayserispor,1.0,2.0,A,3,4,A,4.0,2.0,6.0
2223,16/04/2023,Trabzonspor,Besiktas,0.0,0.0,D,0,0,D,6.0,8.0,14.0
2223,08/05/2023,Trabzonspor,Ankaragucu,1.0,0.0,H,2,0,H,5.0,4.0,9.0
2223,22/05/2023,Trabzonspor,Karagumruk,3.0,1.0,H,4,1,H,2.0,1.0,3.0
2223,03/06/2023,Trabzonspor,Alanyaspor,4.0,1.0,H,5,1,H,5.0,2.0,7.0
2324,11/08/2023,Trabzonspor,Antalyaspor,1.0,0.0,H,1,0,H,6.0,9.0,15.0
2324,26/08/2023,Trabzonspor,Rizespor,0.0,2.0,A,2,3,A,9.0,2.0,11.0
2324,17/09/2023,Trabzonspor,Besiktas,2.0,0.0,H,3,0,H,2.0,7.0,9.0
2324,30/09/2023,Trabzonspor,Pendikspor,2.0,1.0,H,2,1,H,4.0,2.0,6.0
2324,23/10/2023,Trabzonspor,Alanyaspor,0.0,0.0,D,1,0,H,7.0,5.0,12.0
2324,10/11/2023,Trabzonspor,Konyaspor,0.0,0.0,D,2,1,H,6.0,4.0,10.0
2324,03/12/2023,Trabzonspor,Kayserispor,0.0,0.0,D,0,1,A,4.0,2.0,6.0
2324,23/12/2023,Trabzonspor,Buyuksehyr,1.0,1.0,D,1,1,D,5.0,6.0,11.0
2324,11/01/2024,Trabzonspor,Samsunspor,2.0,0.0,H,2,1,H,5.0,1.0,6.0
2324,21/01/2024,Trabzonspor,Galatasaray,0.0,1.0,A,1,5,A,11.0,6.0,17.0
2324,29/01/2024,Trabzonspor,Kasimpasa,1.0,0.0,H,2,3,A,7.0,3.0,10.0
2324,12/02/2024,Trabzonspor,Hatayspor,0.0,0.0,D,2,0,H,10.0,5.0,15.0
2324,25/02/2024,Trabzonspor,Ad. Demirspor,1.0,0.0,H,1,0,H,4.0,5.0,9.0
2324,09/03/2024,Trabzonspor,Karagumruk,1.0,1.0,D,5,1,H,8.0,2.0,10.0
2324,17/03/2024,Trabzonspor,Fenerbahce,0.0,2.0,A,2,3,A,10.0,2.0,12.0
2324,12/04/2024,Trabzonspor,Sivasspor,0.0,0.0,D,0,1,A,14.0,4.0,18.0
2324,28/04/2024,Trabzonspor,Gaziantep,0.0,2.0,A,4,2,H,4.0,2.0,6.0
2324,12/05/2024,Trabzonspor,Istanbulspor,2.0,0.0,H,3,0,H,7.0,12.0,19.0
2324,26/05/2024,Trabzonspor,Ankaragucu,0.0,1.0,A,4,2,H,3.0,6.0,9.0
2425,15/09/2024,Trabzonspor,Besiktas,1,1,D,1,1,D,1,13,14
2425,19/09/2024,Trabzonspor,Kayserispor,0,1,A,2,2,D,8,3,11
2425,29/09/2024,Trabzonspor,Konyaspor,2,1,H,3,2,H,4,2,6
2425,19/10/2024,Trabzonspor,Buyuksehyr,0,0,D,1,0,H,8,1,9
2425,03/11/2024,Trabzonspor,Fenerbahce,0,1,A,2,3,A,9,10,19
