Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,18/09/2020,Yeni Malatyaspor,Goztep,1,1,D,1,1,D,5,6,11
2021,03/10/2020,Yeni Malatyaspor,Antalyaspor,1,0,H,1,0,H,7,3,10
2021,25/10/2020,Yeni Malatyaspor,Genclerbirligi,1,1,D,2,1,H,5,6,11
2021,08/11/2020,Yeni Malatyaspor,Denizlispor,2,0,H,2,0,H,2,9,11
2021,05/12/2020,Yeni Malatyaspor,Buyuksehyr,0,1,A,1,1,D,4,2,6
2021,19/12/2020,Yeni Malatyaspor,Kasimpasa,1,0,H,2,0,H,2,3,5
2021,27/12/2020,Yeni Malatyaspor,Erzurum BB,0,1,A,1,3,A,7,3,10
2021,05/01/2021,Yeni Malatyaspor,Sivasspor,1,2,A,2,2,D,4,5,9
2021,17/01/2021,Yeni Malatyaspor,Rizespor,0,1,A,4,1,H,4,4,8
2021,24/01/2021,Yeni Malatyaspor,Galatasaray,0,0,D,0,1,A,3,6,9
2021,29/01/2021,Yeni Malatyaspor,Karagumruk,0,0,D,0,0,D,7,7,14
2021,08/02/2021,Yeni Malatyaspor,Trabzonspor,0,0,D,0,2,A,11,4,15
2021,20/02/2021,Yeni Malatyaspor,Konyaspor,2,0,H,2,3,A,3,8,11
2021,02/03/2021,Yeni Malatyaspor,Besiktas,0,0,D,0,1,A,4,10,14
2021,20/03/2021,Yeni Malatyaspor,Gaziantep,1,1,D,2,2,D,7,5,12
2021,08/04/2021,Yeni Malatyaspor,Fenerbahce,1,1,D,1,1,D,4,7,11
2021,17/04/2021,Yeni Malatyaspor,Alanyaspor,0,0,D,1,0,H,2,7,9
2021,25/04/2021,Yeni Malatyaspor,Ankaragucu,0,0,D,2,1,H,4,4,8
2021,03/05/2021,Yeni Malatyaspor,Kayserispor,0,1,A,1,1,D,9,4,13
2021,11/05/2021,Yeni Malatyaspor,Hatayspor,0,1,A,1,1,D,5,4,9
2122,16/08/2021,Yeni Malatyaspor,Trabzonspor,1,4,A,1,5,A,8,2,10
2122,28/08/2021,Yeni Malatyaspor,Gaziantep,1,0,H,2,0,H,1,6,7
2122,17/09/2021,Yeni Malatyaspor,Karagumruk,3,2,H,3,4,A,2,5,7
2122,21/09/2021,Yeni Malatyaspor,Sivasspor,0,0,D,0,1,A,5,6,11
2122,03/10/2021,Yeni Malatyaspor,Hatayspor,0,1,A,0,2,A,7,5,12
2122,22/10/2021,Yeni Malatyaspor,Altay,0,0,D,2,1,H,6,3,9
2122,06/11/2021,Yeni Malatyaspor,Buyuksehyr,0,1,A,1,3,A,6,3,9
2122,28/11/2021,Yeni Malatyaspor,Galatasaray,0,0,D,0,0,D,4,7,11
2122,12/12/2021,Yeni Malatyaspor,Alanyaspor,2,3,A,2,6,A,8,5,13
2122,23/12/2021,Yeni Malatyaspor,Kayserispor,2,0,H,2,2,D,2,2,4
2122,14/01/2022,Yeni Malatyaspor,Goztep,1,1,D,1,2,A,3,6,9
2122,22/01/2022,Yeni Malatyaspor,Besiktas,0,0,D,1,1,D,3,6,9
2122,19/02/2022,Yeni Malatyaspor,Antalyaspor,0,1,A,1,2,A,9,2,11
2122,04/03/2022,Yeni Malatyaspor,Ad. Demirspor,0,0,D,1,0,H,5,6,11
2122,19/03/2022,Yeni Malatyaspor,Kasimpasa,0,0,D,0,2,A,3,4,7
2122,10/04/2022,Yeni Malatyaspor,Giresunspor,0,1,A,0,1,A,4,4,8
2122,24/04/2022,Yeni Malatyaspor,Konyaspor,0,2,A,2,3,A,1,10,11
2122,08/05/2022,Yeni Malatyaspor,Rizespor,1,2,A,1,3,A,4,6,10
2122,21/05/2022,Yeni Malatyaspor,Fenerbahce,0,1,A,0,5,A,0,10,10
