Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2223,14/08/2022,Almeria,Real Madrid,1,0,H,1,2,A,2,15,17
2223,27/08/2022,Almeria,Sevilla,1,1,D,2,1,H,5,2,7
2223,12/09/2022,Almeria,Osasuna,0,1,A,0,1,A,5,10,15
2223,08/10/2022,Almeria,Vallecano,3,0,H,3,1,H,7,6,13
2223,20/10/2022,Almeria,Girona,3,0,H,3,2,H,4,5,9
2223,29/10/2022,Almeria,Celta,0,1,A,3,1,H,6,4,10
2223,09/11/2022,Almeria,Getafe,1,0,H,1,0,H,7,6,13
2223,08/01/2023,Almeria,Sociedad,0,0,D,0,2,A,4,2,6
2223,15/01/2023,Almeria,Ath Madrid,1,1,D,1,1,D,3,4,7
2223,27/01/2023,Almeria,Espanol,1,0,H,3,1,H,2,2,4
2223,11/02/2023,Almeria,Betis,1,2,A,2,3,A,8,2,10
2223,26/02/2023,Almeria,Barcelona,1,0,H,1,0,H,4,7,11
2223,04/03/2023,Almeria,Villarreal,0,0,D,0,2,A,2,10,12
2223,18/03/2023,Almeria,Cadiz,0,0,D,1,1,D,5,2,7
2223,09/04/2023,Almeria,Valencia,0,0,D,2,1,H,3,7,10
2223,22/04/2023,Almeria,Ath Bilbao,0,1,A,1,2,A,3,4,7
2223,02/05/2023,Almeria,Elche,1,0,H,2,1,H,7,13,20
2223,20/05/2023,Almeria,Mallorca,2,0,H,3,0,H,4,6,10
2223,28/05/2023,Almeria,Valladolid,0,0,D,0,0,D,2,4,6
2324,11/08/2023,Almeria,Vallecano,0,2,A,0,2,A,8,3,11
2324,19/08/2023,Almeria,Real Madrid,1,1,D,1,3,A,4,5,9
2324,01/09/2023,Almeria,Celta,0,2,A,2,3,A,6,5,11
2324,23/09/2023,Almeria,Valencia,0,1,A,2,2,D,8,3,11
2324,01/10/2023,Almeria,Granada,3,0,H,3,3,D,1,5,6
2324,28/10/2023,Almeria,Las Palmas,0,1,A,1,2,A,3,2,5
2324,11/11/2023,Almeria,Sociedad,0,0,D,1,3,A,5,5,10
2324,03/12/2023,Almeria,Betis,0,0,D,0,0,D,4,6,10
2324,17/12/2023,Almeria,Mallorca,0,0,D,0,0,D,4,4,8
2324,14/01/2024,Almeria,Girona,0,0,D,0,0,D,4,3,7
2324,26/01/2024,Almeria,Alaves,0,1,A,0,3,A,11,3,14
2324,12/02/2024,Almeria,Ath Bilbao,0,0,D,0,0,D,4,10,14
2324,24/02/2024,Almeria,Ath Madrid,1,1,D,2,2,D,2,7,9
2324,11/03/2024,Almeria,Sevilla,1,0,H,2,2,D,1,8,9
2324,30/03/2024,Almeria,Osasuna,0,2,A,0,3,A,6,1,7
2324,21/04/2024,Almeria,Villarreal,1,1,D,1,2,A,5,2,7
2324,27/04/2024,Almeria,Getafe,1,1,D,1,3,A,9,2,11
2324,16/05/2024,Almeria,Barcelona,0,1,A,0,2,A,4,7,11
2324,25/05/2024,Almeria,Cadiz,0,1,A,6,1,H,1,4,5
