Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Ath Madrid,Granada,1,0,H,6,1,H,1,1,2
2021,03/10/2020,Ath Madrid,Villarreal,0,0,D,0,0,D,9,1,10
2021,24/10/2020,Ath Madrid,Betis,0,0,D,2,0,H,8,5,13
2021,07/11/2020,Ath Madrid,Cadiz,2,0,H,4,0,H,2,7,9
2021,21/11/2020,Ath Madrid,Barcelona,1,0,H,1,0,H,8,8,16
2021,05/12/2020,Ath Madrid,Valladolid,0,0,D,2,0,H,4,4,8
2021,19/12/2020,Ath Madrid,Elche,1,0,H,3,1,H,2,5,7
2021,30/12/2020,Ath Madrid,Getafe,1,0,H,1,0,H,5,2,7
2021,12/01/2021,Ath Madrid,Sevilla,1,0,H,2,0,H,3,12,15
2021,24/01/2021,Ath Madrid,Valencia,1,1,D,3,1,H,7,7,14
2021,08/02/2021,Ath Madrid,Celta,1,1,D,2,2,D,1,4,5
2021,20/02/2021,Ath Madrid,Levante,0,1,A,0,2,A,12,2,14
2021,07/03/2021,Ath Madrid,Real Madrid,1,0,H,1,1,D,1,6,7
2021,10/03/2021,Ath Madrid,Ath Bilbao,1,1,D,2,1,H,5,4,9
2021,21/03/2021,Ath Madrid,Alaves,0,0,D,1,0,H,5,5,10
2021,18/04/2021,Ath Madrid,Eibar,2,0,H,5,0,H,8,3,11
2021,22/04/2021,Ath Madrid,Huesca,1,0,H,2,0,H,8,1,9
2021,12/05/2021,Ath Madrid,Sociedad,2,0,H,2,1,H,1,7,8
2021,16/05/2021,Ath Madrid,Osasuna,0,0,D,2,1,H,8,0,8
2122,22/08/2021,Ath Madrid,Elche,1,0,H,1,0,H,2,1,3
2122,29/08/2021,Ath Madrid,Villarreal,0,0,D,2,2,D,16,0,16
2122,18/09/2021,Ath Madrid,Ath Bilbao,0,0,D,0,0,D,5,5,10
2122,02/10/2021,Ath Madrid,Barcelona,2,0,H,2,0,H,2,6,8
2122,24/10/2021,Ath Madrid,Sociedad,0,1,A,2,2,D,4,3,7
2122,31/10/2021,Ath Madrid,Betis,1,0,H,3,0,H,13,0,13
2122,20/11/2021,Ath Madrid,Osasuna,0,0,D,1,0,H,7,4,11
2122,04/12/2021,Ath Madrid,Mallorca,0,0,D,1,2,A,8,5,13
2122,02/01/2022,Ath Madrid,Vallecano,1,0,H,2,0,H,8,2,10
2122,22/01/2022,Ath Madrid,Valencia,0,2,A,3,2,H,5,4,9
2122,12/02/2022,Ath Madrid,Getafe,3,3,D,4,3,H,5,4,9
2122,16/02/2022,Ath Madrid,Levante,0,0,D,0,1,A,5,3,8
2122,26/02/2022,Ath Madrid,Celta,1,0,H,2,0,H,5,9,14
2122,11/03/2022,Ath Madrid,Cadiz,1,1,D,2,1,H,0,4,4
2122,02/04/2022,Ath Madrid,Alaves,1,0,H,4,1,H,8,2,10
2122,17/04/2022,Ath Madrid,Espanol,0,0,D,2,1,H,6,3,9
2122,20/04/2022,Ath Madrid,Granada,0,0,D,0,0,D,11,1,12
2122,08/05/2022,Ath Madrid,Real Madrid,1,0,H,1,0,H,4,6,10
