Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Barcelona,Villarreal,4,0,H,4,0,H,8,4,12
2021,04/10/2020,Barcelona,Sevilla,1,1,D,1,1,D,6,5,11
2021,24/10/2020,Barcelona,Real Madrid,1,1,D,1,3,A,7,7,14
2021,07/11/2020,Barcelona,Betis,1,1,D,5,2,H,9,5,14
2021,29/11/2020,Barcelona,Osasuna,2,0,H,4,0,H,5,3,8
2021,13/12/2020,Barcelona,Levante,0,0,D,1,0,H,12,4,16
2021,16/12/2020,Barcelona,Sociedad,2,1,H,2,1,H,2,3,5
2021,19/12/2020,Barcelona,Valencia,1,1,D,2,2,D,8,3,11
2021,29/12/2020,Barcelona,Eibar,0,0,D,1,1,D,5,7,12
2021,31/01/2021,Barcelona,Ath Bilbao,1,0,H,2,1,H,7,3,10
2021,13/02/2021,Barcelona,Alaves,2,0,H,5,1,H,5,4,9
2021,21/02/2021,Barcelona,Cadiz,1,0,H,1,1,D,8,0,8
2021,24/02/2021,Barcelona,Elche,0,0,D,3,0,H,6,3,9
2021,15/03/2021,Barcelona,Huesca,2,1,H,4,1,H,7,3,10
2021,05/04/2021,Barcelona,Valladolid,0,0,D,1,0,H,4,1,5
2021,22/04/2021,Barcelona,Getafe,3,1,H,5,2,H,3,1,4
2021,29/04/2021,Barcelona,Granada,1,0,H,1,2,A,6,1,7
2021,08/05/2021,Barcelona,Ath Madrid,0,0,D,0,0,D,5,7,12
2021,16/05/2021,Barcelona,Celta,1,1,D,1,2,A,7,1,8
2122,15/08/2021,Barcelona,Sociedad,2,0,H,4,2,H,5,3,8
2122,29/08/2021,Barcelona,Getafe,2,1,H,2,1,H,3,2,5
2122,20/09/2021,Barcelona,Granada,0,1,A,1,1,D,12,4,16
2122,26/09/2021,Barcelona,Levante,2,0,H,3,0,H,11,1,12
2122,17/10/2021,Barcelona,Valencia,2,1,H,3,1,H,9,3,12
2122,24/10/2021,Barcelona,Real Madrid,0,1,A,1,2,A,7,4,11
2122,30/10/2021,Barcelona,Alaves,0,0,D,1,1,D,9,0,9
2122,20/11/2021,Barcelona,Espanol,0,0,D,1,0,H,4,4,8
2122,04/12/2021,Barcelona,Betis,0,0,D,0,1,A,6,1,7
2122,18/12/2021,Barcelona,Elche,2,0,H,3,2,H,5,0,5
2122,06/02/2022,Barcelona,Ath Madrid,3,1,H,4,2,H,3,5,8
2122,27/02/2022,Barcelona,Ath Bilbao,1,0,H,4,0,H,5,0,5
2122,13/03/2022,Barcelona,Osasuna,3,0,H,4,0,H,5,1,6
2122,03/04/2022,Barcelona,Sevilla,0,0,D,1,0,H,9,2,11
2122,18/04/2022,Barcelona,Cadiz,0,0,D,0,1,A,8,1,9
2122,24/04/2022,Barcelona,Vallecano,0,1,A,0,1,A,9,1,10
2122,01/05/2022,Barcelona,Mallorca,1,0,H,2,1,H,5,2,7
2122,10/05/2022,Barcelona,Celta,2,0,H,3,1,H,2,8,10
2122,22/05/2022,Barcelona,Villarreal,0,1,A,0,2,A,12,1,13
2223,13/08/2022,Barcelona,Vallecano,0,0,D,0,0,D,8,0,8
2223,28/08/2022,Barcelona,Valladolid,2,0,H,4,0,H,14,4,18
2223,17/09/2022,Barcelona,Elche,2,0,H,3,0,H,6,0,6
2223,09/10/2022,Barcelona,Celta,1,0,H,1,0,H,6,3,9
2223,20/10/2022,Barcelona,Villarreal,3,0,H,3,0,H,8,0,8
2223,23/10/2022,Barcelona,Ath Bilbao,3,0,H,4,0,H,1,2,3
2223,05/11/2022,Barcelona,Almeria,0,0,D,2,0,H,9,1,10
2223,31/12/2022,Barcelona,Espanol,1,0,H,1,1,D,10,2,12
2223,22/01/2023,Barcelona,Getafe,1,0,H,1,0,H,4,2,6
2223,05/02/2023,Barcelona,Sevilla,0,0,D,3,0,H,8,3,11
2223,19/02/2023,Barcelona,Cadiz,2,0,H,2,0,H,5,6,11
2223,05/03/2023,Barcelona,Valencia,1,0,H,1,0,H,5,2,7
2223,19/03/2023,Barcelona,Real Madrid,1,1,D,2,1,H,8,1,9
2223,10/04/2023,Barcelona,Girona,0,0,D,0,0,D,12,2,14
2223,23/04/2023,Barcelona,Ath Madrid,1,0,H,1,0,H,3,3,6
2223,29/04/2023,Barcelona,Betis,3,0,H,4,0,H,10,0,10
2223,02/05/2023,Barcelona,Osasuna,0,0,D,1,0,H,11,0,11
2223,20/05/2023,Barcelona,Sociedad,0,1,A,1,2,A,8,2,10
2223,28/05/2023,Barcelona,Mallorca,2,0,H,3,0,H,14,3,17
2324,20/08/2023,Barcelona,Cadiz,0,0,D,2,0,H,10,2,12
2324,16/09/2023,Barcelona,Betis,2,0,H,5,0,H,9,5,14
2324,23/09/2023,Barcelona,Celta,0,1,A,3,2,H,2,3,5
2324,29/09/2023,Barcelona,Sevilla,0,0,D,1,0,H,13,3,16
2324,22/10/2023,Barcelona,Ath Bilbao,0,0,D,1,0,H,4,7,11
2324,28/10/2023,Barcelona,Real Madrid,1,0,H,1,2,A,6,3,9
2324,12/11/2023,Barcelona,Alaves,0,1,A,2,1,H,2,1,3
2324,03/12/2023,Barcelona,Ath Madrid,1,0,H,1,0,H,7,2,9
2324,10/12/2023,Barcelona,Girona,1,2,A,2,4,A,8,3,11
2324,20/12/2023,Barcelona,Almeria,1,1,D,3,2,H,12,0,12
