Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,12/09/2020,Cadiz,Osasuna,0,1,A,0,2,A,6,2,8
2021,27/09/2020,Cadiz,Sevilla,0,0,D,1,3,A,6,5,11
2021,04/10/2020,Cadiz,Granada,0,1,A,1,1,D,2,5,7
2021,25/10/2020,Cadiz,Villarreal,0,0,D,0,0,D,0,5,5
2021,22/11/2020,Cadiz,Sociedad,0,0,D,0,1,A,1,6,7
2021,05/12/2020,Cadiz,Barcelona,1,0,H,2,1,H,5,13,18
2021,20/12/2020,Cadiz,Getafe,0,1,A,0,2,A,2,4,6
2021,29/12/2020,Cadiz,Valladolid,0,0,D,0,0,D,1,6,7
2021,10/01/2021,Cadiz,Alaves,1,1,D,3,1,H,4,1,5
2021,19/01/2021,Cadiz,Levante,2,2,D,2,2,D,5,2,7
2021,31/01/2021,Cadiz,Ath Madrid,1,2,A,2,4,A,2,2,4
2021,15/02/2021,Cadiz,Ath Bilbao,0,3,A,0,4,A,5,8,13
2021,28/02/2021,Cadiz,Betis,0,0,D,0,1,A,3,7,10
2021,06/03/2021,Cadiz,Eibar,1,0,H,1,0,H,0,12,12
2021,04/04/2021,Cadiz,Valencia,1,1,D,2,1,H,4,13,17
2021,18/04/2021,Cadiz,Celta,0,0,D,0,0,D,4,7,11
2021,21/04/2021,Cadiz,Real Madrid,0,3,A,0,3,A,7,3,10
2021,08/05/2021,Cadiz,Huesca,2,1,H,2,1,H,3,3,6
2021,16/05/2021,Cadiz,Elche,1,0,H,1,3,A,1,8,9
2122,14/08/2021,Cadiz,Levante,0,1,A,1,1,D,2,4,6
2122,29/08/2021,Cadiz,Osasuna,1,0,H,2,3,A,4,11,15
2122,12/09/2021,Cadiz,Sociedad,0,0,D,0,2,A,2,8,10
2122,23/09/2021,Cadiz,Barcelona,0,0,D,0,0,D,4,5,9
2122,02/10/2021,Cadiz,Valencia,0,0,D,0,0,D,1,3,4
2122,23/10/2021,Cadiz,Alaves,0,1,A,0,2,A,14,3,17
2122,31/10/2021,Cadiz,Mallorca,0,1,A,1,1,D,6,5,11
2122,28/11/2021,Cadiz,Ath Madrid,0,0,D,1,4,A,4,8,12
