Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Celta,Valencia,1,0,H,2,1,H,6,6,12
2021,01/10/2020,Celta,Barcelona,0,1,A,0,3,A,3,7,10
2021,17/10/2020,Celta,Ath Madrid,0,1,A,0,2,A,8,4,12
2021,01/11/2020,Celta,Sociedad,0,2,A,1,4,A,2,3,5
2021,29/11/2020,Celta,Granada,1,1,D,3,1,H,8,0,8
2021,14/12/2020,Celta,Cadiz,4,0,H,4,0,H,1,5,6
2021,20/12/2020,Celta,Alaves,1,0,H,2,0,H,3,5,8
2021,30/12/2020,Celta,Huesca,1,0,H,2,1,H,0,5,5
2021,08/01/2021,Celta,Villarreal,0,4,A,0,4,A,3,4,7
2021,24/01/2021,Celta,Eibar,1,0,H,1,1,D,0,6,6
2021,12/02/2021,Celta,Elche,2,0,H,3,1,H,3,6,9
2021,28/02/2021,Celta,Valladolid,0,0,D,1,1,D,3,5,8
2021,14/03/2021,Celta,Ath Bilbao,0,0,D,0,0,D,1,3,4
2021,20/03/2021,Celta,Real Madrid,1,2,A,1,3,A,1,7,8
2021,12/04/2021,Celta,Sevilla,3,2,H,3,4,A,5,2,7
2021,25/04/2021,Celta,Osasuna,1,0,H,2,1,H,2,8,10
2021,30/04/2021,Celta,Levante,0,0,D,2,0,H,1,5,6
2021,12/05/2021,Celta,Getafe,1,0,H,1,0,H,1,5,6
2021,22/05/2021,Celta,Betis,1,0,H,2,3,A,8,4,12
2122,15/08/2021,Celta,Ath Madrid,0,1,A,1,2,A,2,5,7
2122,28/08/2021,Celta,Ath Bilbao,0,1,A,0,1,A,5,4,9
2122,17/09/2021,Celta,Cadiz,0,2,A,1,2,A,7,1,8
2122,27/09/2021,Celta,Granada,0,0,D,1,0,H,5,3,8
2122,17/10/2021,Celta,Sevilla,0,0,D,0,1,A,5,4,9
2122,28/10/2021,Celta,Sociedad,0,0,D,0,2,A,7,6,13
