Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,12/09/2020,Eibar,Celta,0,0,D,0,0,D,3,3,6
2021,27/09/2020,Eibar,Ath Bilbao,0,1,A,1,2,A,5,4,9
2021,30/09/2020,Eibar,Elche,0,1,A,0,1,A,3,2,5
2021,18/10/2020,Eibar,Osasuna,0,0,D,0,0,D,6,7,13
2021,30/10/2020,Eibar,Cadiz,0,2,A,0,2,A,7,2,9
2021,22/11/2020,Eibar,Getafe,0,0,D,0,0,D,3,4,7
2021,07/12/2020,Eibar,Valencia,0,0,D,0,0,D,8,0,8
2021,20/12/2020,Eibar,Real Madrid,1,2,A,1,3,A,4,4,8
2021,03/01/2021,Eibar,Granada,0,0,D,2,0,H,4,2,6
2021,21/01/2021,Eibar,Ath Madrid,1,1,D,1,2,A,3,3,6
2021,30/01/2021,Eibar,Sevilla,0,1,A,0,2,A,6,2,8
2021,13/02/2021,Eibar,Valladolid,1,1,D,1,1,D,7,3,10
2021,27/02/2021,Eibar,Huesca,0,0,D,1,1,D,6,2,8
2021,14/03/2021,Eibar,Villarreal,0,2,A,1,3,A,7,2,9
2021,10/04/2021,Eibar,Levante,0,1,A,0,1,A,6,3,9
2021,26/04/2021,Eibar,Sociedad,0,1,A,0,1,A,2,3,5
2021,01/05/2021,Eibar,Alaves,1,0,H,3,0,H,10,5,15
2021,13/05/2021,Eibar,Betis,0,1,A,1,1,D,5,4,9
2021,22/05/2021,Eibar,Barcelona,0,0,D,0,1,A,6,3,9
