Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,26/09/2020,Elche,Sociedad,0,0,D,0,3,A,2,11,13
2021,03/10/2020,Elche,Huesca,0,0,D,0,0,D,0,5,5
2021,23/10/2020,Elche,Valencia,2,0,H,2,1,H,0,7,7
2021,06/11/2020,Elche,Celta,1,1,D,1,1,D,3,3,6
2021,28/11/2020,Elche,Cadiz,1,0,H,1,1,D,1,9,10
2021,13/12/2020,Elche,Granada,0,1,A,0,1,A,6,5,11
2021,22/12/2020,Elche,Osasuna,0,1,A,2,2,D,4,4,8
2021,30/12/2020,Elche,Real Madrid,0,1,A,1,1,D,2,3,5
2021,11/01/2021,Elche,Getafe,1,1,D,1,3,A,1,7,8
2021,24/01/2021,Elche,Barcelona,0,1,A,0,2,A,0,7,7
2021,06/02/2021,Elche,Villarreal,0,2,A,2,2,D,4,2,6
2021,20/02/2021,Elche,Eibar,1,0,H,1,0,H,1,4,5
2021,06/03/2021,Elche,Sevilla,0,0,D,2,1,H,6,3,9
2021,04/04/2021,Elche,Betis,1,1,D,1,1,D,7,2,9
2021,21/04/2021,Elche,Valladolid,1,0,H,1,1,D,4,6,10
2021,24/04/2021,Elche,Levante,1,0,H,1,0,H,4,2,6
2021,01/05/2021,Elche,Ath Madrid,0,1,A,0,1,A,3,2,5
2021,11/05/2021,Elche,Alaves,0,1,A,0,2,A,7,5,12
2021,22/05/2021,Elche,Ath Bilbao,1,0,H,2,0,H,3,1,4
2122,16/08/2021,Elche,Ath Bilbao,0,0,D,0,0,D,6,8,14
2122,28/08/2021,Elche,Sevilla,1,1,D,1,1,D,5,3,8
2122,18/09/2021,Elche,Levante,1,0,H,1,1,D,4,7,11
2122,03/10/2021,Elche,Celta,0,0,D,1,0,H,7,4,11
2122,23/10/2021,Elche,Espanol,1,0,H,2,2,D,3,7,10
2122,30/10/2021,Elche,Real Madrid,0,1,A,1,2,A,5,4,9
2122,21/11/2021,Elche,Betis,0,3,A,0,3,A,10,1,11
2122,05/12/2021,Elche,Cadiz,1,0,H,3,1,H,3,3,6
2122,02/01/2022,Elche,Granada,0,0,D,0,0,D,6,3,9
2122,16/01/2022,Elche,Villarreal,0,0,D,1,0,H,3,8,11
2122,05/02/2022,Elche,Alaves,0,1,A,3,1,H,7,3,10
2122,18/02/2022,Elche,Vallecano,0,0,D,2,1,H,2,3,5
2122,06/03/2022,Elche,Barcelona,1,0,H,1,2,A,5,6,11
2122,19/03/2022,Elche,Valencia,0,0,D,0,1,A,4,2,6
2122,10/04/2022,Elche,Sociedad,1,2,A,1,2,A,8,9,17
2122,16/04/2022,Elche,Mallorca,1,0,H,3,0,H,2,1,3
2122,01/05/2022,Elche,Osasuna,0,0,D,1,1,D,7,4,11
2122,11/05/2022,Elche,Ath Madrid,0,1,A,0,2,A,6,3,9
2122,22/05/2022,Elche,Getafe,1,1,D,3,1,H,8,3,11
2223,22/08/2022,Elche,Almeria,1,1,D,1,1,D,6,5,11
2223,27/08/2022,Elche,Sociedad,0,1,A,0,1,A,4,6,10
2223,11/09/2022,Elche,Ath Bilbao,0,4,A,1,4,A,5,5,10
2223,10/10/2022,Elche,Mallorca,1,0,H,1,1,D,5,7,12
2223,19/10/2022,Elche,Real Madrid,0,1,A,0,3,A,8,2,10
2223,31/10/2022,Elche,Getafe,0,0,D,0,1,A,6,2,8
2223,08/11/2022,Elche,Girona,1,1,D,1,2,A,2,5,7
2223,06/01/2023,Elche,Celta,0,1,A,0,1,A,8,4,12
2223,22/01/2023,Elche,Osasuna,0,1,A,1,1,D,7,2,9
2223,04/02/2023,Elche,Villarreal,2,1,H,3,1,H,6,10,16
2223,19/02/2023,Elche,Espanol,0,0,D,0,1,A,10,5,15
2223,24/02/2023,Elche,Betis,2,0,H,2,3,A,3,3,6
2223,11/03/2023,Elche,Valladolid,0,1,A,1,1,D,10,3,13
2223,01/04/2023,Elche,Barcelona,0,1,A,0,4,A,11,3,14
2223,23/04/2023,Elche,Valencia,0,2,A,0,2,A,11,6,17
2223,29/04/2023,Elche,Vallecano,1,0,H,4,0,H,3,8,11
2223,14/05/2023,Elche,Ath Madrid,1,0,H,1,0,H,3,5,8
2223,24/05/2023,Elche,Sevilla,1,1,D,1,1,D,9,5,14
2223,04/06/2023,Elche,Cadiz,0,1,A,1,1,D,7,4,11
