Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,21/08/2021,Espanol,Villarreal,0,0,D,0,0,D,9,7,16
2122,12/09/2021,Espanol,Ath Madrid,1,0,H,1,2,A,6,3,9
2122,22/09/2021,Espanol,Alaves,0,0,D,1,0,H,4,8,12
2122,03/10/2021,Espanol,Real Madrid,1,0,H,2,1,H,2,8,10
2122,18/10/2021,Espanol,Cadiz,1,0,H,2,0,H,7,9,16
2122,26/10/2021,Espanol,Ath Bilbao,1,0,H,1,1,D,8,12,20
2122,06/11/2021,Espanol,Granada,2,0,H,2,0,H,5,3,8
2122,28/11/2021,Espanol,Sociedad,0,0,D,1,0,H,2,9,11
2122,11/12/2021,Espanol,Levante,1,2,A,4,3,H,4,2,6
2122,10/01/2022,Espanol,Elche,1,2,A,1,2,A,13,0,13
2122,21/01/2022,Espanol,Betis,1,2,A,1,4,A,6,5,11
2122,13/02/2022,Espanol,Barcelona,1,1,D,2,2,D,3,5,8
2122,20/02/2022,Espanol,Sevilla,0,1,A,1,1,D,3,7,10
2122,05/03/2022,Espanol,Getafe,2,0,H,2,0,H,1,5,6
2122,20/03/2022,Espanol,Mallorca,1,0,H,1,0,H,6,6,12
2122,10/04/2022,Espanol,Celta,0,0,D,1,0,H,2,3,5
2122,21/04/2022,Espanol,Vallecano,0,1,A,0,1,A,3,10,13
2122,08/05/2022,Espanol,Osasuna,0,1,A,1,1,D,6,6,12
2122,14/05/2022,Espanol,Valencia,1,1,D,1,1,D,2,3,5
2223,19/08/2022,Espanol,Vallecano,0,1,A,0,2,A,9,2,11
2223,28/08/2022,Espanol,Real Madrid,1,1,D,1,3,A,7,7,14
2223,10/09/2022,Espanol,Sevilla,1,3,A,2,3,A,9,3,12
2223,02/10/2022,Espanol,Valencia,0,0,D,2,2,D,6,4,10
2223,16/10/2022,Espanol,Valladolid,0,0,D,1,0,H,6,4,10
2223,23/10/2022,Espanol,Elche,1,1,D,2,2,D,5,3,8
2223,09/11/2022,Espanol,Villarreal,0,0,D,0,1,A,4,7,11
2223,07/01/2023,Espanol,Girona,0,1,A,2,2,D,5,2,7
2223,21/01/2023,Espanol,Betis,1,0,H,1,0,H,7,4,11
2223,04/02/2023,Espanol,Osasuna,0,1,A,1,1,D,4,3,7
2223,13/02/2023,Espanol,Sociedad,0,1,A,2,3,A,4,3,7
2223,25/02/2023,Espanol,Mallorca,1,1,D,2,1,H,0,4,4
2223,18/03/2023,Espanol,Celta,0,2,A,1,3,A,4,1,5
2223,08/04/2023,Espanol,Ath Bilbao,0,1,A,1,2,A,8,7,15
2223,21/04/2023,Espanol,Cadiz,0,0,D,0,0,D,6,3,9
2223,30/04/2023,Espanol,Getafe,1,0,H,1,0,H,6,3,9
2223,14/05/2023,Espanol,Barcelona,0,3,A,2,4,A,4,3,7
2223,24/05/2023,Espanol,Ath Madrid,0,2,A,3,3,D,16,1,17
2223,04/06/2023,Espanol,Almeria,1,1,D,3,3,D,7,6,13
2425,24/08/2024,Espanol,Sociedad,0,0,D,0,1,A,7,4,11
2425,31/08/2024,Espanol,Vallecano,1,1,D,2,1,H,3,7,10
2425,14/09/2024,Espanol,Alaves,1,1,D,3,2,H,0,5,5
2425,26/09/2024,Espanol,Villarreal,1,1,D,1,2,A,4,1,5
2425,05/10/2024,Espanol,Mallorca,1,0,H,2,1,H,4,6,10
2425,25/10/2024,Espanol,Sevilla,0,2,A,0,2,A,13,2,15
