Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Getafe,Osasuna,0,0,D,1,0,H,4,1,5
2021,29/09/2020,Getafe,Betis,3,0,H,3,0,H,1,4,5
2021,17/10/2020,Getafe,Barcelona,0,0,D,1,0,H,7,2,9
2021,25/10/2020,Getafe,Granada,0,1,A,0,1,A,6,1,7
2021,08/11/2020,Getafe,Villarreal,1,2,A,1,3,A,3,3,6
2021,29/11/2020,Getafe,Ath Bilbao,0,1,A,1,1,D,3,2,5
2021,12/12/2020,Getafe,Sevilla,0,0,D,0,1,A,5,3,8
2021,23/12/2020,Getafe,Celta,1,1,D,1,1,D,1,4,5
2021,02/01/2021,Getafe,Valladolid,0,1,A,0,1,A,5,9,14
2021,20/01/2021,Getafe,Huesca,0,0,D,1,0,H,3,8,11
2021,31/01/2021,Getafe,Alaves,0,0,D,0,0,D,5,2,7
2021,14/02/2021,Getafe,Sociedad,0,1,A,0,1,A,2,5,7
2021,27/02/2021,Getafe,Valencia,1,0,H,3,0,H,3,6,9
2021,13/03/2021,Getafe,Ath Madrid,0,0,D,0,0,D,3,11,14
2021,21/03/2021,Getafe,Elche,0,1,A,1,1,D,4,8,12
2021,10/04/2021,Getafe,Cadiz,0,0,D,0,1,A,10,4,14
2021,18/04/2021,Getafe,Real Madrid,0,0,D,0,0,D,6,6,12
2021,09/05/2021,Getafe,Eibar,0,0,D,0,1,A,4,2,6
2021,16/05/2021,Getafe,Levante,1,1,D,2,1,H,3,4,7
2122,23/08/2021,Getafe,Sevilla,0,0,D,0,1,A,5,4,9
2122,13/09/2021,Getafe,Elche,0,0,D,0,1,A,8,2,10
2122,21/09/2021,Getafe,Ath Madrid,1,0,H,1,2,A,2,5,7
2122,03/10/2021,Getafe,Sociedad,1,0,H,1,1,D,2,5,7
2122,25/10/2021,Getafe,Celta,0,0,D,0,3,A,2,7,9
2122,31/10/2021,Getafe,Espanol,1,1,D,2,1,H,6,11,17
2122,21/11/2021,Getafe,Cadiz,1,0,H,4,0,H,3,7,10
2122,06/12/2021,Getafe,Ath Bilbao,0,0,D,0,0,D,5,3,8
2122,19/12/2021,Getafe,Osasuna,0,0,D,1,0,H,4,3,7
2122,02/01/2022,Getafe,Real Madrid,1,0,H,1,0,H,2,9,11
2122,20/01/2022,Getafe,Granada,1,1,D,4,2,H,4,8,12
2122,04/02/2022,Getafe,Levante,2,0,H,3,0,H,2,8,10
2122,26/02/2022,Getafe,Alaves,0,1,A,2,2,D,6,1,7
2122,12/03/2022,Getafe,Valencia,0,0,D,0,0,D,5,3,8
2122,02/04/2022,Getafe,Mallorca,0,0,D,1,0,H,5,1,6
2122,16/04/2022,Getafe,Villarreal,0,2,A,1,2,A,6,6,12
2122,02/05/2022,Getafe,Betis,0,0,D,0,0,D,2,4,6
2122,08/05/2022,Getafe,Vallecano,0,0,D,0,0,D,4,5,9
2122,15/05/2022,Getafe,Barcelona,0,0,D,0,0,D,5,5,10
2223,15/08/2022,Getafe,Ath Madrid,0,1,A,0,3,A,3,6,9
2223,28/08/2022,Getafe,Villarreal,0,0,D,0,0,D,1,4,5
