Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,12/09/2020,Granada,Ath Bilbao,0,0,D,2,0,H,1,2,3
2021,20/09/2020,Granada,Alaves,1,1,D,2,1,H,4,4,8
2021,17/10/2020,Granada,Sevilla,0,0,D,1,0,H,5,1,6
2021,01/11/2020,Granada,Levante,1,1,D,1,1,D,2,8,10
2021,22/11/2020,Granada,Valladolid,0,1,A,1,3,A,5,3,8
2021,06/12/2020,Granada,Huesca,1,1,D,3,3,D,4,2,6
2021,20/12/2020,Granada,Betis,2,0,H,2,0,H,1,10,11
2021,30/12/2020,Granada,Valencia,1,1,D,2,1,H,6,6,12
2021,09/01/2021,Granada,Barcelona,0,3,A,0,4,A,4,1,5
2021,12/01/2021,Granada,Osasuna,2,0,H,2,0,H,4,4,8
2021,31/01/2021,Granada,Celta,0,0,D,0,0,D,6,5,11
2021,13/02/2021,Granada,Ath Madrid,0,0,D,1,2,A,7,3,10
2021,28/02/2021,Granada,Elche,1,1,D,2,1,H,5,5,10
2021,14/03/2021,Granada,Sociedad,0,0,D,1,0,H,4,6,10
2021,03/04/2021,Granada,Villarreal,0,2,A,0,3,A,3,5,8
2021,22/04/2021,Granada,Eibar,2,0,H,4,1,H,4,7,11
2021,02/05/2021,Granada,Cadiz,0,1,A,0,1,A,6,5,11
2021,13/05/2021,Granada,Real Madrid,0,2,A,1,4,A,2,3,5
2021,23/05/2021,Granada,Getafe,0,0,D,0,0,D,6,3,9
2122,21/08/2021,Granada,Valencia,1,0,H,1,1,D,2,6,8
2122,13/09/2021,Granada,Betis,0,1,A,1,2,A,6,8,14
2122,23/09/2021,Granada,Sociedad,1,0,H,2,3,A,4,7,11
2122,03/10/2021,Granada,Sevilla,1,0,H,1,0,H,2,6,8
2122,28/10/2021,Granada,Getafe,0,1,A,1,1,D,5,0,5
2122,21/11/2021,Granada,Real Madrid,1,2,A,1,4,A,9,6,15
2122,03/12/2021,Granada,Alaves,1,0,H,2,1,H,3,5,8
2122,19/12/2021,Granada,Mallorca,1,1,D,4,1,H,4,2,6
2122,22/12/2021,Granada,Ath Madrid,1,1,D,2,1,H,2,7,9
2122,08/01/2022,Granada,Barcelona,0,0,D,1,1,D,3,2,5
2122,23/01/2022,Granada,Osasuna,0,0,D,0,2,A,4,3,7
2122,19/02/2022,Granada,Villarreal,0,2,A,1,4,A,9,2,11
2122,28/02/2022,Granada,Cadiz,0,0,D,0,0,D,0,4,4
2122,12/03/2022,Granada,Elche,0,1,A,0,1,A,3,3,6
2122,03/04/2022,Granada,Vallecano,0,2,A,2,2,D,5,4,9
2122,17/04/2022,Granada,Levante,0,1,A,1,4,A,13,2,15
2122,01/05/2022,Granada,Celta,0,0,D,1,1,D,5,4,9
2122,10/05/2022,Granada,Ath Bilbao,1,0,H,1,0,H,2,7,9
2122,22/05/2022,Granada,Espanol,0,0,D,0,0,D,7,3,10
2324,21/08/2023,Granada,Vallecano,0,0,D,0,2,A,5,6,11
2324,26/08/2023,Granada,Mallorca,1,1,D,3,2,H,5,3,8
2324,18/09/2023,Granada,Girona,0,3,A,2,4,A,4,5,9
2324,28/09/2023,Granada,Betis,0,0,D,1,1,D,5,7,12
2324,08/10/2023,Granada,Barcelona,2,1,H,2,2,D,1,11,12
2324,30/10/2023,Granada,Villarreal,2,3,A,2,3,A,4,1,5
2324,11/11/2023,Granada,Getafe,1,1,D,1,1,D,3,5,8
2324,11/12/2023,Granada,Ath Bilbao,0,1,A,1,1,D,1,8,9
2324,19/12/2023,Granada,Sevilla,0,2,A,0,3,A,6,4,10
2324,03/01/2024,Granada,Cadiz,1,0,H,2,0,H,5,6,11
2324,22/01/2024,Granada,Ath Madrid,0,0,D,0,1,A,6,2,8
2324,03/02/2024,Granada,Las Palmas,1,0,H,1,1,D,2,9,11
2324,18/02/2024,Granada,Almeria,0,1,A,1,1,D,10,4,14
2324,09/03/2024,Granada,Sociedad,2,1,H,2,3,A,4,6,10
2324,04/04/2024,Granada,Valencia,0,0,D,0,1,A,5,4,9
2324,14/04/2024,Granada,Alaves,2,0,H,2,0,H,1,5,6
2324,28/04/2024,Granada,Osasuna,1,0,H,3,0,H,0,6,6
2324,11/05/2024,Granada,Real Madrid,0,2,A,0,4,A,8,5,13
2324,19/05/2024,Granada,Celta,0,0,D,1,2,A,10,2,12
