Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Huesca,Cadiz,0,1,A,0,2,A,2,1,3
2021,30/09/2020,Huesca,Ath Madrid,0,0,D,0,0,D,5,7,12
2021,18/10/2020,Huesca,Valladolid,0,1,A,2,2,D,3,1,4
2021,07/11/2020,Huesca,Eibar,0,1,A,1,1,D,4,3,7
2021,28/11/2020,Huesca,Sevilla,0,0,D,0,1,A,1,10,11
2021,12/12/2020,Huesca,Alaves,0,0,D,1,0,H,5,2,7
2021,22/12/2020,Huesca,Levante,1,0,H,1,1,D,10,3,13
2021,03/01/2021,Huesca,Barcelona,0,1,A,0,1,A,2,6,8
2021,11/01/2021,Huesca,Betis,0,0,D,0,2,A,3,6,9
2021,23/01/2021,Huesca,Villarreal,0,0,D,0,0,D,1,2,3
2021,06/02/2021,Huesca,Real Madrid,0,0,D,1,2,A,3,10,13
2021,21/02/2021,Huesca,Granada,3,1,H,3,2,H,5,2,7
2021,07/03/2021,Huesca,Celta,2,2,D,3,4,A,6,3,9
2021,20/03/2021,Huesca,Osasuna,0,0,D,0,0,D,5,1,6
2021,09/04/2021,Huesca,Elche,2,1,H,3,1,H,6,6,12
2021,25/04/2021,Huesca,Getafe,0,1,A,0,2,A,1,0,1
2021,01/05/2021,Huesca,Sociedad,0,0,D,1,0,H,2,7,9
2021,12/05/2021,Huesca,Ath Bilbao,0,0,D,1,0,H,5,0,5
2021,22/05/2021,Huesca,Valencia,0,0,D,0,0,D,9,3,12
