Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2324,12/08/2023,Las Palmas,Mallorca,1,0,H,1,1,D,3,6,9
2324,25/08/2023,Las Palmas,Sociedad,0,0,D,0,0,D,5,7,12
2324,24/09/2023,Las Palmas,Granada,0,0,D,1,0,H,6,7,13
2324,02/10/2023,Las Palmas,Celta,0,0,D,2,1,H,4,5,9
2324,22/10/2023,Las Palmas,Vallecano,0,0,D,0,1,A,10,5,15
2324,03/11/2023,Las Palmas,Ath Madrid,0,0,D,2,1,H,3,4,7
2324,01/12/2023,Las Palmas,Getafe,1,0,H,2,0,H,4,4,8
2324,17/12/2023,Las Palmas,Cadiz,1,0,H,1,1,D,4,6,10
2324,04/01/2024,Las Palmas,Barcelona,1,0,H,1,2,A,5,10,15
2324,13/01/2024,Las Palmas,Villarreal,1,0,H,3,0,H,4,6,10
2324,27/01/2024,Las Palmas,Real Madrid,0,0,D,1,2,A,1,6,7
2324,10/02/2024,Las Palmas,Valencia,0,0,D,2,0,H,5,0,5
2324,25/02/2024,Las Palmas,Osasuna,0,0,D,1,1,D,6,7,13
2324,10/03/2024,Las Palmas,Ath Bilbao,0,1,A,0,2,A,10,3,13
2324,17/03/2024,Las Palmas,Almeria,0,1,A,0,1,A,11,3,14
2324,14/04/2024,Las Palmas,Sevilla,0,1,A,0,2,A,6,2,8
2324,27/04/2024,Las Palmas,Girona,0,1,A,0,2,A,4,2,6
2324,16/05/2024,Las Palmas,Betis,1,1,D,2,2,D,4,8,12
2324,26/05/2024,Las Palmas,Alaves,0,0,D,1,1,D,2,6,8
2425,16/08/2024,Las Palmas,Sevilla,1,1,D,2,2,D,6,3,9
2425,29/08/2024,Las Palmas,Real Madrid,1,0,H,1,1,D,2,6,8
2425,15/09/2024,Las Palmas,Ath Bilbao,0,2,A,2,3,A,9,3,12
2425,26/09/2024,Las Palmas,Betis,1,1,D,1,1,D,1,4,5
2425,05/10/2024,Las Palmas,Celta,0,1,A,0,1,A,11,2,13
2425,26/10/2024,Las Palmas,Girona,1,0,H,1,0,H,3,5,8
