Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,04/10/2020,Levante,Real Madrid,0,1,A,0,2,A,4,6,10
2021,26/10/2020,Levante,Celta,0,0,D,1,1,D,3,2,5
2021,08/11/2020,Levante,Alaves,0,1,A,1,1,D,12,1,13
2021,21/11/2020,Levante,Elche,1,0,H,1,1,D,5,4,9
2021,05/12/2020,Levante,Getafe,2,0,H,3,0,H,5,5,10
2021,19/12/2020,Levante,Sociedad,1,1,D,2,1,H,3,4,7
2021,29/12/2020,Levante,Betis,3,1,H,4,3,H,3,6,9
2021,10/01/2021,Levante,Eibar,0,0,D,2,1,H,4,9,13
2021,22/01/2021,Levante,Valladolid,0,0,D,2,2,D,8,2,10
2021,06/02/2021,Levante,Granada,1,1,D,2,2,D,6,2,8
2021,14/02/2021,Levante,Osasuna,0,0,D,0,1,A,2,1,3
2021,17/02/2021,Levante,Ath Madrid,1,1,D,1,1,D,1,8,9
2021,26/02/2021,Levante,Ath Bilbao,1,0,H,1,1,D,2,10,12
2021,12/03/2021,Levante,Valencia,1,0,H,1,0,H,3,3,6
2021,02/04/2021,Levante,Huesca,0,1,A,0,2,A,8,2,10
2021,18/04/2021,Levante,Villarreal,1,2,A,1,5,A,4,5,9
2021,21/04/2021,Levante,Sevilla,0,0,D,0,1,A,2,3,5
2021,11/05/2021,Levante,Barcelona,0,2,A,3,3,D,8,6,14
2021,21/05/2021,Levante,Cadiz,1,2,A,2,2,D,7,0,7
2122,22/08/2021,Levante,Real Madrid,0,1,A,3,3,D,4,6,10
2122,11/09/2021,Levante,Vallecano,1,0,H,1,1,D,2,5,7
2122,21/09/2021,Levante,Celta,0,0,D,0,2,A,2,4,6
2122,16/10/2021,Levante,Getafe,0,0,D,0,0,D,3,11,14
2122,28/10/2021,Levante,Ath Madrid,1,1,D,2,2,D,5,2,7
2122,01/11/2021,Levante,Granada,0,2,A,0,3,A,3,5,8
2122,19/11/2021,Levante,Ath Bilbao,0,0,D,0,0,D,6,3,9
2122,05/12/2021,Levante,Osasuna,0,0,D,0,0,D,7,2,9
2122,20/12/2021,Levante,Valencia,2,1,H,3,4,A,6,4,10
2122,08/01/2022,Levante,Mallorca,0,0,D,2,0,H,5,5,10
2122,22/01/2022,Levante,Cadiz,0,1,A,0,2,A,8,2,10
2122,13/02/2022,Levante,Betis,1,3,A,2,4,A,5,7,12
2122,25/02/2022,Levante,Elche,1,0,H,3,0,H,3,3,6
2122,12/03/2022,Levante,Espanol,0,0,D,1,1,D,8,2,10
2122,02/04/2022,Levante,Villarreal,0,0,D,2,0,H,1,8,9
2122,10/04/2022,Levante,Barcelona,0,0,D,2,3,A,4,3,7
2122,21/04/2022,Levante,Sevilla,1,2,A,2,3,A,10,4,14
2122,06/05/2022,Levante,Sociedad,0,0,D,2,1,H,7,6,13
2122,15/05/2022,Levante,Alaves,0,1,A,3,1,H,3,4,7
