Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,14/08/2021,Mallorca,Betis,1,0,H,1,1,D,4,3,7
2122,27/08/2021,Mallorca,Espanol,1,0,H,1,0,H,3,2,5
2122,19/09/2021,Mallorca,Villarreal,0,0,D,0,0,D,3,1,4
2122,26/09/2021,Mallorca,Osasuna,2,1,H,2,3,A,5,5,10
2122,02/10/2021,Mallorca,Levante,0,0,D,1,0,H,8,3,11
2122,27/10/2021,Mallorca,Sevilla,1,0,H,1,1,D,4,2,6
2122,07/11/2021,Mallorca,Elche,0,0,D,2,2,D,3,3,6
2122,27/11/2021,Mallorca,Getafe,0,0,D,0,0,D,2,0,2
2122,10/12/2021,Mallorca,Celta,0,0,D,0,0,D,7,4,11
2122,02/01/2022,Mallorca,Barcelona,0,1,A,0,1,A,4,3,7
2122,05/02/2022,Mallorca,Cadiz,1,1,D,2,1,H,6,4,10
2122,14/02/2022,Mallorca,Ath Bilbao,2,0,H,3,2,H,6,6,12
2122,26/02/2022,Mallorca,Valencia,0,1,A,0,1,A,14,1,15
2122,02/03/2022,Mallorca,Sociedad,0,1,A,0,2,A,3,4,7
2122,14/03/2022,Mallorca,Real Madrid,0,0,D,0,3,A,1,6,7
2122,09/04/2022,Mallorca,Ath Madrid,0,0,D,1,0,H,1,6,7
2122,19/04/2022,Mallorca,Alaves,2,0,H,2,1,H,0,6,6
2122,07/05/2022,Mallorca,Granada,1,1,D,2,6,A,5,5,10
2122,15/05/2022,Mallorca,Vallecano,1,0,H,2,1,H,5,3,8
2223,20/08/2022,Mallorca,Betis,0,1,A,1,2,A,5,2,7
2223,03/09/2022,Mallorca,Girona,0,0,D,1,1,D,6,3,9
2223,17/09/2022,Mallorca,Almeria,1,0,H,1,0,H,5,2,7
2223,01/10/2022,Mallorca,Barcelona,0,1,A,0,1,A,5,5,10
2223,15/10/2022,Mallorca,Sevilla,0,0,D,0,1,A,1,3,4
2223,28/10/2022,Mallorca,Espanol,0,0,D,1,1,D,4,4,8
2223,09/11/2022,Mallorca,Ath Madrid,1,0,H,1,0,H,2,5,7
2223,07/01/2023,Mallorca,Valladolid,0,0,D,1,0,H,6,2,8
2223,20/01/2023,Mallorca,Celta,0,0,D,1,0,H,4,6,10
2223,05/02/2023,Mallorca,Real Madrid,1,0,H,1,0,H,1,12,13
2223,18/02/2023,Mallorca,Villarreal,2,1,H,4,2,H,4,4,8
2223,04/03/2023,Mallorca,Elche,0,0,D,0,1,A,6,7,13
2223,12/03/2023,Mallorca,Sociedad,0,1,A,1,1,D,3,2,5
2223,31/03/2023,Mallorca,Osasuna,0,0,D,0,0,D,2,3,5
2223,23/04/2023,Mallorca,Getafe,0,1,A,3,1,H,2,2,4
2223,01/05/2023,Mallorca,Ath Bilbao,0,0,D,1,1,D,5,7,12
2223,12/05/2023,Mallorca,Cadiz,1,0,H,1,0,H,3,7,10
2223,25/05/2023,Mallorca,Valencia,0,0,D,1,0,H,2,4,6
2223,04/06/2023,Mallorca,Vallecano,0,0,D,3,0,H,2,6,8
2324,18/08/2023,Mallorca,Villarreal,0,0,D,0,1,A,6,5,11
2324,03/09/2023,Mallorca,Ath Bilbao,0,0,D,0,0,D,3,5,8
2324,26/09/2023,Mallorca,Barcelona,2,1,H,2,2,D,7,2,9
2324,07/10/2023,Mallorca,Valencia,1,1,D,1,1,D,3,6,9
2324,28/10/2023,Mallorca,Getafe,0,0,D,0,0,D,8,3,11
2324,29/11/2023,Mallorca,Cadiz,1,1,D,1,1,D,7,0,7
2324,03/12/2023,Mallorca,Alaves,0,0,D,0,0,D,5,4,9
2324,09/12/2023,Mallorca,Sevilla,1,0,H,1,0,H,4,12,16
2324,21/12/2023,Mallorca,Osasuna,1,1,D,3,2,H,6,0,6
2324,13/01/2024,Mallorca,Celta,1,1,D,1,1,D,10,1,11
2324,27/01/2024,Mallorca,Betis,0,1,A,0,1,A,5,4,9
2324,11/02/2024,Mallorca,Vallecano,0,0,D,2,1,H,5,1,6
2324,18/02/2024,Mallorca,Sociedad,1,1,D,1,2,A,3,9,12
2324,03/03/2024,Mallorca,Girona,1,0,H,1,0,H,8,5,13
2324,16/03/2024,Mallorca,Granada,0,0,D,1,0,H,10,2,12
2324,13/04/2024,Mallorca,Real Madrid,0,0,D,0,1,A,4,2,6
2324,04/05/2024,Mallorca,Ath Madrid,0,1,A,0,1,A,6,2,8
2324,11/05/2024,Mallorca,Las Palmas,1,0,H,1,0,H,2,2,4
2324,19/05/2024,Mallorca,Almeria,1,1,D,2,2,D,12,2,14
2425,18/08/2024,Mallorca,Real Madrid,0,1,A,1,1,D,8,7,15
2425,27/08/2024,Mallorca,Sevilla,0,0,D,0,0,D,5,9,14
2425,14/09/2024,Mallorca,Villarreal,0,1,A,1,2,A,7,6,13
2425,17/09/2024,Mallorca,Sociedad,1,0,H,1,0,H,5,5,10
2425,20/10/2024,Mallorca,Vallecano,0,0,D,1,0,H,9,2,11
2425,28/10/2024,Mallorca,Ath Bilbao,0,0,D,0,0,D,1,14,15
