Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Osasuna,Levante,1,1,D,1,3,A,3,7,10
2021,04/10/2020,Osasuna,Celta,1,0,H,2,0,H,6,5,11
2021,24/10/2020,Osasuna,Ath Bilbao,0,0,D,1,0,H,2,5,7
2021,31/10/2020,Osasuna,Ath Madrid,0,1,A,1,3,A,3,2,5
2021,20/11/2020,Osasuna,Huesca,0,1,A,1,1,D,4,3,7
2021,06/12/2020,Osasuna,Betis,0,0,D,0,2,A,2,5,7
2021,19/12/2020,Osasuna,Villarreal,0,2,A,1,3,A,2,2,4
2021,31/12/2020,Osasuna,Alaves,0,0,D,1,1,D,5,4,9
2021,09/01/2021,Osasuna,Real Madrid,0,0,D,0,0,D,2,4,6
2021,24/01/2021,Osasuna,Granada,2,0,H,3,1,H,1,5,6
2021,07/02/2021,Osasuna,Eibar,1,1,D,2,1,H,2,1,3
2021,22/02/2021,Osasuna,Sevilla,0,1,A,0,2,A,3,5,8
2021,06/03/2021,Osasuna,Barcelona,0,1,A,0,2,A,3,4,7
2021,13/03/2021,Osasuna,Valladolid,0,0,D,0,0,D,7,3,10
2021,03/04/2021,Osasuna,Getafe,0,0,D,0,0,D,2,4,6
2021,18/04/2021,Osasuna,Elche,1,0,H,2,0,H,4,5,9
2021,21/04/2021,Osasuna,Valencia,2,1,H,3,1,H,5,6,11
2021,11/05/2021,Osasuna,Cadiz,1,0,H,3,2,H,3,5,8
2021,22/05/2021,Osasuna,Sociedad,0,0,D,0,1,A,3,3,6
2122,14/08/2021,Osasuna,Espanol,0,0,D,0,0,D,4,6,10
2122,23/08/2021,Osasuna,Celta,0,0,D,0,0,D,1,2,3
2122,12/09/2021,Osasuna,Valencia,1,1,D,1,4,A,4,4,8
2122,23/09/2021,Osasuna,Betis,1,1,D,1,3,A,4,7,11
2122,02/10/2021,Osasuna,Vallecano,0,0,D,1,0,H,6,3,9
2122,22/10/2021,Osasuna,Granada,1,0,H,1,1,D,4,1,5
2122,07/11/2021,Osasuna,Sociedad,0,0,D,0,2,A,5,2,7
