Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,30/09/2020,Real Madrid,Valladolid,0,0,D,1,0,H,4,7,11
2021,17/10/2020,Real Madrid,Cadiz,0,1,A,0,1,A,4,11,15
2021,31/10/2020,Real Madrid,Huesca,2,0,H,4,1,H,6,3,9
2021,28/11/2020,Real Madrid,Alaves,0,1,A,1,2,A,12,9,21
2021,12/12/2020,Real Madrid,Ath Madrid,1,0,H,2,0,H,3,6,9
2021,15/12/2020,Real Madrid,Ath Bilbao,1,0,H,3,1,H,6,6,12
2021,23/12/2020,Real Madrid,Granada,0,0,D,2,0,H,8,1,9
2021,02/01/2021,Real Madrid,Celta,1,0,H,2,0,H,1,5,6
2021,30/01/2021,Real Madrid,Levante,1,1,D,1,2,A,3,7,10
2021,09/02/2021,Real Madrid,Getafe,0,0,D,2,0,H,8,1,9
2021,14/02/2021,Real Madrid,Valencia,2,0,H,2,0,H,6,1,7
2021,01/03/2021,Real Madrid,Sociedad,0,0,D,1,1,D,13,4,17
2021,13/03/2021,Real Madrid,Elche,0,0,D,2,1,H,6,1,7
2021,03/04/2021,Real Madrid,Eibar,1,0,H,2,0,H,6,9,15
2021,10/04/2021,Real Madrid,Barcelona,2,0,H,2,1,H,5,6,11
2021,24/04/2021,Real Madrid,Betis,0,0,D,0,0,D,8,2,10
2021,01/05/2021,Real Madrid,Osasuna,0,0,D,2,0,H,7,0,7
2021,09/05/2021,Real Madrid,Sevilla,0,1,A,2,2,D,7,3,10
2021,22/05/2021,Real Madrid,Villarreal,0,1,A,2,1,H,6,1,7
2122,12/09/2021,Real Madrid,Celta,1,2,A,5,2,H,7,3,10
2122,22/09/2021,Real Madrid,Mallorca,3,1,H,6,1,H,3,2,5
2122,25/09/2021,Real Madrid,Villarreal,0,0,D,0,0,D,6,3,9
2122,27/10/2021,Real Madrid,Osasuna,0,0,D,0,0,D,11,3,14
2122,06/11/2021,Real Madrid,Vallecano,2,0,H,2,1,H,4,5,9
2122,28/11/2021,Real Madrid,Sevilla,1,1,D,2,1,H,0,4,4
2122,01/12/2021,Real Madrid,Ath Bilbao,1,0,H,1,0,H,7,6,13
2122,12/12/2021,Real Madrid,Ath Madrid,1,0,H,2,0,H,3,6,9
2122,19/12/2021,Real Madrid,Cadiz,0,0,D,0,0,D,13,2,15
2122,08/01/2022,Real Madrid,Valencia,1,0,H,4,1,H,3,8,11
2122,23/01/2022,Real Madrid,Elche,0,1,A,2,2,D,10,3,13
2122,06/02/2022,Real Madrid,Granada,0,0,D,1,0,H,9,2,11
2122,19/02/2022,Real Madrid,Alaves,0,0,D,3,0,H,7,1,8
2122,05/03/2022,Real Madrid,Sociedad,2,1,H,4,1,H,7,1,8
2122,20/03/2022,Real Madrid,Barcelona,0,2,A,0,4,A,4,3,7
2122,09/04/2022,Real Madrid,Getafe,1,0,H,2,0,H,10,2,12
2122,30/04/2022,Real Madrid,Espanol,2,0,H,4,0,H,6,8,14
2122,12/05/2022,Real Madrid,Levante,4,0,H,6,0,H,6,6,12
2122,20/05/2022,Real Madrid,Betis,0,0,D,0,0,D,8,5,13
2223,03/09/2022,Real Madrid,Betis,1,1,D,2,1,H,9,2,11
2223,11/09/2022,Real Madrid,Mallorca,1,1,D,4,1,H,4,3,7
2223,02/10/2022,Real Madrid,Osasuna,1,0,H,1,1,D,10,2,12
2223,16/10/2022,Real Madrid,Barcelona,2,0,H,3,1,H,2,3,5
2223,22/10/2022,Real Madrid,Sevilla,1,0,H,3,1,H,4,3,7
2223,30/10/2022,Real Madrid,Girona,0,0,D,1,1,D,7,1,8
2223,10/11/2022,Real Madrid,Cadiz,1,0,H,2,1,H,7,1,8
2223,29/01/2023,Real Madrid,Sociedad,0,0,D,0,0,D,10,3,13
2223,02/02/2023,Real Madrid,Valencia,0,0,D,2,0,H,6,6,12
2223,15/02/2023,Real Madrid,Elche,3,0,H,4,0,H,6,4,10
2223,25/02/2023,Real Madrid,Ath Madrid,0,0,D,1,1,D,7,4,11
2223,11/03/2023,Real Madrid,Espanol,2,1,H,3,1,H,7,4,11
2223,02/04/2023,Real Madrid,Valladolid,4,0,H,6,0,H,9,1,10
2223,08/04/2023,Real Madrid,Villarreal,1,1,D,2,3,A,6,7,13
2223,22/04/2023,Real Madrid,Celta,1,0,H,2,0,H,8,3,11
2223,29/04/2023,Real Madrid,Almeria,3,1,H,4,2,H,7,0,7
2223,13/05/2023,Real Madrid,Getafe,0,0,D,1,0,H,1,3,4
2223,24/05/2023,Real Madrid,Vallecano,1,0,H,2,1,H,5,2,7
2223,04/06/2023,Real Madrid,Ath Bilbao,0,0,D,1,1,D,5,6,11
2324,02/09/2023,Real Madrid,Getafe,0,1,A,2,1,H,11,1,12
2324,17/09/2023,Real Madrid,Sociedad,0,1,A,2,1,H,4,3,7
2324,27/09/2023,Real Madrid,Las Palmas,1,0,H,2,0,H,7,2,9
2324,07/10/2023,Real Madrid,Osasuna,1,0,H,4,0,H,5,4,9
2324,05/11/2023,Real Madrid,Vallecano,0,0,D,0,0,D,11,1,12
2324,11/11/2023,Real Madrid,Valencia,2,0,H,5,1,H,4,4,8
