Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,01/10/2020,Sevilla,Levante,0,0,D,1,0,H,2,4,6
2021,24/10/2020,Sevilla,Eibar,0,1,A,0,1,A,13,3,16
2021,07/11/2020,Sevilla,Osasuna,0,0,D,1,0,H,3,0,3
2021,21/11/2020,Sevilla,Celta,2,2,D,4,2,H,3,2,5
2021,05/12/2020,Sevilla,Real Madrid,0,0,D,0,1,A,4,3,7
2021,19/12/2020,Sevilla,Valladolid,1,0,H,1,1,D,7,7,14
2021,29/12/2020,Sevilla,Villarreal,1,0,H,2,0,H,4,7,11
2021,09/01/2021,Sevilla,Sociedad,2,2,D,3,2,H,2,9,11
2021,23/01/2021,Sevilla,Cadiz,2,0,H,3,0,H,7,6,13
2021,06/02/2021,Sevilla,Getafe,0,0,D,3,0,H,3,1,4
2021,13/02/2021,Sevilla,Huesca,0,0,D,1,0,H,6,6,12
2021,27/02/2021,Sevilla,Barcelona,0,1,A,0,2,A,3,3,6
2021,14/03/2021,Sevilla,Betis,1,0,H,1,0,H,3,6,9
2021,17/03/2021,Sevilla,Elche,1,0,H,2,0,H,4,1,5
2021,04/04/2021,Sevilla,Ath Madrid,0,0,D,1,0,H,3,2,5
2021,25/04/2021,Sevilla,Granada,1,0,H,2,1,H,5,5,10
2021,03/05/2021,Sevilla,Ath Bilbao,0,0,D,0,1,A,6,2,8
2021,12/05/2021,Sevilla,Valencia,0,0,D,1,0,H,3,5,8
2021,23/05/2021,Sevilla,Alaves,0,0,D,1,0,H,6,4,10
2122,15/08/2021,Sevilla,Vallecano,1,0,H,3,0,H,4,0,4
2122,22/09/2021,Sevilla,Valencia,3,1,H,3,1,H,1,4,5
2122,25/09/2021,Sevilla,Espanol,1,0,H,2,0,H,4,8,12
2122,24/10/2021,Sevilla,Levante,3,1,H,5,3,H,10,3,13
2122,30/10/2021,Sevilla,Osasuna,1,0,H,2,0,H,4,5,9
2122,20/11/2021,Sevilla,Alaves,1,2,A,2,2,D,5,2,7
2122,04/12/2021,Sevilla,Villarreal,1,0,H,1,0,H,5,8,13
2122,18/12/2021,Sevilla,Ath Madrid,1,1,D,2,1,H,4,7,11
2122,21/12/2021,Sevilla,Barcelona,1,1,D,1,1,D,4,9,13
