Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,13/09/2020,Valencia,Levante,2,2,D,4,2,H,3,4,7
2021,26/09/2020,Valencia,Huesca,1,0,H,1,1,D,4,4,8
2021,03/10/2020,Valencia,Betis,0,1,A,0,2,A,4,7,11
2021,01/11/2020,Valencia,Getafe,1,0,H,2,2,D,0,3,3
2021,08/11/2020,Valencia,Real Madrid,2,1,H,4,1,H,1,8,9
2021,28/11/2020,Valencia,Ath Madrid,0,0,D,0,1,A,2,7,9
2021,12/12/2020,Valencia,Ath Bilbao,1,0,H,2,2,D,0,10,10
2021,22/12/2020,Valencia,Sevilla,0,0,D,0,1,A,3,5,8
2021,04/01/2021,Valencia,Cadiz,0,0,D,1,1,D,9,7,16
2021,21/01/2021,Valencia,Osasuna,0,1,A,1,1,D,9,4,13
2021,30/01/2021,Valencia,Elche,1,0,H,1,0,H,4,10,14
2021,20/02/2021,Valencia,Celta,0,0,D,2,0,H,6,1,7
2021,05/03/2021,Valencia,Villarreal,0,1,A,2,1,H,5,3,8
2021,21/03/2021,Valencia,Granada,1,0,H,2,1,H,3,4,7
2021,11/04/2021,Valencia,Sociedad,0,2,A,2,2,D,4,5,9
2021,24/04/2021,Valencia,Alaves,0,0,D,1,1,D,7,2,9
2021,02/05/2021,Valencia,Barcelona,0,0,D,2,3,A,2,1,3
2021,09/05/2021,Valencia,Valladolid,1,0,H,3,0,H,1,9,10
2021,16/05/2021,Valencia,Eibar,3,1,H,4,1,H,2,10,12
2122,13/08/2021,Valencia,Getafe,1,0,H,1,0,H,1,9,10
2122,27/08/2021,Valencia,Alaves,2,0,H,3,0,H,4,4,8
2122,19/09/2021,Valencia,Real Madrid,0,0,D,1,2,A,2,5,7
2122,25/09/2021,Valencia,Ath Bilbao,0,0,D,1,1,D,4,5,9
2122,23/10/2021,Valencia,Mallorca,0,2,A,2,2,D,5,0,5
2122,30/10/2021,Valencia,Villarreal,1,0,H,2,0,H,7,6,13
2122,07/11/2021,Valencia,Ath Madrid,0,1,A,3,3,D,9,0,9
2122,27/11/2021,Valencia,Vallecano,1,0,H,1,1,D,3,9,12
2122,11/12/2021,Valencia,Elche,1,0,H,2,1,H,8,1,9
2122,31/12/2021,Valencia,Espanol,0,0,D,1,2,A,7,5,12
2122,19/01/2022,Valencia,Sevilla,1,1,D,1,1,D,4,4,8
2122,06/02/2022,Valencia,Sociedad,0,0,D,0,0,D,9,9,18
2122,20/02/2022,Valencia,Barcelona,0,3,A,1,4,A,8,3,11
2122,05/03/2022,Valencia,Granada,0,0,D,3,1,H,3,6,9
2122,03/04/2022,Valencia,Cadiz,0,0,D,0,0,D,4,3,7
2122,16/04/2022,Valencia,Osasuna,0,0,D,1,2,A,9,5,14
2122,30/04/2022,Valencia,Levante,1,0,H,1,1,D,1,7,8
2122,10/05/2022,Valencia,Betis,0,0,D,0,3,A,7,3,10
2122,21/05/2022,Valencia,Celta,1,0,H,2,0,H,3,3,6
2223,14/08/2022,Valencia,Girona,1,0,H,1,0,H,4,4,8
2223,29/08/2022,Valencia,Ath Madrid,0,0,D,0,1,A,6,2,8
2223,04/09/2022,Valencia,Getafe,3,0,H,5,1,H,9,1,10
2223,17/09/2022,Valencia,Celta,1,0,H,3,0,H,5,4,9
2223,15/10/2022,Valencia,Elche,2,1,H,2,2,D,6,1,7
2223,22/10/2022,Valencia,Mallorca,0,0,D,1,2,A,5,3,8
