Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,29/08/2021,Vallecano,Granada,3,0,H,4,0,H,5,6,11
2122,18/09/2021,Vallecano,Getafe,1,0,H,3,0,H,5,3,8
2122,26/09/2021,Vallecano,Cadiz,2,1,H,3,1,H,4,3,7
2122,17/10/2021,Vallecano,Elche,1,1,D,2,1,H,6,2,8
2122,27/10/2021,Vallecano,Barcelona,1,0,H,1,0,H,3,7,10
2122,01/11/2021,Vallecano,Celta,0,0,D,0,0,D,4,7,11
2122,22/11/2021,Vallecano,Mallorca,2,0,H,3,1,H,6,4,10
2122,05/12/2021,Vallecano,Espanol,0,0,D,1,0,H,6,3,9
2122,18/12/2021,Vallecano,Alaves,2,0,H,2,0,H,5,5,10
2122,09/01/2022,Vallecano,Betis,0,1,A,1,1,D,6,4,10
2122,23/01/2022,Vallecano,Ath Bilbao,0,1,A,0,1,A,9,7,16
2122,12/02/2022,Vallecano,Osasuna,0,2,A,0,3,A,4,5,9
2122,26/02/2022,Vallecano,Real Madrid,0,0,D,0,1,A,5,9,14
2122,13/03/2022,Vallecano,Sevilla,0,0,D,1,1,D,5,6,11
2122,19/03/2022,Vallecano,Ath Madrid,0,0,D,0,1,A,3,6,9
2122,11/04/2022,Vallecano,Valencia,0,0,D,1,1,D,5,4,9
2122,01/05/2022,Vallecano,Sociedad,0,1,A,1,1,D,8,5,13
2122,12/05/2022,Vallecano,Villarreal,1,4,A,1,5,A,9,3,12
2122,20/05/2022,Vallecano,Levante,1,3,A,2,4,A,7,3,10
2223,27/08/2022,Vallecano,Mallorca,0,1,A,0,2,A,7,3,10
2223,10/09/2022,Vallecano,Valencia,1,0,H,2,1,H,7,7,14
2223,03/10/2022,Vallecano,Elche,1,1,D,2,1,H,13,3,16
2223,14/10/2022,Vallecano,Getafe,0,0,D,0,0,D,4,1,5
2223,22/10/2022,Vallecano,Cadiz,2,0,H,5,1,H,10,1,11
2223,07/11/2022,Vallecano,Real Madrid,2,2,D,3,2,H,4,5,9
2223,10/11/2022,Vallecano,Celta,0,0,D,0,0,D,5,3,8
2223,08/01/2023,Vallecano,Betis,1,2,A,1,2,A,5,7,12
2223,21/01/2023,Vallecano,Sociedad,0,2,A,0,2,A,3,4,7
2223,06/02/2023,Vallecano,Almeria,0,0,D,2,0,H,3,7,10
2223,19/02/2023,Vallecano,Sevilla,0,1,A,1,1,D,7,3,10
2223,05/03/2023,Vallecano,Ath Bilbao,0,0,D,0,0,D,7,9,16
2223,18/03/2023,Vallecano,Girona,2,1,H,2,2,D,3,5,8
2223,09/04/2023,Vallecano,Ath Madrid,0,2,A,1,2,A,8,2,10
2223,14/04/2023,Vallecano,Osasuna,2,0,H,2,1,H,2,3,5
2223,26/04/2023,Vallecano,Barcelona,1,0,H,2,1,H,3,9,12
2223,04/05/2023,Vallecano,Valladolid,0,0,D,2,1,H,3,4,7
2223,21/05/2023,Vallecano,Espanol,1,1,D,1,2,A,4,4,8
2223,28/05/2023,Vallecano,Villarreal,0,0,D,2,1,H,4,6,10
2324,28/08/2023,Vallecano,Ath Madrid,0,3,A,0,7,A,8,3,11
2324,15/09/2023,Vallecano,Alaves,1,0,H,2,0,H,5,3,8
2324,24/09/2023,Vallecano,Villarreal,1,1,D,1,1,D,2,8,10
2324,30/09/2023,Vallecano,Mallorca,1,1,D,2,2,D,5,0,5
2324,29/10/2023,Vallecano,Sociedad,1,1,D,2,2,D,4,5,9
2324,11/11/2023,Vallecano,Girona,1,1,D,1,2,A,8,3,11
2324,25/11/2023,Vallecano,Barcelona,1,0,H,1,1,D,1,4,5
2324,11/12/2023,Vallecano,Celta,0,0,D,0,0,D,8,1,9
2324,19/12/2023,Vallecano,Valencia,0,0,D,0,1,A,8,1,9
2324,20/01/2024,Vallecano,Las Palmas,0,1,A,0,2,A,12,0,12
2324,05/02/2024,Vallecano,Sevilla,1,2,A,1,2,A,6,0,6
2324,18/02/2024,Vallecano,Real Madrid,1,1,D,1,1,D,4,10,14
2324,02/03/2024,Vallecano,Cadiz,0,0,D,1,1,D,4,9,13
2324,17/03/2024,Vallecano,Betis,1,0,H,2,0,H,4,8,12
2324,13/04/2024,Vallecano,Getafe,0,0,D,0,0,D,3,0,3
2324,20/04/2024,Vallecano,Osasuna,0,1,A,2,1,H,5,1,6
2324,05/05/2024,Vallecano,Almeria,0,1,A,0,1,A,9,2,11
2324,15/05/2024,Vallecano,Granada,1,0,H,2,1,H,6,6,12
2324,25/05/2024,Vallecano,Ath Bilbao,0,0,D,0,1,A,8,2,10
2425,27/08/2024,Vallecano,Barcelona,1,0,H,1,2,A,6,6,12
2425,16/09/2024,Vallecano,Osasuna,0,1,A,3,1,H,7,4,11
2425,22/09/2024,Vallecano,Ath Madrid,1,0,H,1,1,D,3,4,7
2425,28/09/2024,Vallecano,Leganes,1,0,H,1,1,D,5,5,10
2425,26/10/2024,Vallecano,Alaves,0,0,D,1,0,H,6,2,8
