Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,13/09/2020,Villarreal,Huesca,0,1,A,1,1,D,6,6,12
2021,19/09/2020,Villarreal,Eibar,0,0,D,2,1,H,4,3,7
2021,30/09/2020,Villarreal,Alaves,2,1,H,3,1,H,2,0,2
2021,18/10/2020,Villarreal,Valencia,1,1,D,2,1,H,3,7,10
2021,02/11/2020,Villarreal,Valladolid,2,0,H,2,0,H,6,4,10
2021,21/11/2020,Villarreal,Real Madrid,0,1,A,1,1,D,4,2,6
2021,06/12/2020,Villarreal,Elche,0,0,D,0,0,D,4,0,4
2021,22/12/2020,Villarreal,Ath Bilbao,0,1,A,1,1,D,6,4,10
2021,02/01/2021,Villarreal,Levante,1,0,H,2,1,H,3,5,8
2021,20/01/2021,Villarreal,Granada,1,1,D,2,2,D,3,0,3
2021,30/01/2021,Villarreal,Sociedad,1,0,H,1,1,D,1,7,8
2021,14/02/2021,Villarreal,Betis,0,1,A,1,2,A,7,3,10
2021,28/02/2021,Villarreal,Ath Madrid,0,1,A,0,2,A,10,2,12
2021,21/03/2021,Villarreal,Cadiz,1,0,H,2,1,H,5,6,11
2021,11/04/2021,Villarreal,Osasuna,0,0,D,1,2,A,6,5,11
2021,25/04/2021,Villarreal,Barcelona,1,2,A,1,2,A,6,1,7
2021,02/05/2021,Villarreal,Getafe,0,0,D,1,0,H,4,4,8
2021,09/05/2021,Villarreal,Celta,1,3,A,2,4,A,5,3,8
2021,16/05/2021,Villarreal,Sevilla,1,0,H,4,0,H,3,6,9
2122,16/08/2021,Villarreal,Granada,0,0,D,0,0,D,6,2,8
2122,22/09/2021,Villarreal,Elche,2,1,H,4,1,H,8,7,15
2122,03/10/2021,Villarreal,Betis,1,0,H,2,0,H,4,6,10
2122,17/10/2021,Villarreal,Osasuna,0,1,A,1,2,A,4,4,8
2122,26/10/2021,Villarreal,Cadiz,1,2,A,3,3,D,8,2,10
2122,07/11/2021,Villarreal,Getafe,1,0,H,1,0,H,6,4,10
2122,27/11/2021,Villarreal,Barcelona,0,0,D,1,3,A,4,4,8
2122,12/12/2021,Villarreal,Vallecano,2,0,H,2,0,H,5,6,11
2122,21/12/2021,Villarreal,Alaves,2,1,H,5,2,H,6,2,8
2122,03/01/2022,Villarreal,Levante,3,0,H,5,0,H,6,5,11
2122,09/01/2022,Villarreal,Ath Madrid,1,1,D,2,2,D,7,3,10
2122,22/01/2022,Villarreal,Mallorca,2,0,H,3,0,H,10,6,16
2122,12/02/2022,Villarreal,Real Madrid,0,0,D,0,0,D,3,3,6
2122,27/02/2022,Villarreal,Espanol,3,0,H,5,1,H,10,3,13
2122,12/03/2022,Villarreal,Celta,0,0,D,1,0,H,5,6,11
2122,09/04/2022,Villarreal,Ath Bilbao,0,1,A,1,1,D,7,2,9
2122,19/04/2022,Villarreal,Valencia,2,0,H,2,0,H,3,2,5
2122,08/05/2022,Villarreal,Sevilla,0,0,D,1,1,D,4,2,6
2122,15/05/2022,Villarreal,Sociedad,1,0,H,1,2,A,4,3,7
2223,04/09/2022,Villarreal,Elche,2,0,H,4,0,H,6,4,10
2223,18/09/2022,Villarreal,Sevilla,0,1,A,1,1,D,6,4,10
2223,17/10/2022,Villarreal,Osasuna,1,0,H,2,0,H,8,4,12
2223,23/10/2022,Villarreal,Almeria,0,1,A,2,1,H,10,4,14
2223,06/11/2022,Villarreal,Mallorca,0,1,A,0,2,A,5,2,7
2223,31/12/2022,Villarreal,Valencia,1,1,D,2,1,H,5,2,7
2223,07/01/2023,Villarreal,Real Madrid,0,0,D,2,1,H,6,5,11
2223,22/01/2023,Villarreal,Girona,0,0,D,1,0,H,3,2,5
2223,30/01/2023,Villarreal,Vallecano,0,0,D,0,1,A,5,4,9
2223,12/02/2023,Villarreal,Barcelona,0,1,A,0,1,A,6,2,8
2223,27/02/2023,Villarreal,Getafe,1,1,D,2,1,H,6,6,12
2223,12/03/2023,Villarreal,Betis,0,1,A,1,1,D,2,4,6
2223,02/04/2023,Villarreal,Sociedad,0,0,D,2,0,H,4,4,8
2223,15/04/2023,Villarreal,Valladolid,0,2,A,1,2,A,8,5,13
2223,27/04/2023,Villarreal,Espanol,0,1,A,4,2,H,9,2,11
2223,30/04/2023,Villarreal,Celta,2,1,H,3,1,H,4,9,13
2223,13/05/2023,Villarreal,Ath Bilbao,2,1,H,5,1,H,7,5,12
2223,24/05/2023,Villarreal,Cadiz,2,0,H,2,0,H,7,6,13
2223,04/06/2023,Villarreal,Ath Madrid,1,1,D,2,2,D,12,1,13
2324,13/08/2023,Villarreal,Betis,0,1,A,1,2,A,9,4,13
2324,27/08/2023,Villarreal,Barcelona,2,2,D,3,4,A,2,6,8
2324,17/09/2023,Villarreal,Almeria,1,1,D,2,1,H,7,6,13
2324,27/09/2023,Villarreal,Girona,0,0,D,1,2,A,5,6,11
2324,08/10/2023,Villarreal,Las Palmas,0,1,A,1,2,A,7,2,9
2324,22/10/2023,Villarreal,Alaves,0,0,D,1,1,D,9,3,12
2324,05/11/2023,Villarreal,Ath Bilbao,0,3,A,2,3,A,9,3,12
2324,26/11/2023,Villarreal,Osasuna,0,0,D,3,1,H,2,4,6
2324,09/12/2023,Villarreal,Sociedad,0,3,A,0,3,A,5,3,8
2324,20/12/2023,Villarreal,Celta,2,0,H,3,2,H,4,7,11
2324,20/01/2024,Villarreal,Mallorca,1,0,H,1,1,D,4,6,10
2324,04/02/2024,Villarreal,Cadiz,0,0,D,0,0,D,13,2,15
2324,16/02/2024,Villarreal,Getafe,0,1,A,1,1,D,8,3,11
2324,03/03/2024,Villarreal,Granada,3,0,H,5,1,H,6,4,10
2324,17/03/2024,Villarreal,Valencia,0,0,D,1,0,H,6,2,8
2324,01/04/2024,Villarreal,Ath Madrid,0,1,A,1,2,A,3,3,6
2324,28/04/2024,Villarreal,Vallecano,1,0,H,3,0,H,3,6,9
2324,11/05/2024,Villarreal,Sevilla,1,2,A,3,2,H,10,1,11
2324,19/05/2024,Villarreal,Real Madrid,1,4,A,4,4,D,3,3,6
2425,19/08/2024,Villarreal,Ath Madrid,2,2,D,2,2,D,2,3,5
2425,26/08/2024,Villarreal,Celta,1,2,A,4,3,H,7,4,11
2425,22/09/2024,Villarreal,Barcelona,1,2,A,1,5,A,7,3,10
2425,30/09/2024,Villarreal,Las Palmas,1,0,H,3,1,H,3,2,5
2425,20/10/2024,Villarreal,Getafe,1,0,H,1,1,D,5,5,10
