Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,28/09/2020,Belenenses,Famalicao,1,0,H,1,2,A,5,2,7
2021,18/10/2020,Belenenses,Moreirense,0,0,D,0,0,D,7,3,10
2021,31/10/2020,Belenenses,Farense,0,0,D,1,1,D,8,6,14
2021,06/11/2020,Belenenses,Rio Ave,0,0,D,0,0,D,6,2,8
2021,06/12/2020,Belenenses,Sp Braga,2,0,H,2,1,H,5,9,14
2021,27/12/2020,Belenenses,Sp Lisbon,1,2,A,1,2,A,5,3,8
2021,10/01/2021,Belenenses,Pacos Ferreira,0,1,A,0,2,A,8,4,12
2021,25/01/2021,Belenenses,Tondela,2,0,H,2,0,H,4,9,13
2021,04/02/2021,Belenenses,Porto,0,0,D,0,0,D,2,10,12
2021,08/02/2021,Belenenses,Guimaraes,1,1,D,1,1,D,4,7,11
2021,20/02/2021,Belenenses,Nacional,1,1,D,2,1,H,9,1,10
2021,08/03/2021,Belenenses,Benfica,0,0,D,0,3,A,4,5,9
2021,04/04/2021,Belenenses,Boavista,0,1,A,0,2,A,5,4,9
2021,17/04/2021,Belenenses,Maritimo,1,0,H,2,0,H,2,11,13
2021,26/04/2021,Belenenses,Gil Vicente,0,1,A,2,1,H,4,5,9
2021,06/05/2021,Belenenses,Portimonense,1,0,H,1,0,H,3,4,7
2021,16/05/2021,Belenenses,Santa Clara,0,1,A,0,2,A,10,5,15
2122,16/08/2021,Belenenses,Maritimo,1,2,A,1,2,A,3,4,7
2122,27/08/2021,Belenenses,Moreirense,1,0,H,1,1,D,3,11,14
2122,18/09/2021,Belenenses,Gil Vicente,0,0,D,1,1,D,4,7,11
2122,03/10/2021,Belenenses,Tondela,0,1,A,0,2,A,1,4,5
2122,31/10/2021,Belenenses,Santa Clara,1,0,H,2,1,H,8,7,15
2122,27/11/2021,Belenenses,Benfica,0,7,A,0,7,A,2,4,6
2122,12/12/2021,Belenenses,Estoril,0,1,A,0,1,A,0,14,14
2122,09/01/2022,Belenenses,Arouca,0,1,A,2,1,H,4,2,6
2122,16/01/2022,Belenenses,Porto,1,1,D,1,4,A,3,8,11
2122,02/02/2022,Belenenses,Sp Lisbon,1,3,A,1,4,A,1,4,5
2122,13/02/2022,Belenenses,Guimaraes,0,0,D,1,0,H,5,3,8
2122,25/02/2022,Belenenses,Pacos Ferreira,0,1,A,0,2,A,10,6,16
2122,12/03/2022,Belenenses,Boavista,0,0,D,0,0,D,3,4,7
2122,02/04/2022,Belenenses,Portimonense,1,0,H,2,0,H,1,8,9
2122,16/04/2022,Belenenses,Vizela,1,0,H,1,0,H,2,7,9
2122,30/04/2022,Belenenses,Sp Braga,0,0,D,0,1,A,2,6,8
2122,09/05/2022,Belenenses,Famalicao,1,0,H,2,3,A,7,5,12
