Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,26/09/2020,Benfica,Moreirense,1,0,H,2,0,H,10,1,11
2021,04/10/2020,Benfica,Farense,1,0,H,3,2,H,3,2,5
2021,26/10/2020,Benfica,Belenenses,1,0,H,2,0,H,7,2,9
2021,08/11/2020,Benfica,Sp Braga,0,1,A,2,3,A,5,3,8
2021,06/12/2020,Benfica,Pacos Ferreira,0,1,A,2,1,H,6,4,10
2021,29/12/2020,Benfica,Portimonense,2,0,H,2,1,H,3,2,5
2021,08/01/2021,Benfica,Tondela,0,0,D,2,0,H,11,0,11
2021,25/01/2021,Benfica,Nacional,1,0,H,1,1,D,7,3,10
2021,05/02/2021,Benfica,Guimaraes,0,0,D,0,0,D,9,2,11
2021,08/02/2021,Benfica,Famalicao,2,0,H,2,0,H,4,1,5
2021,01/03/2021,Benfica,Rio Ave,0,0,D,2,0,H,6,6,12
2021,13/03/2021,Benfica,Boavista,1,0,H,2,0,H,13,3,16
2021,05/04/2021,Benfica,Maritimo,1,0,H,1,0,H,4,3,7
2021,17/04/2021,Benfica,Gil Vicente,0,1,A,1,2,A,5,5,10
2021,26/04/2021,Benfica,Santa Clara,1,0,H,2,1,H,5,4,9
2021,06/05/2021,Benfica,Porto,1,0,H,1,1,D,7,11,18
2021,15/05/2021,Benfica,Sp Lisbon,3,1,H,4,3,H,5,5,10
2122,14/08/2021,Benfica,Arouca,2,0,H,2,0,H,4,2,6
2122,29/08/2021,Benfica,Tondela,0,1,A,2,1,H,11,0,11
2122,20/09/2021,Benfica,Boavista,2,1,H,3,1,H,5,4,9
2122,03/10/2021,Benfica,Portimonense,0,0,D,0,1,A,13,4,17
2122,07/11/2021,Benfica,Sp Braga,4,1,H,6,1,H,2,6,8
2122,03/12/2021,Benfica,Sp Lisbon,0,1,A,1,3,A,3,3,6
