Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,26/09/2020,Boavista,Porto,0,0,D,0,5,A,3,2,5
2021,19/10/2020,Boavista,Guimaraes,0,1,A,0,1,A,9,4,13
2021,02/11/2020,Boavista,Benfica,2,0,H,3,0,H,4,6,10
2021,29/11/2020,Boavista,Belenenses,0,0,D,0,0,D,4,7,11
2021,28/12/2020,Boavista,Sp Braga,0,3,A,1,4,A,8,6,14
2021,09/01/2021,Boavista,Santa Clara,1,1,D,1,1,D,3,4,7
2021,26/01/2021,Boavista,Sp Lisbon,0,1,A,0,2,A,4,8,12
2021,05/02/2021,Boavista,Gil Vicente,1,1,D,1,2,A,3,5,8
2021,09/02/2021,Boavista,Nacional,0,1,A,0,1,A,6,1,7
2021,19/02/2021,Boavista,Moreirense,0,0,D,1,0,H,10,5,15
2021,06/03/2021,Boavista,Famalicao,1,0,H,3,0,H,2,7,9
2021,21/03/2021,Boavista,Farense,0,1,A,0,1,A,5,9,14
2021,10/04/2021,Boavista,Rio Ave,2,1,H,3,3,D,6,5,11
2021,16/04/2021,Boavista,Pacos Ferreira,2,0,H,2,0,H,0,8,8
2021,25/04/2021,Boavista,Maritimo,0,0,D,0,1,A,3,8,11
2021,07/05/2021,Boavista,Tondela,0,0,D,1,1,D,8,2,10
2021,15/05/2021,Boavista,Portimonense,0,0,D,1,0,H,2,5,7
2122,16/08/2021,Boavista,Pacos Ferreira,1,0,H,3,0,H,2,8,10
2122,23/08/2021,Boavista,Santa Clara,1,0,H,2,0,H,5,5,10
2122,12/09/2021,Boavista,Portimonense,0,1,A,1,1,D,8,2,10
2122,27/09/2021,Boavista,Estoril,1,0,H,1,1,D,2,13,15
2122,25/10/2021,Boavista,Belenenses,0,0,D,0,0,D,5,1,6
2122,05/11/2021,Boavista,Famalicao,1,3,A,2,5,A,6,2,8
2122,04/12/2021,Boavista,Maritimo,1,0,H,1,1,D,2,6,8
2122,19/12/2021,Boavista,Moreirense,1,0,H,1,0,H,5,7,12
2122,08/01/2022,Boavista,Tondela,0,0,D,1,1,D,9,4,13
2122,15/01/2022,Boavista,Gil Vicente,1,0,H,1,1,D,8,5,13
2122,06/02/2022,Boavista,Vizela,0,1,A,2,2,D,7,5,12
2122,18/02/2022,Boavista,Benfica,0,2,A,2,2,D,9,4,13
2122,05/03/2022,Boavista,Sp Braga,0,1,A,1,1,D,4,1,5
2122,20/03/2022,Boavista,Porto,0,1,A,0,1,A,3,5,8
2122,09/04/2022,Boavista,Arouca,1,0,H,1,0,H,3,3,6
2122,25/04/2022,Boavista,Sp Lisbon,0,1,A,0,3,A,2,3,5
2122,06/05/2022,Boavista,Guimaraes,0,1,A,1,1,D,5,7,12
2223,14/08/2022,Boavista,Santa Clara,0,1,A,2,1,H,8,6,14
2223,27/08/2022,Boavista,Benfica,0,1,A,0,3,A,7,8,15
2223,05/09/2022,Boavista,Pacos Ferreira,0,0,D,1,0,H,5,1,6
2223,17/09/2022,Boavista,Sp Lisbon,1,0,H,2,1,H,4,9,13
2223,09/10/2022,Boavista,Maritimo,1,0,H,1,1,D,8,8,16
2223,30/10/2022,Boavista,Vizela,1,2,A,2,2,D,6,1,7
2223,12/11/2022,Boavista,Porto,0,1,A,1,4,A,5,4,9
2223,08/01/2023,Boavista,Gil Vicente,1,0,H,1,0,H,6,9,15
2223,23/01/2023,Boavista,Chaves,1,0,H,1,1,D,11,5,16
2223,29/01/2023,Boavista,Portimonense,0,0,D,4,2,H,7,6,13
2223,13/02/2023,Boavista,Casa Pia,0,0,D,0,0,D,7,3,10
2223,03/03/2023,Boavista,Arouca,0,0,D,0,0,D,6,1,7
2223,19/03/2023,Boavista,Famalicao,0,0,D,1,2,A,9,1,10
2223,07/04/2023,Boavista,Guimaraes,1,0,H,2,1,H,7,7,14
2223,22/04/2023,Boavista,Rio Ave,3,1,H,3,2,H,2,2,4
2223,06/05/2023,Boavista,Estoril,0,0,D,1,0,H,6,3,9
2223,20/05/2023,Boavista,Sp Braga,0,0,D,1,1,D,2,3,5
2324,14/08/2023,Boavista,Benfica,0,1,A,3,2,H,3,3,6
2324,27/08/2023,Boavista,Casa Pia,0,1,A,1,1,D,11,4,15
2324,18/09/2023,Boavista,Chaves,4,0,H,4,1,H,3,12,15
2324,30/09/2023,Boavista,Famalicao,1,1,D,2,2,D,2,4,6
2324,30/10/2023,Boavista,Sp Lisbon,0,1,A,0,2,A,4,8,12
2324,12/11/2023,Boavista,Farense,0,1,A,1,3,A,9,2,11
2324,03/12/2023,Boavista,Arouca,0,3,A,0,4,A,8,1,9
2324,16/12/2023,Boavista,Guimaraes,0,1,A,1,1,D,7,8,15
2324,05/01/2024,Boavista,Porto,1,1,D,1,1,D,1,6,7
2324,28/01/2024,Boavista,Portimonense,0,3,A,1,4,A,11,1,12
2324,10/02/2024,Boavista,Estoril,2,0,H,2,1,H,7,5,12
2324,26/02/2024,Boavista,Sp Braga,0,2,A,0,4,A,1,3,4
2324,09/03/2024,Boavista,Moreirense,0,0,D,1,0,H,4,4,8
2324,30/03/2024,Boavista,Rio Ave,0,0,D,0,0,D,2,5,7
2324,20/04/2024,Boavista,Estrela,0,0,D,1,1,D,6,5,11
2324,04/05/2024,Boavista,Gil Vicente,1,1,D,1,1,D,2,4,6
2324,18/05/2024,Boavista,Vizela,0,1,A,2,2,D,9,2,11
2425,18/08/2024,Boavista,Sp Braga,0,1,A,0,1,A,3,8,11
2425,31/08/2024,Boavista,Estoril,0,0,D,0,0,D,8,3,11
2425,23/09/2024,Boavista,Benfica,0,2,A,0,3,A,4,5,9
2425,26/10/2024,Boavista,Moreirense,0,1,A,0,2,A,4,3,7
