Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2223,13/08/2022,Casa Pia,Benfica,0,0,D,0,1,A,4,9,13
2223,21/08/2022,Casa Pia,Boavista,0,0,D,2,0,H,2,2,4
2223,04/09/2022,Casa Pia,Arouca,0,0,D,0,0,D,9,2,11
2223,18/09/2022,Casa Pia,Famalicao,0,0,D,1,0,H,8,4,12
2223,09/10/2022,Casa Pia,Vizela,0,0,D,0,1,A,8,1,9
2223,30/10/2022,Casa Pia,Rio Ave,0,0,D,1,0,H,3,4,7
2223,13/11/2022,Casa Pia,Chaves,1,0,H,1,2,A,2,0,2
2223,07/01/2023,Casa Pia,Porto,0,0,D,0,0,D,5,6,11
2223,22/01/2023,Casa Pia,Gil Vicente,0,0,D,1,3,A,6,4,10
2223,29/01/2023,Casa Pia,Santa Clara,0,0,D,2,1,H,8,3,11
2223,19/02/2023,Casa Pia,Guimaraes,0,0,D,0,0,D,3,4,7
2223,06/03/2023,Casa Pia,Pacos Ferreira,0,1,A,2,1,H,4,2,6
2223,19/03/2023,Casa Pia,Maritimo,1,0,H,2,0,H,5,10,15
2223,09/04/2023,Casa Pia,Sp Lisbon,2,2,D,3,4,A,1,18,19
2223,21/04/2023,Casa Pia,Sp Braga,0,0,D,0,1,A,3,6,9
2223,05/05/2023,Casa Pia,Portimonense,0,0,D,1,1,D,4,4,8
2223,21/05/2023,Casa Pia,Estoril,0,0,D,2,2,D,3,3,6
2324,18/08/2023,Casa Pia,Sp Lisbon,0,1,A,1,2,A,4,5,9
2324,02/09/2023,Casa Pia,Rio Ave,1,0,H,1,1,D,12,0,12
2324,23/09/2023,Casa Pia,Guimaraes,0,0,D,0,0,D,8,9,17
2324,08/10/2023,Casa Pia,Estrela,0,0,D,0,1,A,3,6,9
2324,05/11/2023,Casa Pia,Vizela,0,0,D,0,1,A,6,6,12
2324,02/12/2023,Casa Pia,Portimonense,0,0,D,1,0,H,5,5,10
2324,30/12/2023,Casa Pia,Sp Braga,0,0,D,1,3,A,2,3,5
2324,13/01/2024,Casa Pia,Famalicao,0,1,A,0,2,A,6,3,9
2324,20/01/2024,Casa Pia,Farense,0,2,A,1,3,A,14,3,17
2324,05/02/2024,Casa Pia,Boavista,0,0,D,0,0,D,4,3,7
2324,18/02/2024,Casa Pia,Arouca,0,0,D,1,0,H,2,6,8
2324,03/03/2024,Casa Pia,Gil Vicente,0,0,D,0,0,D,2,4,6
2324,17/03/2024,Casa Pia,Benfica,0,0,D,0,1,A,4,13,17
2324,08/04/2024,Casa Pia,Estoril,0,0,D,0,0,D,2,6,8
2324,21/04/2024,Casa Pia,Porto,1,1,D,1,2,A,8,4,12
2324,27/04/2024,Casa Pia,Chaves,1,0,H,3,1,H,4,5,9
2324,12/05/2024,Casa Pia,Moreirense,0,1,A,0,1,A,5,1,6
2425,10/08/2024,Casa Pia,Boavista,0,0,D,0,1,A,3,1,4
2425,24/08/2024,Casa Pia,Santa Clara,0,0,D,0,2,A,7,1,8
2425,14/09/2024,Casa Pia,Moreirense,0,1,A,3,1,H,4,5,9
2425,28/09/2024,Casa Pia,Guimaraes,1,0,H,1,1,D,7,9,16
2425,25/10/2024,Casa Pia,Nacional,1,0,H,1,0,H,7,7,14
