Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,18/09/2020,Famalicao,Benfica,0,3,A,1,5,A,3,4,7
2021,04/10/2020,Famalicao,Rio Ave,1,0,H,1,1,D,3,5,8
2021,25/10/2020,Famalicao,Boavista,0,0,D,2,2,D,9,1,10
2021,07/11/2020,Famalicao,Maritimo,2,1,H,2,1,H,4,2,6
2021,05/12/2020,Famalicao,Sp Lisbon,1,2,A,2,2,D,3,4,7
2021,27/12/2020,Famalicao,Gil Vicente,0,1,A,0,1,A,4,6,10
2021,08/01/2021,Famalicao,Porto,1,2,A,1,4,A,3,3,6
2021,24/01/2021,Famalicao,Guimaraes,0,1,A,0,1,A,7,4,11
2021,04/02/2021,Famalicao,Moreirense,0,2,A,0,2,A,5,3,8
2021,12/02/2021,Famalicao,Belenenses,0,0,D,0,0,D,4,5,9
2021,27/02/2021,Famalicao,Farense,0,0,D,0,0,D,5,4,9
2021,15/03/2021,Famalicao,Sp Braga,1,2,A,2,2,D,2,4,6
2021,04/04/2021,Famalicao,Pacos Ferreira,1,0,H,2,0,H,6,3,9
2021,18/04/2021,Famalicao,Portimonense,0,1,A,0,1,A,5,4,9
2021,26/04/2021,Famalicao,Tondela,2,2,D,2,2,D,8,9,17
2021,07/05/2021,Famalicao,Santa Clara,0,0,D,1,0,H,5,2,7
2021,16/05/2021,Famalicao,Nacional,1,0,H,3,0,H,5,2,7
2122,15/08/2021,Famalicao,Porto,0,2,A,1,2,A,3,2,5
2122,28/08/2021,Famalicao,Sp Lisbon,0,0,D,1,1,D,2,9,11
2122,18/09/2021,Famalicao,Maritimo,0,0,D,0,0,D,7,5,12
2122,01/10/2021,Famalicao,Guimaraes,1,1,D,1,2,A,8,0,8
2122,31/10/2021,Famalicao,Vizela,0,0,D,1,1,D,5,2,7
2122,27/11/2021,Famalicao,Portimonense,0,2,A,0,3,A,8,3,11
2122,12/12/2021,Famalicao,Benfica,1,2,A,1,4,A,5,2,7
2122,13/01/2022,Famalicao,Belenenses,0,0,D,1,0,H,5,5,10
2122,16/01/2022,Famalicao,Pacos Ferreira,0,0,D,0,0,D,2,8,10
2122,31/01/2022,Famalicao,Arouca,0,0,D,0,0,D,4,4,8
2122,13/02/2022,Famalicao,Moreirense,4,0,H,5,0,H,4,5,9
2122,26/02/2022,Famalicao,Tondela,0,0,D,2,1,H,7,3,10
2122,12/03/2022,Famalicao,Santa Clara,0,0,D,0,0,D,6,5,11
2122,02/04/2022,Famalicao,Boavista,0,2,A,1,2,A,11,1,12
2122,15/04/2022,Famalicao,Gil Vicente,2,1,H,2,2,D,3,7,10
2122,29/04/2022,Famalicao,Estoril,1,0,H,3,1,H,7,3,10
2122,15/05/2022,Famalicao,Sp Braga,1,2,A,3,2,H,6,4,10
2223,12/08/2022,Famalicao,Sp Braga,0,2,A,0,3,A,7,7,14
2223,28/08/2022,Famalicao,Santa Clara,1,0,H,1,0,H,6,4,10
2223,10/09/2022,Famalicao,Benfica,0,0,D,0,1,A,1,5,6
2223,02/10/2022,Famalicao,Boavista,2,0,H,4,0,H,1,5,6
2223,22/10/2022,Famalicao,Pacos Ferreira,1,1,D,2,1,H,3,8,11
2223,13/11/2022,Famalicao,Sp Lisbon,0,2,A,1,2,A,3,5,8
2223,06/01/2023,Famalicao,Vizela,1,0,H,2,1,H,6,4,10
2223,22/01/2023,Famalicao,Rio Ave,0,0,D,0,0,D,4,3,7
2223,29/01/2023,Famalicao,Estoril,0,0,D,1,0,H,5,7,12
2223,12/02/2023,Famalicao,Gil Vicente,0,0,D,0,1,A,4,6,10
2223,24/02/2023,Famalicao,Portimonense,0,0,D,1,0,H,7,8,15
2223,13/03/2023,Famalicao,Casa Pia,1,0,H,1,0,H,3,5,8
2223,03/04/2023,Famalicao,Arouca,0,0,D,0,1,A,7,1,8
2223,14/04/2023,Famalicao,Guimaraes,1,0,H,2,1,H,3,10,13
