Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Farense,Nacional,0,0,D,0,1,A,11,5,16
2021,18/10/2020,Farense,Famalicao,2,0,H,3,3,D,6,9,15
2021,25/10/2020,Farense,Rio Ave,0,1,A,0,1,A,6,1,7
2021,08/11/2020,Farense,Boavista,1,1,D,3,1,H,5,7,12
2021,07/12/2020,Farense,Maritimo,1,0,H,2,1,H,1,4,5
2021,27/12/2020,Farense,Pacos Ferreira,0,0,D,1,1,D,5,3,8
2021,10/01/2021,Farense,Gil Vicente,2,1,H,3,1,H,7,6,13
2021,25/01/2021,Farense,Porto,0,1,A,0,1,A,7,4,11
2021,04/02/2021,Farense,Santa Clara,1,0,H,1,1,D,11,7,18
2021,08/02/2021,Farense,Moreirense,0,1,A,1,2,A,10,1,11
2021,21/02/2021,Farense,Benfica,0,0,D,0,0,D,4,7,11
2021,13/03/2021,Farense,Belenenses,0,0,D,0,1,A,6,2,8
2021,05/04/2021,Farense,Sp Braga,1,1,D,1,2,A,4,5,9
2021,16/04/2021,Farense,Sp Lisbon,0,1,A,0,1,A,7,9,16
2021,27/04/2021,Farense,Portimonense,1,0,H,1,1,D,8,5,13
2021,06/05/2021,Farense,Guimaraes,2,1,H,2,2,D,3,6,9
2021,15/05/2021,Farense,Tondela,0,0,D,1,0,H,5,3,8
2324,12/08/2023,Farense,Casa Pia,0,1,A,0,3,A,5,6,11
2324,26/08/2023,Farense,Chaves,4,0,H,5,0,H,7,4,11
2324,16/09/2023,Farense,Sp Braga,2,0,H,3,1,H,7,3,10
2324,30/09/2023,Farense,Sp Lisbon,1,2,A,2,3,A,2,8,10
2324,07/10/2023,Farense,Vizela,0,0,D,0,0,D,14,6,20
2324,06/11/2023,Farense,Arouca,2,0,H,2,0,H,6,6,12
2324,02/12/2023,Farense,Guimaraes,0,1,A,1,2,A,1,7,8
2324,15/12/2023,Farense,Estrela,0,0,D,0,0,D,6,9,15
2324,06/01/2024,Farense,Gil Vicente,0,0,D,1,0,H,6,5,11
2324,28/01/2024,Farense,Porto,0,2,A,1,3,A,4,10,14
2324,10/02/2024,Farense,Famalicao,0,1,A,1,1,D,7,6,13
2324,24/02/2024,Farense,Moreirense,0,1,A,0,1,A,5,5,10
2324,16/03/2024,Farense,Rio Ave,1,0,H,1,1,D,5,2,7
2324,05/04/2024,Farense,Boavista,2,0,H,2,0,H,5,12,17
2324,22/04/2024,Farense,Benfica,1,2,A,1,3,A,3,7,10
2324,05/05/2024,Farense,Estoril,2,1,H,3,2,H,3,3,6
2324,18/05/2024,Farense,Portimonense,0,2,A,1,3,A,2,4,6
2425,11/08/2024,Farense,Moreirense,0,1,A,1,2,A,5,4,9
2425,23/08/2024,Farense,Sp Lisbon,0,2,A,0,5,A,1,5,6
2425,22/09/2024,Farense,Arouca,0,1,A,0,1,A,10,6,16
2425,06/10/2024,Farense,Estoril,0,0,D,1,0,H,5,4,9
2425,02/11/2024,Farense,Benfica,1,1,D,1,2,A,3,8,11
