Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Gil Vicente,Portimonense,0,0,D,1,0,H,10,7,17
2021,17/10/2020,Gil Vicente,Tondela,1,0,H,1,1,D,5,1,6
2021,01/11/2020,Gil Vicente,Guimaraes,0,1,A,1,2,A,8,4,12
2021,29/11/2020,Gil Vicente,Rio Ave,1,0,H,2,0,H,2,8,10
2021,20/12/2020,Gil Vicente,Benfica,0,0,D,0,2,A,4,3,7
2021,04/01/2021,Gil Vicente,Belenenses,0,0,D,0,0,D,8,3,11
2021,17/01/2021,Gil Vicente,Maritimo,0,0,D,0,1,A,3,4,7
2021,02/02/2021,Gil Vicente,Pacos Ferreira,0,2,A,1,2,A,8,3,11
2021,09/02/2021,Gil Vicente,Sp Lisbon,1,0,H,1,2,A,1,4,5
2021,20/02/2021,Gil Vicente,Santa Clara,0,0,D,1,0,H,6,4,10
2021,06/03/2021,Gil Vicente,Porto,0,1,A,0,2,A,4,10,14
2021,19/03/2021,Gil Vicente,Nacional,0,0,D,2,0,H,3,3,6
2021,11/04/2021,Gil Vicente,Moreirense,0,1,A,1,2,A,7,2,9
2021,22/04/2021,Gil Vicente,Famalicao,0,0,D,0,3,A,6,5,11
2021,01/05/2021,Gil Vicente,Farense,0,0,D,0,0,D,5,4,9
2021,09/05/2021,Gil Vicente,Sp Braga,1,1,D,1,1,D,2,4,6
2021,19/05/2021,Gil Vicente,Boavista,1,0,H,1,2,A,7,8,15
2122,09/08/2021,Gil Vicente,Boavista,2,0,H,3,0,H,1,5,6
2122,21/08/2021,Gil Vicente,Benfica,0,0,D,0,2,A,3,9,12
2122,12/09/2021,Gil Vicente,Vizela,0,1,A,2,2,D,9,7,16
2122,24/09/2021,Gil Vicente,Porto,1,1,D,1,2,A,2,6,8
2122,25/10/2021,Gil Vicente,Sp Braga,0,1,A,0,1,A,11,2,13
2122,05/11/2021,Gil Vicente,Arouca,0,1,A,1,1,D,8,1,9
2122,05/12/2021,Gil Vicente,Famalicao,3,0,H,4,0,H,4,1,5
2122,18/12/2021,Gil Vicente,Sp Lisbon,0,0,D,0,3,A,1,5,6
2122,10/01/2022,Gil Vicente,Guimaraes,1,0,H,3,2,H,6,1,7
2122,23/01/2022,Gil Vicente,Portimonense,0,0,D,1,0,H,12,2,14
2122,06/02/2022,Gil Vicente,Santa Clara,1,1,D,2,2,D,1,9,10
2122,19/02/2022,Gil Vicente,Belenenses,0,0,D,2,0,H,6,3,9
2122,04/03/2022,Gil Vicente,Estoril,0,0,D,0,0,D,6,2,8
2122,20/03/2022,Gil Vicente,Maritimo,1,1,D,1,1,D,8,6,14
2122,08/04/2022,Gil Vicente,Moreirense,0,0,D,1,2,A,11,3,14
2122,23/04/2022,Gil Vicente,Pacos Ferreira,0,0,D,1,1,D,6,2,8
