Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,18/09/2020,Guimaraes,Belenenses,0,0,D,0,1,A,7,2,9
2021,02/10/2020,Guimaraes,Pacos Ferreira,0,0,D,1,0,H,2,7,9
2021,25/10/2020,Guimaraes,Sp Braga,0,1,A,0,1,A,4,9,13
2021,07/11/2020,Guimaraes,Sp Lisbon,0,2,A,0,4,A,5,2,7
2021,05/12/2020,Guimaraes,Portimonense,1,0,H,1,0,H,5,3,8
2021,29/12/2020,Guimaraes,Porto,1,1,D,2,3,A,0,3,3
2021,21/01/2021,Guimaraes,Nacional,1,1,D,3,1,H,3,3,6
2021,31/01/2021,Guimaraes,Maritimo,0,0,D,1,0,H,7,1,8
2021,13/02/2021,Guimaraes,Rio Ave,0,2,A,1,3,A,11,0,11
2021,17/02/2021,Guimaraes,Farense,2,1,H,2,2,D,8,4,12
2021,26/02/2021,Guimaraes,Boavista,1,1,D,2,1,H,10,1,11
2021,14/03/2021,Guimaraes,Gil Vicente,1,3,A,2,4,A,8,6,14
2021,04/04/2021,Guimaraes,Tondela,1,1,D,1,2,A,11,5,16
2021,17/04/2021,Guimaraes,Santa Clara,1,0,H,1,0,H,4,5,9
2021,30/04/2021,Guimaraes,Moreirense,2,0,H,2,0,H,4,10,14
2021,12/05/2021,Guimaraes,Famalicao,1,1,D,1,2,A,7,8,15
2021,19/05/2021,Guimaraes,Benfica,0,0,D,1,3,A,7,4,11
2122,08/08/2021,Guimaraes,Portimonense,0,0,D,0,1,A,10,5,15
2122,22/08/2021,Guimaraes,Vizela,0,0,D,4,0,H,8,2,10
2122,12/09/2021,Guimaraes,Belenenses,0,0,D,0,0,D,5,7,12
2122,25/09/2021,Guimaraes,Benfica,0,2,A,1,3,A,5,5,10
2122,22/10/2021,Guimaraes,Maritimo,0,0,D,2,1,H,14,2,16
2122,06/11/2021,Guimaraes,Moreirense,1,0,H,2,1,H,5,9,14
2122,11/12/2021,Guimaraes,Tondela,2,2,D,5,2,H,0,8,8
2122,29/12/2021,Guimaraes,Boavista,0,0,D,1,1,D,11,4,15
2122,23/01/2022,Guimaraes,Estoril,0,1,A,3,1,H,4,4,8
2122,05/02/2022,Guimaraes,Sp Braga,1,0,H,2,1,H,3,5,8
2122,19/02/2022,Guimaraes,Arouca,1,3,A,1,3,A,4,9,13
2122,06/03/2022,Guimaraes,Famalicao,1,1,D,2,1,H,7,2,9
2122,19/03/2022,Guimaraes,Sp Lisbon,1,1,D,1,3,A,2,3,5
2122,10/04/2022,Guimaraes,Porto,0,1,A,0,1,A,3,1,4
2122,15/04/2022,Guimaraes,Pacos Ferreira,2,0,H,4,0,H,2,4,6
2122,01/05/2022,Guimaraes,Santa Clara,1,0,H,1,1,D,4,3,7
2122,15/05/2022,Guimaraes,Gil Vicente,1,0,H,5,0,H,1,3,4
2223,14/08/2022,Guimaraes,Estoril,1,0,H,1,0,H,5,7,12
2223,29/08/2022,Guimaraes,Casa Pia,0,1,A,0,1,A,9,1,10
2223,09/09/2022,Guimaraes,Santa Clara,0,0,D,1,0,H,6,5,11
2223,01/10/2022,Guimaraes,Benfica,0,0,D,0,0,D,5,6,11
2223,23/10/2022,Guimaraes,Boavista,1,1,D,3,2,H,9,1,10
2223,31/10/2022,Guimaraes,Famalicao,1,0,H,3,2,H,1,7,8
2223,13/11/2022,Guimaraes,Maritimo,0,0,D,1,0,H,1,6,7
2223,07/01/2023,Guimaraes,Rio Ave,0,0,D,0,0,D,5,2,7
2223,21/01/2023,Guimaraes,Porto,0,1,A,0,1,A,3,6,9
2223,30/01/2023,Guimaraes,Chaves,1,0,H,2,1,H,7,6,13
2223,11/02/2023,Guimaraes,Portimonense,1,0,H,1,0,H,5,2,7
2223,27/02/2023,Guimaraes,Sp Braga,2,0,H,2,1,H,3,5,8
2223,11/03/2023,Guimaraes,Arouca,0,0,D,0,2,A,12,0,12
2223,01/04/2023,Guimaraes,Pacos Ferreira,0,0,D,0,0,D,5,4,9
2223,24/04/2023,Guimaraes,Sp Lisbon,0,0,D,0,2,A,5,5,10
2223,07/05/2023,Guimaraes,Vizela,2,0,H,3,0,H,6,4,10
2223,21/05/2023,Guimaraes,Gil Vicente,0,0,D,1,0,H,3,6,9
2324,19/08/2023,Guimaraes,Gil Vicente,0,0,D,2,1,H,6,4,10
2324,27/08/2023,Guimaraes,Vizela,0,0,D,2,0,H,3,4,7
2324,17/09/2023,Guimaraes,Portimonense,1,0,H,1,2,A,10,3,13
2324,01/10/2023,Guimaraes,Estoril,0,2,A,3,2,H,11,2,13
2324,28/10/2023,Guimaraes,Chaves,3,0,H,5,0,H,4,3,7
2324,11/11/2023,Guimaraes,Porto,1,1,D,1,2,A,10,6,16
2324,09/12/2023,Guimaraes,Sp Lisbon,1,1,D,3,2,H,1,6,7
2324,23/12/2023,Guimaraes,Rio Ave,0,0,D,1,0,H,4,8,12
2324,15/01/2024,Guimaraes,Arouca,1,1,D,2,1,H,10,1,11
2324,21/01/2024,Guimaraes,Estrela,1,0,H,3,0,H,8,5,13
2324,11/02/2024,Guimaraes,Benfica,1,1,D,2,2,D,6,11,17
2324,24/02/2024,Guimaraes,Casa Pia,0,2,A,0,2,A,8,2,10
