Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,26/09/2020,Maritimo,Tondela,2,1,H,2,1,H,0,8,8
2021,17/10/2020,Maritimo,Portimonense,0,0,D,1,2,A,10,6,16
2021,31/10/2020,Maritimo,Nacional,0,0,D,0,0,D,3,6,9
2021,30/11/2020,Maritimo,Benfica,1,1,D,1,2,A,1,12,13
2021,19/12/2020,Maritimo,Belenenses,0,0,D,1,0,H,4,2,6
2021,03/01/2021,Maritimo,Boavista,0,0,D,0,0,D,2,3,5
2021,24/01/2021,Maritimo,Pacos Ferreira,0,1,A,0,3,A,5,2,7
2021,05/02/2021,Maritimo,Sp Lisbon,0,1,A,0,2,A,2,5,7
2021,08/02/2021,Maritimo,Santa Clara,0,0,D,1,2,A,3,5,8
2021,22/02/2021,Maritimo,Porto,1,1,D,1,2,A,3,3,6
2021,07/03/2021,Maritimo,Moreirense,0,1,A,0,2,A,5,2,7
2021,21/03/2021,Maritimo,Famalicao,0,2,A,0,4,A,5,1,6
2021,10/04/2021,Maritimo,Farense,1,0,H,1,0,H,6,12,18
2021,21/04/2021,Maritimo,Rio Ave,1,0,H,1,0,H,4,10,14
2021,29/04/2021,Maritimo,Sp Braga,0,0,D,1,0,H,2,8,10
2021,05/05/2021,Maritimo,Gil Vicente,0,1,A,0,1,A,9,3,12
2021,16/05/2021,Maritimo,Guimaraes,0,0,D,0,0,D,2,2,4
2122,07/08/2021,Maritimo,Sp Braga,0,0,D,0,2,A,3,6,9
2122,22/08/2021,Maritimo,Porto,1,1,D,1,1,D,3,4,7
2122,13/09/2021,Maritimo,Arouca,2,1,H,2,2,D,5,2,7
2122,01/10/2021,Maritimo,Moreirense,0,0,D,0,0,D,3,7,10
2122,31/10/2021,Maritimo,Gil Vicente,1,1,D,1,2,A,4,5,9
2122,28/11/2021,Maritimo,Pacos Ferreira,0,0,D,2,0,H,2,8,10
2122,11/12/2021,Maritimo,Santa Clara,2,1,H,4,1,H,4,2,6
2122,28/12/2021,Maritimo,Vizela,0,0,D,2,0,H,2,4,6
2122,23/01/2022,Maritimo,Belenenses,1,1,D,1,1,D,7,2,9
2122,05/02/2022,Maritimo,Estoril,0,0,D,0,0,D,13,2,15
2122,20/02/2022,Maritimo,Famalicao,0,1,A,0,1,A,5,6,11
2122,26/02/2022,Maritimo,Sp Lisbon,1,1,D,1,1,D,4,7,11
2122,13/03/2022,Maritimo,Guimaraes,0,0,D,0,1,A,3,3,6
2122,03/04/2022,Maritimo,Tondela,1,1,D,1,3,A,9,4,13
2122,16/04/2022,Maritimo,Boavista,2,0,H,4,0,H,1,1,2
2122,30/04/2022,Maritimo,Benfica,0,1,A,0,1,A,5,6,11
2122,14/05/2022,Maritimo,Portimonense,0,0,D,0,1,A,4,2,6
2223,15/08/2022,Maritimo,Chaves,1,0,H,1,2,A,3,6,9
2223,27/08/2022,Maritimo,Portimonense,0,1,A,0,1,A,8,7,15
2223,11/09/2022,Maritimo,Gil Vicente,1,0,H,1,2,A,10,8,18
2223,03/10/2022,Maritimo,Casa Pia,1,1,D,1,2,A,10,3,13
2223,23/10/2022,Maritimo,Arouca,1,1,D,1,1,D,5,5,10
2223,06/11/2022,Maritimo,Famalicao,0,0,D,0,0,D,7,6,13
2223,08/01/2023,Maritimo,Sp Lisbon,0,0,D,1,0,H,3,8,11
2223,22/01/2023,Maritimo,Estoril,1,0,H,1,0,H,4,5,9
2223,01/02/2023,Maritimo,Porto,0,0,D,0,2,A,5,1,6
2223,12/02/2023,Maritimo,Sp Braga,1,2,A,1,2,A,5,5,10
2223,25/02/2023,Maritimo,Santa Clara,0,1,A,3,1,H,9,4,13
2223,12/03/2023,Maritimo,Benfica,0,1,A,0,3,A,2,10,12
2223,02/04/2023,Maritimo,Boavista,2,0,H,4,2,H,3,9,12
2223,15/04/2023,Maritimo,Pacos Ferreira,2,0,H,3,1,H,2,5,7
2223,29/04/2023,Maritimo,Guimaraes,0,1,A,1,2,A,5,3,8
2223,07/05/2023,Maritimo,Rio Ave,1,2,A,2,2,D,13,1,14
2223,19/05/2023,Maritimo,Vizela,0,0,D,1,0,H,5,6,11
