Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Nacional,Boavista,2,2,D,3,3,D,6,4,10
2021,04/10/2020,Nacional,Belenenses,0,0,D,0,0,D,7,2,9
2021,24/10/2020,Nacional,Pacos Ferreira,0,0,D,1,1,D,3,6,9
2021,08/11/2020,Nacional,Gil Vicente,0,1,A,2,1,H,8,11,19
2021,06/12/2020,Nacional,Santa Clara,1,2,A,1,3,A,7,12,19
2021,27/12/2020,Nacional,Tondela,1,0,H,2,0,H,2,6,8
2021,08/01/2021,Nacional,Sp Lisbon,0,1,A,0,2,A,1,10,11
2021,17/01/2021,Nacional,Moreirense,0,0,D,0,1,A,5,6,11
2021,30/01/2021,Nacional,Famalicao,0,1,A,2,1,H,9,3,12
2021,13/02/2021,Nacional,Farense,0,0,D,2,3,A,6,10,16
2021,28/02/2021,Nacional,Sp Braga,0,2,A,1,2,A,2,5,7
2021,12/03/2021,Nacional,Maritimo,1,0,H,1,2,A,8,6,14
2021,02/04/2021,Nacional,Portimonense,0,2,A,1,5,A,6,6,12
2021,18/04/2021,Nacional,Porto,0,1,A,0,1,A,2,2,4
2021,26/04/2021,Nacional,Guimaraes,1,0,H,1,0,H,6,4,10
2021,11/05/2021,Nacional,Benfica,1,0,H,1,3,A,5,6,11
2021,19/05/2021,Nacional,Rio Ave,1,0,H,1,2,A,1,16,17
2425,17/08/2024,Nacional,Sp Lisbon,1,2,A,1,6,A,4,3,7
2425,01/09/2024,Nacional,Farense,1,0,H,2,0,H,4,4,8
2425,20/09/2024,Nacional,Sp Braga,0,0,D,0,3,A,6,6,12
2425,04/11/2024,Nacional,Santa Clara,2,0,H,2,0,H,2,6,8
