Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Pacos Ferreira,Sp Lisbon,0,1,A,0,2,A,4,8,12
2021,18/10/2020,Pacos Ferreira,Santa Clara,1,0,H,2,1,H,7,2,9
2021,30/10/2020,Pacos Ferreira,Porto,2,1,H,3,2,H,5,4,9
2021,27/11/2020,Pacos Ferreira,Famalicao,1,0,H,2,0,H,3,3,6
2021,20/12/2020,Pacos Ferreira,Boavista,0,0,D,1,1,D,5,3,8
2021,03/01/2021,Pacos Ferreira,Rio Ave,1,0,H,2,0,H,3,4,7
2021,16/01/2021,Pacos Ferreira,Sp Braga,0,0,D,2,0,H,2,4,6
2021,05/02/2021,Pacos Ferreira,Tondela,1,0,H,2,1,H,3,3,6
2021,09/02/2021,Pacos Ferreira,Portimonense,0,0,D,0,0,D,3,2,5
2021,21/02/2021,Pacos Ferreira,Guimaraes,1,1,D,2,1,H,3,3,6
2021,05/03/2021,Pacos Ferreira,Nacional,2,0,H,2,1,H,5,4,9
2021,20/03/2021,Pacos Ferreira,Moreirense,3,0,H,3,0,H,5,10,15
2021,10/04/2021,Pacos Ferreira,Benfica,0,3,A,0,5,A,1,11,12
2021,20/04/2021,Pacos Ferreira,Farense,0,0,D,0,2,A,6,6,12
2021,30/04/2021,Pacos Ferreira,Belenenses,0,0,D,1,0,H,3,5,8
2021,09/05/2021,Pacos Ferreira,Maritimo,1,1,D,1,1,D,7,4,11
2021,14/05/2021,Pacos Ferreira,Gil Vicente,0,1,A,0,2,A,2,9,11
2122,08/08/2021,Pacos Ferreira,Famalicao,0,0,D,2,0,H,6,3,9
2122,23/08/2021,Pacos Ferreira,Estoril,1,1,D,1,3,A,5,4,9
2122,11/09/2021,Pacos Ferreira,Sp Braga,0,0,D,0,0,D,11,5,16
2122,27/09/2021,Pacos Ferreira,Belenenses,2,0,H,2,2,D,3,2,5
2122,24/10/2021,Pacos Ferreira,Arouca,0,0,D,0,0,D,3,9,12
2122,07/11/2021,Pacos Ferreira,Sp Lisbon,0,0,D,0,2,A,4,10,14
2122,04/12/2021,Pacos Ferreira,Guimaraes,1,0,H,1,2,A,4,6,10
2122,10/12/2021,Pacos Ferreira,Gil Vicente,0,0,D,0,1,A,7,5,12
2122,30/12/2021,Pacos Ferreira,Santa Clara,0,1,A,2,1,H,2,4,6
2122,21/01/2022,Pacos Ferreira,Boavista,1,0,H,1,1,D,7,0,7
2122,05/02/2022,Pacos Ferreira,Portimonense,1,0,H,1,1,D,8,7,15
2122,19/02/2022,Pacos Ferreira,Vizela,1,1,D,2,1,H,10,5,15
2122,06/03/2022,Pacos Ferreira,Porto,1,2,A,2,4,A,1,7,8
2122,20/03/2022,Pacos Ferreira,Moreirense,1,0,H,2,1,H,7,3,10
2122,09/04/2022,Pacos Ferreira,Maritimo,2,0,H,2,0,H,5,2,7
2122,02/05/2022,Pacos Ferreira,Tondela,0,1,A,1,1,D,7,0,7
2122,13/05/2022,Pacos Ferreira,Benfica,0,2,A,0,2,A,6,4,10
2223,15/08/2022,Pacos Ferreira,Portimonense,0,1,A,0,3,A,2,7,9
2223,26/08/2022,Pacos Ferreira,Estoril,0,2,A,0,3,A,4,5,9
2223,11/09/2022,Pacos Ferreira,Casa Pia,1,0,H,2,3,A,7,2,9
2223,02/10/2022,Pacos Ferreira,Arouca,0,0,D,1,1,D,3,5,8
2223,08/10/2022,Pacos Ferreira,Guimaraes,0,1,A,0,1,A,14,3,17
2223,28/10/2022,Pacos Ferreira,Maritimo,0,1,A,0,1,A,6,10,16
2223,13/11/2022,Pacos Ferreira,Vizela,0,0,D,0,2,A,9,7,16
2223,08/01/2023,Pacos Ferreira,Chaves,0,0,D,1,1,D,9,6,15
2223,21/01/2023,Pacos Ferreira,Sp Braga,0,0,D,1,2,A,4,10,14
2223,26/01/2023,Pacos Ferreira,Benfica,0,2,A,0,2,A,1,10,11
2223,31/01/2023,Pacos Ferreira,Gil Vicente,1,0,H,2,1,H,11,12,23
2223,26/02/2023,Pacos Ferreira,Boavista,0,1,A,1,3,A,9,10,19
2223,11/03/2023,Pacos Ferreira,Santa Clara,0,0,D,1,0,H,9,2,11
2223,08/04/2023,Pacos Ferreira,Famalicao,1,1,D,1,3,A,10,4,14
2223,22/04/2023,Pacos Ferreira,Porto,0,0,D,0,2,A,2,5,7
2223,07/05/2023,Pacos Ferreira,Sp Lisbon,0,2,A,0,4,A,0,6,6
2223,21/05/2023,Pacos Ferreira,Rio Ave,1,1,D,3,1,H,5,6,11
