Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,21/09/2020,Portimonense,Pacos Ferreira,0,1,A,1,1,D,4,9,13
2021,04/10/2020,Portimonense,Sp Lisbon,0,2,A,0,2,A,7,2,9
2021,01/11/2020,Portimonense,Santa Clara,0,1,A,1,2,A,7,5,12
2021,29/11/2020,Portimonense,Nacional,0,0,D,1,0,H,7,3,10
2021,18/12/2020,Portimonense,Famalicao,0,0,D,0,0,D,4,1,5
2021,04/01/2021,Portimonense,Farense,0,0,D,2,0,H,5,1,6
2021,18/01/2021,Portimonense,Belenenses,1,0,H,1,0,H,7,2,9
2021,30/01/2021,Portimonense,Boavista,1,1,D,1,2,A,4,2,6
2021,14/02/2021,Portimonense,Gil Vicente,2,1,H,4,1,H,6,4,10
2021,28/02/2021,Portimonense,Maritimo,0,0,D,0,0,D,6,4,10
2021,06/03/2021,Portimonense,Tondela,2,0,H,3,0,H,3,3,6
2021,20/03/2021,Portimonense,Porto,0,1,A,1,2,A,2,4,6
2021,09/04/2021,Portimonense,Guimaraes,1,0,H,3,0,H,3,8,11
2021,22/04/2021,Portimonense,Benfica,1,1,D,1,5,A,5,4,9
2021,01/05/2021,Portimonense,Rio Ave,0,0,D,0,0,D,6,10,16
2021,10/05/2021,Portimonense,Moreirense,1,1,D,1,2,A,2,6,8
2021,19/05/2021,Portimonense,Sp Braga,0,0,D,0,0,D,4,5,9
2122,15/08/2021,Portimonense,Gil Vicente,0,0,D,0,1,A,5,4,9
2122,29/08/2021,Portimonense,Pacos Ferreira,0,1,A,0,1,A,7,3,10
2122,17/09/2021,Portimonense,Santa Clara,2,1,H,2,1,H,4,2,6
2122,26/09/2021,Portimonense,Vizela,0,0,D,0,0,D,7,5,12
2122,24/10/2021,Portimonense,Estoril,0,0,D,0,2,A,6,1,7
2122,06/11/2021,Portimonense,Belenenses,1,0,H,2,0,H,6,5,11
2122,03/12/2021,Portimonense,Porto,0,1,A,0,3,A,3,6,9
2122,18/12/2021,Portimonense,Arouca,0,0,D,1,1,D,5,6,11
2122,09/01/2022,Portimonense,Maritimo,0,1,A,1,2,A,7,4,11
2122,17/01/2022,Portimonense,Guimaraes,0,1,A,1,1,D,6,4,10
2122,30/01/2022,Portimonense,Tondela,1,0,H,1,2,A,6,2,8
2122,12/02/2022,Portimonense,Boavista,1,1,D,1,1,D,6,6,12
2122,05/03/2022,Portimonense,Benfica,1,1,D,1,2,A,2,8,10
2122,20/03/2022,Portimonense,Sp Braga,0,2,A,1,2,A,7,9,16
2122,10/04/2022,Portimonense,Famalicao,1,0,H,1,0,H,7,2,9
2122,23/04/2022,Portimonense,Moreirense,1,0,H,1,0,H,6,6,12
2122,07/05/2022,Portimonense,Sp Lisbon,2,1,H,2,3,A,1,8,9
2223,07/08/2022,Portimonense,Boavista,0,1,A,0,1,A,7,1,8
2223,21/08/2022,Portimonense,Guimaraes,0,0,D,2,1,H,6,11,17
