Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Porto,Sp Braga,2,1,H,3,1,H,5,1,6
2021,03/10/2020,Porto,Maritimo,1,1,D,2,3,A,9,0,9
2021,24/10/2020,Porto,Gil Vicente,1,0,H,1,0,H,8,3,11
2021,08/11/2020,Porto,Portimonense,1,1,D,3,1,H,11,4,15
2021,05/12/2020,Porto,Tondela,2,2,D,4,3,H,5,2,7
2021,20/12/2020,Porto,Nacional,2,0,H,2,0,H,8,1,9
2021,03/01/2021,Porto,Moreirense,1,0,H,3,0,H,6,1,7
2021,15/01/2021,Porto,Benfica,1,1,D,1,1,D,1,3,4
2021,01/02/2021,Porto,Rio Ave,1,0,H,2,0,H,7,8,15
2021,13/02/2021,Porto,Boavista,0,2,A,2,2,D,7,2,9
2021,27/02/2021,Porto,Sp Lisbon,0,0,D,0,0,D,3,1,4
2021,14/03/2021,Porto,Pacos Ferreira,0,0,D,2,0,H,10,2,12
2021,03/04/2021,Porto,Santa Clara,0,0,D,2,1,H,7,5,12
2021,22/04/2021,Porto,Guimaraes,0,0,D,1,0,H,8,4,12
2021,30/04/2021,Porto,Famalicao,1,1,D,3,2,H,5,4,9
2021,10/05/2021,Porto,Farense,3,0,H,5,1,H,3,1,4
2021,19/05/2021,Porto,Belenenses,2,0,H,4,0,H,6,6,12
2122,08/08/2021,Porto,Belenenses,1,0,H,2,0,H,8,3,11
2122,28/08/2021,Porto,Arouca,2,0,H,3,0,H,4,5,9
2122,19/09/2021,Porto,Moreirense,1,0,H,5,0,H,6,5,11
2122,02/10/2021,Porto,Pacos Ferreira,1,1,D,2,1,H,11,3,14
2122,30/10/2021,Porto,Boavista,2,1,H,4,1,H,4,6,10
2122,28/11/2021,Porto,Guimaraes,1,1,D,2,1,H,5,2,7
2122,12/12/2021,Porto,Sp Braga,1,0,H,1,0,H,6,3,9
2122,30/12/2021,Porto,Benfica,2,0,H,3,1,H,5,7,12
2122,23/01/2022,Porto,Famalicao,2,0,H,3,1,H,7,4,11
2122,30/01/2022,Porto,Maritimo,1,0,H,2,1,H,1,3,4
2122,11/02/2022,Porto,Sp Lisbon,1,2,A,2,2,D,9,0,9
2122,27/02/2022,Porto,Gil Vicente,0,0,D,1,1,D,10,1,11
2122,13/03/2022,Porto,Tondela,1,0,H,4,0,H,5,4,9
2122,04/04/2022,Porto,Santa Clara,2,0,H,3,0,H,7,3,10
2122,16/04/2022,Porto,Portimonense,4,0,H,7,0,H,9,1,10
2122,30/04/2022,Porto,Vizela,2,1,H,4,2,H,8,2,10
2122,14/05/2022,Porto,Estoril,0,0,D,2,0,H,12,6,18
2223,06/08/2022,Porto,Maritimo,3,0,H,5,1,H,4,4,8
2223,20/08/2022,Porto,Sp Lisbon,1,0,H,3,0,H,3,4,7
2223,10/09/2022,Porto,Chaves,1,0,H,3,0,H,9,3,12
