Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Rio Ave,Guimaraes,0,0,D,0,0,D,4,4,8
2021,18/10/2020,Rio Ave,Benfica,0,2,A,0,3,A,4,4,8
2021,31/10/2020,Rio Ave,Moreirense,1,0,H,2,0,H,3,5,8
2021,06/12/2020,Rio Ave,Boavista,0,0,D,0,0,D,7,0,7
2021,28/12/2020,Rio Ave,Maritimo,1,0,H,1,3,A,4,5,9
2021,08/01/2021,Rio Ave,Portimonense,0,0,D,3,0,H,4,4,8
2021,25/01/2021,Rio Ave,Santa Clara,1,1,D,1,2,A,6,2,8
2021,05/02/2021,Rio Ave,Nacional,0,0,D,0,0,D,5,3,8
2021,09/02/2021,Rio Ave,Tondela,0,1,A,2,1,H,2,3,5
2021,21/02/2021,Rio Ave,Famalicao,0,1,A,0,1,A,4,8,12
2021,07/03/2021,Rio Ave,Farense,1,0,H,2,0,H,4,6,10
2021,21/03/2021,Rio Ave,Belenenses,0,0,D,0,0,D,9,2,11
2021,03/04/2021,Rio Ave,Gil Vicente,0,0,D,0,2,A,4,6,10
2021,17/04/2021,Rio Ave,Sp Braga,0,0,D,0,0,D,2,5,7
2021,25/04/2021,Rio Ave,Pacos Ferreira,0,1,A,1,1,D,5,2,7
2021,05/05/2021,Rio Ave,Sp Lisbon,0,1,A,0,2,A,2,9,11
2021,15/05/2021,Rio Ave,Porto,0,0,D,0,3,A,5,5,10
2223,06/08/2022,Rio Ave,Vizela,0,0,D,0,1,A,6,7,13
2223,28/08/2022,Rio Ave,Porto,3,0,H,3,1,H,2,7,9
2223,11/09/2022,Rio Ave,Sp Braga,0,2,A,2,3,A,7,8,15
2223,02/10/2022,Rio Ave,Santa Clara,1,0,H,1,0,H,1,8,9
2223,24/10/2022,Rio Ave,Portimonense,1,0,H,1,0,H,3,2,5
2223,06/11/2022,Rio Ave,Boavista,0,0,D,1,0,H,4,4,8
2223,23/12/2022,Rio Ave,Maritimo,1,1,D,1,1,D,5,5,10
2223,14/01/2023,Rio Ave,Pacos Ferreira,0,1,A,0,1,A,6,2,8
2223,06/02/2023,Rio Ave,Sp Lisbon,0,0,D,0,1,A,4,2,6
2223,13/02/2023,Rio Ave,Estoril,0,0,D,2,0,H,2,9,11
2223,26/02/2023,Rio Ave,Chaves,0,0,D,1,0,H,4,8,12
2223,12/03/2023,Rio Ave,Gil Vicente,2,0,H,2,1,H,3,11,14
2223,02/04/2023,Rio Ave,Benfica,0,0,D,0,1,A,3,6,9
2223,16/04/2023,Rio Ave,Casa Pia,0,1,A,1,1,D,5,8,13
2223,28/04/2023,Rio Ave,Arouca,0,0,D,1,0,H,4,4,8
2223,14/05/2023,Rio Ave,Guimaraes,0,0,D,0,1,A,9,8,17
2223,26/05/2023,Rio Ave,Famalicao,0,2,A,2,2,D,8,4,12
2324,13/08/2023,Rio Ave,Chaves,0,0,D,2,0,H,14,3,17
2324,28/08/2023,Rio Ave,Porto,0,0,D,1,2,A,1,7,8
2324,16/09/2023,Rio Ave,Famalicao,0,1,A,1,1,D,3,3,6
2324,01/10/2023,Rio Ave,Moreirense,0,2,A,0,4,A,4,2,6
2324,29/10/2023,Rio Ave,Farense,2,2,D,3,4,A,5,6,11
2324,05/11/2023,Rio Ave,Boavista,1,0,H,2,0,H,3,3,6
2324,02/12/2023,Rio Ave,Estrela,0,0,D,1,1,D,7,0,7
2324,16/12/2023,Rio Ave,Vizela,0,0,D,1,1,D,7,2,9
2324,07/01/2024,Rio Ave,Portimonense,0,0,D,2,0,H,3,6,9
2324,31/01/2024,Rio Ave,Estoril,0,0,D,1,1,D,4,3,7
2324,11/02/2024,Rio Ave,Casa Pia,0,0,D,1,0,H,5,3,8
2324,25/02/2024,Rio Ave,Sp Lisbon,2,2,D,3,3,D,2,5,7
2324,09/03/2024,Rio Ave,Sp Braga,0,0,D,0,0,D,6,5,11
2324,06/04/2024,Rio Ave,Gil Vicente,2,0,H,3,0,H,1,8,9
2324,19/04/2024,Rio Ave,Arouca,1,0,H,1,1,D,4,6,10
2324,04/05/2024,Rio Ave,Guimaraes,1,0,H,2,1,H,6,6,12
2324,17/05/2024,Rio Ave,Benfica,0,1,A,1,1,D,2,8,10
2425,17/08/2024,Rio Ave,Farense,1,0,H,1,0,H,7,14,21
2425,01/09/2024,Rio Ave,Arouca,1,0,H,1,0,H,8,8,16
2425,21/09/2024,Rio Ave,Estoril,1,0,H,2,2,D,7,4,11
2425,04/10/2024,Rio Ave,Famalicao,0,0,D,1,1,D,11,7,18
2425,02/11/2024,Rio Ave,Casa Pia,2,2,D,2,2,D,3,2,5
