Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Santa Clara,Maritimo,0,0,D,2,0,H,5,6,11
2021,03/10/2020,Santa Clara,Gil Vicente,0,0,D,0,0,D,8,3,11
2021,24/10/2020,Santa Clara,Sp Lisbon,1,1,D,1,2,A,1,9,10
2021,28/11/2020,Santa Clara,Porto,0,1,A,0,1,A,2,7,9
2021,21/12/2020,Santa Clara,Guimaraes,0,3,A,0,4,A,7,3,10
2021,03/01/2021,Santa Clara,Benfica,0,1,A,1,1,D,3,10,13
2021,17/01/2021,Santa Clara,Famalicao,0,0,D,1,2,A,1,4,5
2021,01/02/2021,Santa Clara,Belenenses,1,0,H,2,0,H,2,2,4
2021,14/02/2021,Santa Clara,Sp Braga,0,1,A,0,1,A,9,3,12
2021,27/02/2021,Santa Clara,Pacos Ferreira,2,0,H,3,0,H,2,13,15
2021,13/03/2021,Santa Clara,Portimonense,1,0,H,2,0,H,6,2,8
2021,20/03/2021,Santa Clara,Tondela,0,1,A,1,1,D,6,4,10
2021,11/04/2021,Santa Clara,Nacional,2,0,H,5,1,H,3,3,6
2021,21/04/2021,Santa Clara,Moreirense,0,0,D,0,0,D,8,5,13
2021,01/05/2021,Santa Clara,Boavista,1,1,D,3,3,D,5,4,9
2021,11/05/2021,Santa Clara,Rio Ave,0,0,D,1,0,H,8,6,14
2021,19/05/2021,Santa Clara,Farense,2,0,H,4,0,H,1,4,5
2122,15/08/2021,Santa Clara,Moreirense,0,0,D,2,2,D,5,4,9
2122,29/08/2021,Santa Clara,Gil Vicente,1,0,H,1,0,H,5,4,9
2122,11/09/2021,Santa Clara,Benfica,0,1,A,0,5,A,7,2,9
2122,26/09/2021,Santa Clara,Sp Braga,0,0,D,1,1,D,5,5,10
2122,23/10/2021,Santa Clara,Famalicao,0,1,A,0,2,A,1,5,6
2122,07/11/2021,Santa Clara,Porto,0,1,A,0,3,A,1,8,9
2122,05/12/2021,Santa Clara,Arouca,2,1,H,2,1,H,1,8,9
2122,17/12/2021,Santa Clara,Guimaraes,1,0,H,1,0,H,8,2,10
2122,07/01/2022,Santa Clara,Sp Lisbon,1,1,D,3,2,H,3,3,6
2122,16/01/2022,Santa Clara,Tondela,2,0,H,2,2,D,11,5,16
2122,01/02/2022,Santa Clara,Boavista,1,1,D,2,1,H,2,5,7
2122,21/02/2022,Santa Clara,Portimonense,1,0,H,1,1,D,3,2,5
2122,06/03/2022,Santa Clara,Vizela,0,0,D,3,1,H,6,1,7
2122,19/03/2022,Santa Clara,Belenenses,0,0,D,0,0,D,7,8,15
2122,10/04/2022,Santa Clara,Estoril,1,0,H,2,0,H,5,1,6
2122,23/04/2022,Santa Clara,Maritimo,2,0,H,2,2,D,3,10,13
2122,08/05/2022,Santa Clara,Pacos Ferreira,1,0,H,2,0,H,10,0,10
2223,07/08/2022,Santa Clara,Casa Pia,0,0,D,0,0,D,7,6,13
2223,20/08/2022,Santa Clara,Arouca,0,0,D,1,2,A,4,2,6
2223,04/09/2022,Santa Clara,Maritimo,0,1,A,2,1,H,2,3,5
2223,17/09/2022,Santa Clara,Pacos Ferreira,1,0,H,1,1,D,5,8,13
2223,08/10/2022,Santa Clara,Sp Lisbon,0,1,A,1,2,A,3,5,8
2223,29/10/2022,Santa Clara,Porto,0,1,A,1,1,D,5,6,11
2223,14/11/2022,Santa Clara,Estoril,2,1,H,3,1,H,6,7,13
2223,05/01/2023,Santa Clara,Sp Braga,0,2,A,0,4,A,1,6,7
2223,21/01/2023,Santa Clara,Benfica,0,2,A,0,3,A,8,9,17
2223,04/02/2023,Santa Clara,Boavista,0,1,A,2,2,D,7,7,14
2223,19/02/2023,Santa Clara,Famalicao,0,0,D,1,3,A,3,6,9
2223,05/03/2023,Santa Clara,Guimaraes,0,3,A,1,3,A,7,6,13
2223,17/03/2023,Santa Clara,Rio Ave,0,0,D,0,2,A,2,7,9
2223,07/04/2023,Santa Clara,Vizela,0,1,A,0,1,A,2,4,6
2223,23/04/2023,Santa Clara,Chaves,0,0,D,1,1,D,2,12,14
2223,06/05/2023,Santa Clara,Gil Vicente,2,0,H,3,2,H,4,5,9
2223,20/05/2023,Santa Clara,Portimonense,1,0,H,1,0,H,9,6,15
2425,16/08/2024,Santa Clara,Porto,0,2,A,0,2,A,2,2,4
2425,31/08/2024,Santa Clara,AVS,1,1,D,2,1,H,3,2,5
2425,21/09/2024,Santa Clara,Estrela,0,0,D,1,0,H,3,8,11
2425,29/09/2024,Santa Clara,Boavista,1,0,H,1,0,H,3,0,3
2425,25/10/2024,Santa Clara,Gil Vicente,2,1,H,2,1,H,6,4,10
