Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,17/10/2020,Sp Lisbon,Porto,1,2,A,2,2,D,4,1,5
2021,28/10/2020,Sp Lisbon,Gil Vicente,0,0,D,3,1,H,9,4,13
2021,01/11/2020,Sp Lisbon,Tondela,1,0,H,4,0,H,8,1,9
2021,28/11/2020,Sp Lisbon,Moreirense,1,1,D,2,1,H,9,0,9
2021,19/12/2020,Sp Lisbon,Farense,0,0,D,1,0,H,7,2,9
2021,02/01/2021,Sp Lisbon,Sp Braga,0,0,D,2,0,H,5,4,9
2021,15/01/2021,Sp Lisbon,Rio Ave,1,0,H,1,1,D,5,2,7
2021,01/02/2021,Sp Lisbon,Benfica,0,0,D,1,0,H,8,1,9
2021,15/02/2021,Sp Lisbon,Pacos Ferreira,1,0,H,2,0,H,2,4,6
2021,20/02/2021,Sp Lisbon,Portimonense,2,0,H,2,0,H,5,4,9
2021,05/03/2021,Sp Lisbon,Santa Clara,1,0,H,2,1,H,4,8,12
2021,20/03/2021,Sp Lisbon,Guimaraes,1,0,H,1,0,H,5,6,11
2021,11/04/2021,Sp Lisbon,Famalicao,1,1,D,1,1,D,6,5,11
2021,21/04/2021,Sp Lisbon,Belenenses,0,1,A,2,2,D,9,0,9
2021,01/05/2021,Sp Lisbon,Nacional,0,0,D,2,0,H,7,4,11
2021,11/05/2021,Sp Lisbon,Boavista,1,0,H,1,0,H,12,1,13
2021,19/05/2021,Sp Lisbon,Maritimo,3,0,H,5,1,H,4,3,7
2122,06/08/2021,Sp Lisbon,Vizela,0,0,D,3,0,H,3,5,8
2122,21/08/2021,Sp Lisbon,Belenenses,1,0,H,2,0,H,10,0,10
2122,11/09/2021,Sp Lisbon,Porto,1,0,H,1,1,D,5,4,9
2122,24/09/2021,Sp Lisbon,Maritimo,0,0,D,1,0,H,9,0,9
2122,23/10/2021,Sp Lisbon,Moreirense,1,0,H,1,0,H,7,1,8
2122,30/10/2021,Sp Lisbon,Guimaraes,1,0,H,1,0,H,7,2,9
2122,28/11/2021,Sp Lisbon,Tondela,1,0,H,2,0,H,1,4,5
2122,11/12/2021,Sp Lisbon,Boavista,0,0,D,2,0,H,10,3,13
2122,29/12/2021,Sp Lisbon,Portimonense,0,1,A,3,2,H,5,0,5
2122,22/01/2022,Sp Lisbon,Sp Braga,1,0,H,1,2,A,3,4,7
2122,06/02/2022,Sp Lisbon,Famalicao,1,0,H,2,0,H,4,4,8
2122,20/02/2022,Sp Lisbon,Estoril,1,0,H,3,0,H,7,1,8
2122,05/03/2022,Sp Lisbon,Arouca,0,0,D,2,0,H,5,1,6
2122,03/04/2022,Sp Lisbon,Pacos Ferreira,1,0,H,2,0,H,5,2,7
2122,17/04/2022,Sp Lisbon,Benfica,0,1,A,0,2,A,7,5,12
2122,01/05/2022,Sp Lisbon,Gil Vicente,2,1,H,4,1,H,13,2,15
2122,14/05/2022,Sp Lisbon,Santa Clara,1,0,H,4,0,H,10,5,15
2223,13/08/2022,Sp Lisbon,Rio Ave,1,0,H,3,0,H,7,1,8
2223,27/08/2022,Sp Lisbon,Chaves,0,0,D,0,2,A,13,3,16
2223,10/09/2022,Sp Lisbon,Portimonense,2,0,H,4,0,H,8,3,11
2223,30/09/2022,Sp Lisbon,Gil Vicente,2,0,H,3,1,H,3,2,5
2223,22/10/2022,Sp Lisbon,Casa Pia,0,1,A,3,1,H,7,3,10
2223,05/11/2022,Sp Lisbon,Guimaraes,2,0,H,3,0,H,11,3,14
2223,29/12/2022,Sp Lisbon,Pacos Ferreira,3,0,H,3,0,H,4,3,7
2223,20/01/2023,Sp Lisbon,Vizela,0,0,D,2,1,H,8,1,9
2223,01/02/2023,Sp Lisbon,Sp Braga,1,0,H,5,0,H,10,1,11
2223,12/02/2023,Sp Lisbon,Porto,0,0,D,1,2,A,8,4,12
2223,27/02/2023,Sp Lisbon,Estoril,1,0,H,2,0,H,14,5,19
2223,12/03/2023,Sp Lisbon,Boavista,2,0,H,3,0,H,4,1,5
2223,01/04/2023,Sp Lisbon,Santa Clara,2,0,H,3,0,H,6,2,8
2223,16/04/2023,Sp Lisbon,Arouca,0,1,A,1,1,D,7,0,7
2223,30/04/2023,Sp Lisbon,Famalicao,1,0,H,2,1,H,8,4,12
2223,13/05/2023,Sp Lisbon,Maritimo,0,1,A,2,1,H,9,1,10
2223,21/05/2023,Sp Lisbon,Benfica,2,0,H,2,2,D,7,7,14
2324,12/08/2023,Sp Lisbon,Vizela,2,0,H,3,2,H,8,3,11
2324,27/08/2023,Sp Lisbon,Famalicao,0,0,D,1,0,H,8,1,9
2324,17/09/2023,Sp Lisbon,Moreirense,0,0,D,3,0,H,8,2,10
