Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Tondela,Rio Ave,1,0,H,1,1,D,1,6,7
2021,03/10/2020,Tondela,Sp Braga,0,4,A,0,4,A,5,8,13
2021,23/10/2020,Tondela,Portimonense,1,0,H,1,0,H,5,6,11
2021,07/11/2020,Tondela,Santa Clara,1,0,H,2,0,H,3,3,6
2021,27/11/2020,Tondela,Guimaraes,0,0,D,0,2,A,5,2,7
2021,19/12/2020,Tondela,Moreirense,0,0,D,0,0,D,1,6,7
2021,03/01/2021,Tondela,Famalicao,0,0,D,1,0,H,4,5,9
2021,16/01/2021,Tondela,Boavista,1,0,H,3,1,H,7,5,12
2021,30/01/2021,Tondela,Farense,0,0,D,2,0,H,5,5,10
2021,16/02/2021,Tondela,Maritimo,1,1,D,2,1,H,2,1,3
2021,28/02/2021,Tondela,Gil Vicente,1,0,H,1,0,H,6,8,14
2021,13/03/2021,Tondela,Sp Lisbon,0,0,D,0,1,A,3,5,8
2021,10/04/2021,Tondela,Porto,0,1,A,0,2,A,1,6,7
2021,22/04/2021,Tondela,Nacional,1,1,D,2,1,H,6,7,13
2021,30/04/2021,Tondela,Benfica,0,2,A,0,2,A,3,6,9
2021,11/05/2021,Tondela,Belenenses,1,2,A,1,3,A,11,3,14
2021,18/05/2021,Tondela,Pacos Ferreira,2,2,D,2,3,A,3,6,9
2122,08/08/2021,Tondela,Santa Clara,1,0,H,3,0,H,3,5,8
2122,22/08/2021,Tondela,Portimonense,0,2,A,0,3,A,6,5,11
2122,13/09/2021,Tondela,Estoril,0,2,A,1,2,A,6,5,11
2122,25/09/2021,Tondela,Famalicao,1,1,D,3,2,H,4,3,7
2122,23/10/2021,Tondela,Porto,1,2,A,1,3,A,3,10,13
2122,07/11/2021,Tondela,Maritimo,3,0,H,4,2,H,3,4,7
2122,18/12/2021,Tondela,Pacos Ferreira,0,0,D,0,1,A,7,6,13
2122,28/12/2021,Tondela,Gil Vicente,0,0,D,0,3,A,6,2,8
2122,03/01/2022,Tondela,Moreirense,0,1,A,2,1,H,1,3,4
2122,22/01/2022,Tondela,Vizela,2,1,H,2,3,A,6,10,16
2122,07/02/2022,Tondela,Benfica,0,2,A,1,3,A,4,9,13
2122,20/02/2022,Tondela,Sp Braga,0,0,D,0,1,A,3,4,7
2122,07/03/2022,Tondela,Belenenses,1,0,H,1,1,D,4,5,9
2122,19/03/2022,Tondela,Arouca,2,1,H,2,2,D,4,3,7
2122,09/04/2022,Tondela,Sp Lisbon,0,2,A,1,3,A,1,9,10
2122,24/04/2022,Tondela,Guimaraes,0,0,D,1,1,D,4,3,7
2122,14/05/2022,Tondela,Boavista,1,0,H,2,2,D,4,5,9
