Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,14/08/2021,Vizela,Tondela,0,1,A,2,1,H,11,4,15
2122,28/08/2021,Vizela,Boavista,0,0,D,1,1,D,11,2,13
2122,19/09/2021,Vizela,Pacos Ferreira,1,0,H,1,1,D,5,4,9
2122,02/10/2021,Vizela,Santa Clara,0,0,D,1,1,D,6,4,10
2122,24/10/2021,Vizela,Benfica,0,0,D,0,1,A,7,12,19
2122,06/11/2021,Vizela,Estoril,0,0,D,1,1,D,3,1,4
2122,19/12/2021,Vizela,Porto,0,2,A,0,4,A,3,11,14
2122,02/01/2022,Vizela,Belenenses,2,0,H,2,0,H,4,10,14
2122,08/01/2022,Vizela,Moreirense,0,0,D,0,1,A,8,5,13
2122,16/01/2022,Vizela,Sp Lisbon,0,2,A,0,2,A,2,4,6
2122,30/01/2022,Vizela,Guimaraes,1,1,D,3,2,H,6,10,16
2122,13/02/2022,Vizela,Gil Vicente,0,1,A,0,1,A,12,2,14
2122,27/02/2022,Vizela,Portimonense,1,1,D,1,1,D,11,2,13
2122,18/03/2022,Vizela,Famalicao,0,1,A,1,1,D,7,4,11
2122,10/04/2022,Vizela,Sp Braga,0,1,A,0,1,A,2,8,10
2122,22/04/2022,Vizela,Arouca,1,0,H,2,1,H,6,2,8
2122,08/05/2022,Vizela,Maritimo,0,0,D,1,1,D,2,8,10
2223,14/08/2022,Vizela,Porto,0,0,D,0,1,A,1,10,11
2223,29/08/2022,Vizela,Gil Vicente,2,2,D,2,2,D,5,10,15
2223,12/09/2022,Vizela,Estoril,0,1,A,0,1,A,16,2,18
2223,01/10/2022,Vizela,Portimonense,1,0,H,1,0,H,5,9,14
2223,23/10/2022,Vizela,Santa Clara,0,0,D,0,1,A,5,2,7
2223,05/11/2022,Vizela,Arouca,0,1,A,0,1,A,11,2,13
2223,30/12/2022,Vizela,Guimaraes,1,0,H,3,0,H,1,5,6
2223,14/01/2023,Vizela,Maritimo,2,0,H,3,0,H,7,4,11
2223,29/01/2023,Vizela,Rio Ave,0,1,A,3,1,H,3,8,11
2223,10/02/2023,Vizela,Chaves,0,0,D,0,0,D,5,6,11
2223,25/02/2023,Vizela,Benfica,0,1,A,0,2,A,6,5,11
2223,11/03/2023,Vizela,Sp Braga,0,1,A,0,4,A,3,3,6
2223,01/04/2023,Vizela,Casa Pia,1,1,D,3,1,H,10,3,13
2223,17/04/2023,Vizela,Boavista,0,0,D,1,1,D,8,3,11
2223,29/04/2023,Vizela,Pacos Ferreira,0,2,A,1,2,A,7,8,15
2223,13/05/2023,Vizela,Famalicao,0,0,D,0,0,D,2,7,9
2223,26/05/2023,Vizela,Sp Lisbon,1,1,D,1,2,A,2,8,10
2324,20/08/2023,Vizela,Arouca,1,1,D,2,2,D,6,3,9
2324,01/09/2023,Vizela,Gil Vicente,0,0,D,1,0,H,4,3,7
2324,16/09/2023,Vizela,Benfica,0,2,A,1,2,A,2,3,5
2324,30/09/2023,Vizela,Portimonense,0,2,A,2,3,A,13,2,15
2324,29/10/2023,Vizela,Porto,0,2,A,0,2,A,4,4,8
2324,11/11/2023,Vizela,Famalicao,0,0,D,0,0,D,5,7,12
2324,08/12/2023,Vizela,Sp Braga,0,1,A,1,3,A,7,6,13
2324,23/12/2023,Vizela,Moreirense,0,0,D,0,0,D,3,9,12
2324,14/01/2024,Vizela,Boavista,0,2,A,1,4,A,11,1,12
2324,18/01/2024,Vizela,Sp Lisbon,1,1,D,2,5,A,0,6,6
2324,04/02/2024,Vizela,Guimaraes,0,0,D,0,1,A,4,9,13
2324,25/02/2024,Vizela,Estoril,2,0,H,3,3,D,4,7,11
2324,09/03/2024,Vizela,Farense,0,1,A,2,1,H,10,3,13
2324,31/03/2024,Vizela,Casa Pia,0,1,A,0,4,A,6,3,9
2324,15/04/2024,Vizela,Chaves,0,1,A,0,1,A,10,5,15
2324,27/04/2024,Vizela,Rio Ave,1,1,D,1,1,D,7,0,7
2324,11/05/2024,Vizela,Estrela,1,0,H,4,0,H,4,7,11
