Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Arsenal,West Ham,1,1,D,2,1,H,7,5,12
2021,04/10/2020,Arsenal,Sheffield United,0,0,D,2,1,H,2,4,6
2021,25/10/2020,Arsenal,Leicester,0,0,D,0,1,A,9,3,12
2021,08/11/2020,Arsenal,Aston Villa,0,1,A,0,3,A,3,8,11
2021,29/11/2020,Arsenal,Wolves,1,2,A,1,2,A,8,4,12
2021,13/12/2020,Arsenal,Burnley,0,0,D,0,1,A,13,4,17
2021,16/12/2020,Arsenal,Southampton,0,1,A,1,1,D,2,7,9
2021,26/12/2020,Arsenal,Chelsea,2,0,H,3,1,H,7,9,16
2021,14/01/2021,Arsenal,Crystal Palace,0,0,D,0,0,D,7,3,10
2021,18/01/2021,Arsenal,Newcastle,0,0,D,3,0,H,7,2,9
2021,30/01/2021,Arsenal,Man United,0,0,D,0,0,D,4,7,11
2021,14/02/2021,Arsenal,Leeds,3,0,H,4,2,H,4,5,9
2021,21/02/2021,Arsenal,Man City,0,1,A,0,1,A,1,3,4
2021,14/03/2021,Arsenal,Tottenham,1,1,D,2,1,H,6,3,9
2021,03/04/2021,Arsenal,Liverpool,0,0,D,0,3,A,1,2,3
2021,18/04/2021,Arsenal,Fulham,0,0,D,1,1,D,11,1,12
2021,23/04/2021,Arsenal,Everton,0,0,D,0,1,A,7,3,10
2021,09/05/2021,Arsenal,West Brom,2,0,H,3,1,H,6,6,12
2021,23/05/2021,Arsenal,Brighton,0,0,D,2,0,H,11,3,14
2122,22/08/2021,Arsenal,Chelsea,0,2,A,0,2,A,9,8,17
2122,11/09/2021,Arsenal,Norwich,0,0,D,1,0,H,8,4,12
2122,26/09/2021,Arsenal,Tottenham,3,0,H,3,1,H,4,4,8
2122,18/10/2021,Arsenal,Crystal Palace,1,0,H,2,2,D,6,4,10
2122,22/10/2021,Arsenal,Aston Villa,2,0,H,3,1,H,7,4,11
2122,07/11/2021,Arsenal,Watford,0,0,D,1,0,H,4,2,6
2122,27/11/2021,Arsenal,Newcastle,0,0,D,2,0,H,4,4,8
2122,11/12/2021,Arsenal,Southampton,2,0,H,3,0,H,9,8,17
2122,15/12/2021,Arsenal,West Ham,0,0,D,2,0,H,5,2,7
2122,01/01/2022,Arsenal,Man City,1,0,H,1,2,A,5,5,10
2122,23/01/2022,Arsenal,Burnley,0,0,D,0,0,D,12,4,16
2122,19/02/2022,Arsenal,Brentford,0,0,D,2,1,H,14,0,14
2122,24/02/2022,Arsenal,Wolves,0,1,A,2,1,H,5,4,9
2122,13/03/2022,Arsenal,Leicester,1,0,H,2,0,H,2,6,8
2122,16/03/2022,Arsenal,Liverpool,0,0,D,0,2,A,1,6,7
2122,09/04/2022,Arsenal,Brighton,0,1,A,1,2,A,11,2,13
2122,23/04/2022,Arsenal,Man United,2,1,H,3,1,H,1,7,8
2122,08/05/2022,Arsenal,Leeds,2,0,H,2,1,H,8,2,10
2122,22/05/2022,Arsenal,Everton,2,1,H,5,1,H,12,2,14
2223,13/08/2022,Arsenal,Leicester,2,0,H,4,2,H,6,2,8
2223,27/08/2022,Arsenal,Fulham,0,0,D,2,1,H,9,2,11
2223,31/08/2022,Arsenal,Aston Villa,1,0,H,2,1,H,10,3,13
2223,01/10/2022,Arsenal,Tottenham,1,1,D,3,1,H,5,2,7
2223,09/10/2022,Arsenal,Liverpool,2,1,H,3,2,H,4,3,7
2223,30/10/2022,Arsenal,Nott'm Forest,1,0,H,5,0,H,9,4,13
2223,26/12/2022,Arsenal,West Ham,0,1,A,3,1,H,7,5,12
2223,03/01/2023,Arsenal,Newcastle,0,0,D,0,0,D,5,5,10
2223,22/01/2023,Arsenal,Man United,1,1,D,3,2,H,12,4,16
2223,11/02/2023,Arsenal,Brentford,0,0,D,1,1,D,7,4,11
2223,15/02/2023,Arsenal,Man City,1,1,D,1,3,A,1,3,4
2223,01/03/2023,Arsenal,Everton,2,0,H,4,0,H,5,1,6
2223,04/03/2023,Arsenal,Bournemouth,0,1,A,3,2,H,17,1,18
2223,19/03/2023,Arsenal,Crystal Palace,2,0,H,4,1,H,5,4,9
2223,01/04/2023,Arsenal,Leeds,1,0,H,4,1,H,4,3,7
2223,21/04/2023,Arsenal,Southampton,1,2,A,3,3,D,7,2,9
