Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,21/09/2020,Aston Villa,Sheffield United,0,0,D,1,0,H,10,4,14
2021,04/10/2020,Aston Villa,Liverpool,4,1,H,7,2,H,2,7,9
2021,23/10/2020,Aston Villa,Leeds,0,0,D,0,3,A,6,5,11
2021,01/11/2020,Aston Villa,Southampton,0,3,A,3,4,A,11,1,12
2021,21/11/2020,Aston Villa,Brighton,0,1,A,1,2,A,12,3,15
2021,17/12/2020,Aston Villa,Burnley,0,0,D,0,0,D,11,1,12
2021,26/12/2020,Aston Villa,Crystal Palace,1,0,H,3,0,H,4,4,8
2021,23/01/2021,Aston Villa,Newcastle,2,0,H,2,0,H,5,4,9
2021,03/02/2021,Aston Villa,West Ham,0,0,D,1,3,A,7,3,10
2021,06/02/2021,Aston Villa,Arsenal,1,0,H,1,0,H,3,7,10
2021,21/02/2021,Aston Villa,Leicester,0,2,A,1,2,A,7,8,15
2021,06/03/2021,Aston Villa,Wolves,0,0,D,0,0,D,5,3,8
2021,21/03/2021,Aston Villa,Tottenham,0,1,A,0,2,A,5,8,13
2021,04/04/2021,Aston Villa,Fulham,0,0,D,3,1,H,4,4,8
2021,21/04/2021,Aston Villa,Man City,1,2,A,1,2,A,1,11,12
2021,25/04/2021,Aston Villa,West Brom,1,1,D,2,2,D,11,4,15
2021,09/05/2021,Aston Villa,Man United,1,0,H,1,3,A,5,6,11
2021,13/05/2021,Aston Villa,Everton,0,0,D,0,0,D,9,1,10
2021,23/05/2021,Aston Villa,Chelsea,1,0,H,2,1,H,2,9,11
2122,21/08/2021,Aston Villa,Newcastle,1,0,H,2,0,H,3,4,7
2122,28/08/2021,Aston Villa,Brentford,1,1,D,1,1,D,3,2,5
2122,18/09/2021,Aston Villa,Everton,0,0,D,3,0,H,5,4,9
2122,16/10/2021,Aston Villa,Wolves,0,0,D,2,3,A,6,7,13
2122,31/10/2021,Aston Villa,West Ham,1,2,A,1,4,A,3,6,9
2122,20/11/2021,Aston Villa,Brighton,0,0,D,2,0,H,5,7,12
2122,01/12/2021,Aston Villa,Man City,0,2,A,1,2,A,4,11,15
2122,05/12/2021,Aston Villa,Leicester,1,1,D,2,1,H,3,6,9
2122,26/12/2021,Aston Villa,Chelsea,1,1,D,1,3,A,2,5,7
2122,15/01/2022,Aston Villa,Man United,0,1,A,2,2,D,3,6,9
2122,09/02/2022,Aston Villa,Leeds,3,2,H,3,3,D,6,11,17
2122,19/02/2022,Aston Villa,Watford,0,0,D,0,1,A,10,5,15
2122,05/03/2022,Aston Villa,Southampton,2,0,H,4,0,H,4,7,11
2122,19/03/2022,Aston Villa,Arsenal,0,1,A,0,1,A,6,5,11
2122,09/04/2022,Aston Villa,Tottenham,0,1,A,0,4,A,9,3,12
2122,30/04/2022,Aston Villa,Norwich,1,0,H,2,0,H,2,3,5
2122,10/05/2022,Aston Villa,Liverpool,1,1,D,1,2,A,2,3,5
2122,15/05/2022,Aston Villa,Crystal Palace,0,0,D,1,1,D,1,5,6
2122,19/05/2022,Aston Villa,Burnley,0,1,A,1,1,D,13,6,19
2223,13/08/2022,Aston Villa,Everton,1,0,H,2,1,H,5,8,13
2223,28/08/2022,Aston Villa,West Ham,0,0,D,0,1,A,3,2,5
