Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,13/08/2021,Brentford,Arsenal,1,0,H,2,0,H,2,5,7
2122,11/09/2021,Brentford,Brighton,0,0,D,0,1,A,1,6,7
2122,25/09/2021,Brentford,Liverpool,1,1,D,3,3,D,2,11,13
2122,16/10/2021,Brentford,Chelsea,0,1,A,0,1,A,5,5,10
2122,24/10/2021,Brentford,Leicester,0,1,A,1,2,A,9,2,11
2122,06/11/2021,Brentford,Norwich,0,2,A,1,2,A,6,2,8
2122,28/11/2021,Brentford,Everton,1,0,H,1,0,H,3,3,6
2122,10/12/2021,Brentford,Watford,0,1,A,2,1,H,8,2,10
2122,29/12/2021,Brentford,Man City,0,1,A,0,1,A,3,5,8
2122,02/01/2022,Brentford,Aston Villa,1,1,D,2,1,H,3,7,10
2122,19/01/2022,Brentford,Man United,0,0,D,1,3,A,6,9,15
2122,22/01/2022,Brentford,Wolves,0,0,D,1,2,A,6,3,9
2122,12/02/2022,Brentford,Crystal Palace,0,0,D,0,0,D,3,9,12
2122,26/02/2022,Brentford,Newcastle,0,2,A,0,2,A,6,6,12
2122,12/03/2022,Brentford,Burnley,0,0,D,2,0,H,2,9,11
2122,10/04/2022,Brentford,West Ham,0,0,D,2,0,H,4,6,10
2122,23/04/2022,Brentford,Tottenham,0,0,D,0,0,D,12,8,20
2122,07/05/2022,Brentford,Southampton,2,0,H,3,0,H,4,7,11
2122,22/05/2022,Brentford,Leeds,0,0,D,1,2,A,3,2,5
2223,13/08/2022,Brentford,Man United,4,0,H,4,0,H,8,2,10
2223,27/08/2022,Brentford,Everton,0,1,A,1,1,D,8,5,13
2223,03/09/2022,Brentford,Leeds,2,1,H,5,2,H,2,6,8
2223,18/09/2022,Brentford,Arsenal,0,2,A,0,3,A,3,3,6
2223,14/10/2022,Brentford,Brighton,1,0,H,2,0,H,2,11,13
2223,19/10/2022,Brentford,Chelsea,0,0,D,0,0,D,6,2,8
2223,29/10/2022,Brentford,Wolves,0,0,D,1,1,D,3,6,9
2223,26/12/2022,Brentford,Tottenham,1,0,H,2,2,D,6,5,11
2223,02/01/2023,Brentford,Liverpool,2,0,H,3,1,H,4,9,13
2223,14/01/2023,Brentford,Bournemouth,1,0,H,2,0,H,5,3,8
2223,04/02/2023,Brentford,Southampton,2,0,H,3,0,H,4,4,8
2223,18/02/2023,Brentford,Crystal Palace,0,0,D,1,1,D,2,6,8
2223,06/03/2023,Brentford,Fulham,1,1,D,3,2,H,2,3,5
2223,18/03/2023,Brentford,Leicester,1,0,H,1,1,D,8,4,12
2223,08/04/2023,Brentford,Newcastle,1,0,H,1,2,A,6,5,11
2223,22/04/2023,Brentford,Aston Villa,0,0,D,1,1,D,8,4,12
2223,29/04/2023,Brentford,Nott'm Forest,0,1,A,2,1,H,6,0,6
2223,14/05/2023,Brentford,West Ham,2,0,H,2,0,H,7,5,12
2223,28/05/2023,Brentford,Man City,0,0,D,1,0,H,3,4,7
2324,13/08/2023,Brentford,Tottenham,2,2,D,2,2,D,3,6,9
2324,26/08/2023,Brentford,Crystal Palace,1,0,H,1,1,D,8,6,14
2324,02/09/2023,Brentford,Bournemouth,1,1,D,2,2,D,5,2,7
2324,23/09/2023,Brentford,Everton,1,1,D,1,3,A,1,4,5
2324,21/10/2023,Brentford,Burnley,1,0,H,3,0,H,5,5,10
2324,04/11/2023,Brentford,West Ham,1,2,A,3,2,H,4,3,7
2324,25/11/2023,Brentford,Arsenal,0,0,D,0,1,A,1,8,9
2324,02/12/2023,Brentford,Luton,0,0,D,3,1,H,7,5,12
2324,17/12/2023,Brentford,Aston Villa,1,0,H,1,2,A,7,12,19
2324,27/12/2023,Brentford,Wolves,1,3,A,1,4,A,8,2,10
2324,20/01/2024,Brentford,Nott'm Forest,1,1,D,3,2,H,6,4,10
2324,05/02/2024,Brentford,Man City,1,1,D,1,3,A,8,13,21
2324,17/02/2024,Brentford,Liverpool,0,1,A,1,4,A,1,6,7
2324,02/03/2024,Brentford,Chelsea,0,1,A,2,2,D,0,6,6
2324,30/03/2024,Brentford,Man United,0,0,D,1,1,D,14,4,18
2324,03/04/2024,Brentford,Brighton,0,0,D,0,0,D,1,5,6
2324,13/04/2024,Brentford,Sheffield United,0,0,D,2,0,H,3,6,9
2324,04/05/2024,Brentford,Fulham,0,0,D,0,0,D,7,6,13
2324,19/05/2024,Brentford,Newcastle,0,3,A,2,4,A,3,0,3
2425,18/08/2024,Brentford,Crystal Palace,1,0,H,2,1,H,4,7,11
2425,31/08/2024,Brentford,Southampton,1,0,H,3,1,H,2,8,10
2425,28/09/2024,Brentford,West Ham,1,0,H,1,1,D,7,7,14
2425,05/10/2024,Brentford,Wolves,4,2,H,5,3,H,10,3,13
2425,26/10/2024,Brentford,Ipswich,2,2,D,4,3,H,5,5,10
